Abnormality of the breast	HP:0000769
Umbilical cord knot	None
Maternal hypertension	None
Amniotic shelf	None
Amniotic Sheet	None
Abnormal fetal pulmonary morphology	None
Amniotic constriction rings of arms	None
1-minute APGAR score of 3	None
Hydrops fetalis, nonimmune	None
Non-immune fetal hydrops	None
Non-immune foetal hydrops	None
Nonimmune hydrops	None
Hydrops fetalis, non-immune	None
Nonimmune hydrops fetalis	None
Extremely preterm birth	None
Bilateral foetal pyelectasis	None
Bilateral foetal pyelectasia	None
Bilateral fetal pyelectasis	None
Bilateral fetal pyelectasia	None
Foetal cystic hygroma	None
Fetal cystic hygroma	None
High blood phenylalanine level in mother	None
Maternal hyperphenylalaninemia	None
High cord blood carbon dioxide level	None
Hypercapnia in cord blood	None
Edematous chorionic villi	None
Anhydramnios	None
Absent end-diastolic umbilical artery flow	None
Desquamation of skin soon after birth	None
Digital constriction ring	None
Amniotic constriction rings of digits	None
Maternal fever during labor	None
Maternal fever during labour	None
Intrapartum fever	None
Vaginal birth after Caesarian	None
Maternal fever during pregnancy	None
Maternal fever in pregnancy	None
Hydrops of the placenta	None
Hydropic placenta	None
Shoulder dystocia	None
Recurrent implantation failure	None
Repeated implantation failure	None
Fetal choroid plexus cysts	None
Foetal choroid plexus cysts	None
Choriocarcinoma	None
Hypocapnia in cord blood	None
Low cord blood carbon dioxide level	None
Premature delivery of affected infants	None
Preterm delivery	None
Premature birth	None
Premature delivery	None
Shortened gestation time	None
Preterm birth	None
Fetal anemia	None
5-minute APGAR score of 4	None
1-minute APGAR score of 1	None
Abnormal insertion of umbilical cord	None
Delayed separation of umbilical cord	None
Delayed umbilical cord separation	None
10-minute APGAR score of 5	None
Fetal ultrasound soft marker	None
Foetal ultrasound soft marker	None
Secondary Caesarian section	None
Fetal ascites	None
Foetal ascites	None
Fetal pleural effusion	None
1-minute APGAR score of 5	None
Delivery complication	None
Abnormal delivery	None
Reduced fetal femur/foot length ratio	None
5-minute APGAR score of 0	None
Fetal nuchal edema	None
Early severe foetal akinesia sequence	None
Early severe fetal akinesia sequence	None
Fetal akinesia	None
Foetal akinesia sequence	None
Fetal akinesia sequence	None
Foetal akinesia	None
5-minute APGAR score of 3	None
Hydatidiform mole	None
Formation of multiple pronuclei during fertilization	None
High maternal serum alpha-fetoprotein MoM	None
High maternal serum alpha-fetoprotein	None
Increased maternal serum alpha-fetoprotein level	None
High maternal circulating alpha-fetoprotein concentration	None
MSAFP MoM>2.5	None
High MSAFP MoM	None
Induced vaginal delivery	None
Maternal vascular malperfusion	None
Therapeutic abortion	None
Cephalohematoma	None
Cephalohaematoma	None
10-minute APGAR score of 6	None
1-minute APGAR score of 0	None
Female fetal virilization	None
Female foetal virilization	None
Hypoplasia of foetal nasal bone	None
Hypoplasia of fetal nasal bone	None
Underdeveloped foetal nose bone	None
Underdeveloped fetal nose bone	None
Abnormal preimplantation embryonic development	None
Toxaemia of pregnancy	None
Hypertensive disorder of pregnancy	None
Toxemia of pregnancy	None
Greasy, thick vernix caseosa-like scale	None
Caseous vernix-like desquamation	None
Elevated umbilical artery Dopplers	None
Elevated umbilical artery pulsatility	None
Increased umbilical artery pulsatility index	None
Echogenic bowel	None
Echogenic foetal bowel	None
Echogenic fetal bowel	None
Abnormal umbilical cord blood levels of carbon dioxide	None
Abnormal carbon dioxide level in cord blood	None
Abnormal CO2 level in cord blood	None
Frank breech presentation	None
Congenital cystic adenomatoid malformation of the lung	None
Congenital cystic disease of the lung	None
Congenital pulmonary airway malformation	None
Cystic adenomatoid lung disease	None
CCAM	None
Low cord blood oxygen level	None
Hypoxemia in cord blood	None
Long umbilical cord	None
Moderate to late preterm birth	None
Fetal little finger curvature	None
Fetal pinkie finger curvature	None
Foetal little finger curvature	None
Foetal pinkie finger curvature	None
Foetal pinky finger curvature	None
Foetal fifth finger clinodactyly	None
Fetal pinky finger curvature	None
Fetal fifth finger clinodactyly	None
Abnormal fetal genitourinary system morphology	None
Fetal head anomaly	None
Ductus venosus agenesis	None
Agenesis of the ductus venosus	None
Exposure during pregnancy	None
Pregnancy exposure	None
Fetal intraventricular hemorrhage	None
Absence of fetal nasal bone	None
Absent fetal nasal bone	None
Unossified nasal bone	None
Placenta acreta	None
Amniotic bands	None
Amniotic constriction ring	None
Amniotic constriction band	None
Pseudoainhum	None
Congenital constriction band sequence	None
Abnormality of umbilical vein blood flow	None
Type 2 congenital pulmonary airway malformation	None
Placental issue	None
Abnormality of the placenta	None
Abnormal placenta morphology	None
10-minute APGAR score of 2	None
Maternal teratogenic exposure	None
Placental thromboembolism	None
Placental infarction	None
Abnormal fetal central nervous system morphology	None
Abnormal fetal CNS morphology	None
Foetal polyuria	None
Fetal polyuria	None
Caesarian section	None
Fetal intracranial hemorrhage	None
Grade II fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage without ventriculomegaly	None
Fetal anomaly	None
Fetal vascular malperfusion	None
Fetal extra-axial hemorrhage	None
Reduced fetal long bone echogenicity	None
Champagne cork sign	None
Abnormal embryonic development	None
Abnormal cord blood measurement	None
Placental calcification	None
Calcified placenta	None
Low maternal serum PAPP-A	None
Low maternal circulating PAPP-A concentration	None
Delivery by Odon device	None
Spontaneous chorioamniotic separation	None
Amnion-chorion separation	None
Gastric pseudomass	None
Maternal autoimmune disease	None
Reversed end-diastolic umbilical artery flow	None
Fetal skin edema	None
Placental thickness increased	None
Increased placental thickness	None
Premature birth following premature rupture of foetal membranes	None
Premature birth following premature rupture of fetal membranes	None
Maternal seizures	None
Maternal seizure	None
Grade III fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage with ventriculomegaly	None
Abnormal umbilical artery doppler waveform during pregnancy	None
Eclampsia	None
Abnormality of placental membranes	None
Abnormal placental membrane morphology	None
Fetal PAD narrowing-closure	None
Idiopathic constriction of the fetal ductus arteriosus	None
Fetal ductus arteriosus narrowing-closure	None
Premature closure of the ductus arteriosus	None
Fetal arterial duct narrowing-closure	None
PCDA	None
Fetal PDA narrowing-closure	None
Prenatal double bubble sign	None
Low maternal serum alpha-fetoprotein	None
Low maternal circulating alpha-fetoprotein concentration	None
Maternal health problem	None
Prenatal maternal abnormality	None
Abnormality of ductus venosus blood flow	None
Fetal scalp mass	None
Persistent foetal circulation	None
Persistent fetal circulation	None
Skewed maternal X inactivation	None
Enlarged fetal cisterna magna	None
Enlarged foetal cisterna magna	None
Recurrent spontaneous abortion	None
Spontaneous abortion, recurrent	None
Low APGAR score	None
Distended jugular lymphatic sacs	None
Fetal hydrothorax	None
Abnormal maternal serum screening	None
Fetal neck mass	None
Fetal distress	None
Foetal distress	None
Umbilical cord haematoma	None
Umbilical cord hematoma	None
Fetal neck anomaly	None
Placenta increta	None
5-minute APGAR score of 1	None
Amniotic constriction rings of legs	None
Abnormality of prenatal development or birth	None
10-minute APGAR score of 3	None
Type 1 congenital pulmonary airway malformation	None
Low 10-minute APGAR score	None
Hyperemesis gravidarum	None
Preimplantation embryonic lethality	None
Preimplantation lethality	None
High levels of amniotic fluid	None
Increased amniotic fluid index	None
Hydramnios	None
Polyhydramnios	None
Extrapulmonary TB	None
Extrapulmonary tuberculosis	None
Anti-tissue transglutaminase antibody positivity	None
Anti-tTG antibody positivity	None
Abnormality of interferon secretion	None
Deep perivascular inflammatory infiltrate	None
Deep dermal perivascular inflammatory infiltrate	None
Light-chain paraproteinemia	None
Increased level of anti-house dust IgE antibody	None
Increased anti-house dust IgE antibody level	None
Increased anti-house dust mite IgE antibody level	None
Severe combined immunodeficiency	None
Immunodeficiency, severe combined	None
Disseminated dermatophytosis	None
Abnormal natural killer cell morphology	None
Abnormal NK cells	None
Abnormality of natural killer cells	None
Increased circulating myelocyte count	None
Malakoplakia	None
Michaelis-Gutmann bodies	None
Anti-Yo antibody positivity	None
Anti-Purkinje cell cytoplasmic antibody 1	None
Anti-Ri antibody	None
Anti-ANNA-2 antibody	None
Recurrent oral herpes	None
Recurrent herpes labialis	None
Intestinal lymphangiectasia	None
Partial absence of specific antibody response to meningococcus vaccine	None
Enteroviral encephalitis	None
Liver kidney microsome type 1 antibody positivity	None
Anti-LKM1 antibody positivity	None
Anti-LKM-1 positive	None
Anti-liver kidney microsomal type 1 antibody positivity	None
Anti-type I liver-kidney microsomal antibody positivity	None
Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	None
Corneal inflammation	None
Keratitis	None
Anti-Ki antibody positivity	None
Increased circulating interleukin 10 concentration	None
Increased serum interleukin 10	None
Extractable nuclear antigen positivity	None
Discoid eczema	None
Nummular eczema	None
Nummular dermatitis	None
Anti-carbonic anhydrase II antibody positivity	None
Adenoids small or absent	None
Aplastic/Hypoplastic nasopharyngeal adenoids	None
Drug induced anaphylaxis	None
Drug-induced anaphylaxis	None
Reduced proportion of CD4+CD25+ regulatory T cells	None
Decreased proportion of CD4+CD25+ regulatory T cells	None
Decreased proportion of CD4+CD25+ Treg cells	None
Invasive dermatophyte infection	None
Transient decreased IgG2 in blood	None
Transient decreased circulating IgG2	None
Abnormal proportion of CD4-positive, alpha-beta memory T cells	None
Inclusion bodies in leukocytes	None
Leukocyte inclusion bodies	None
Dohle-like leukocyte inclusion bodies	None
Inguinal abscess	None
Groin abscess	None
Acute respiratory tract infection	None
Recurrent acute respiratory tract infection	None
Monoclonal hypergammaglobulinemia	None
Paraproteinemia	None
Anti-Ro/SS-A antibody positivity	None
Anti-Ro/SSA antibody positivity	None
Endocarditis	None
Superficial dermal perivascular inflammatory infiltrate	None
Superficial perivascular inflammatory infiltrate	None
Polyclonal elevation of circulating IgE	None
Cytoplasmic antineutrophil antibody positivity	None
Anti-neutrophil cytoplasmic antibody positivity	None
Cellular immunodeficiency	None
Lymphadenitis	None
Inflammation of the lymph nodes	None
Severe norovirus infection	None
Multilocular splenic abscess	None
Multifocal splenic abscess	None
Anti-GM2 antibody positivity	None
Spinal epidural abscess	None
A severe pyogenic infection of the epidural space	None
Enlargment of tonsils	None
Tonsillar hypertrophy	None
tonsils large/hypertrophy	None
Enlarged tonsils	None
Eosinophilic granuloma	None
Anti-H1 antibody positivity	None
Persistent EBV viremia	None
Anti-PTPA antibody positivity	None
Anti-tyrosine phosphatase region of islet antigen-2 antibody positivity	None
Recurrent upper and lower respiratory tract infections	None
Decreased immunoglobulin level in body fluid	None
Asplenia	None
Absent spleen	None
Abnormality of lymphocyte number	None
Abnormal numbers of lymphocytes	None
Abnormal number of lymphocytes	None
Abnormal lymphocyte counts	None
Abnormal lymphocyte count	None
Reduced CH50	None
Reduced hemolytic complement activity	None
Unusual skin infection	None
Lymphatic disease	None
Abnormality of the lymphatic system	None
Cervical lymphadenopathy	None
Swollen lymph nodes in the neck	None
Recurrent Staphylococcus aureus infections	None
Staphylococcus aureus infections, recurrent	None
Splenogonadal fusion	None
Unusual virus reactivation	None
Anti-CV2/CRMP5 antibody positivity	None
Anti-collapsin response-mediated protein 5 antibody	None
Anti-CV2/collapsin response mediator protein (CRMP)5 antibody	None
Anti-CV2 antibody	None
Generalised periodontal disease	None
Generalized periodontal disease	None
Generalized gum disease	None
Generalized periodontitis	None
Generalised gum disease	None
Generalised periodontitis	None
Widespread gum disease	None
Recurrent viral pneumonia	None
AML-M5	None
Acute monocytic leukemia	None
AMoL	None
Acute monoblastic leukaemia	None
Acute monocytic leukaemia	None
Acute monoblastic leukemia	None
Reduction of neutrophil motility	None
Increased proportion of transitional B cells	None
Increased proportion of CD19+CD38+IgM+ cells	None
Splenic infarct	None
Spleen infarct	None
Spleen infarction	None
Splenic infarction	None
Decreased proportion of plasmablasts	None
Combined immunodeficiency	None
Lower respiratory tract infections	None
Chronic lung infections	None
Recurrent lower respiratory tract infections	None
Recurrent chest infections	None
Orange discolored tonsils	None
Tonsils with orange deposits	None
Orange tonsils	None
Orange discoloured tonsils	None
Orange colored tonsils	None
Orange coloured tonsils	None
Abnormal B cells	None
Abnormal B cell morphology	None
Abnormality of B cells	None
Aspergillus infections, recurrent	None
Recurrent Aspergillus infections	None
Unusual fungal infection	None
Increased circulating IgG1 level	None
Meconium peritonitis	None
Recurrent streptococcus pneumoniae infections	None
IL-12 high in blood	None
Increased circulating interleukin 12 concentration	None
Aspiration pneumonia	None
Recurrent pulmonary infections	None
Recurrent pneumonia	None
Pneumonia, recurrent episodes	None
pulmonary infections, recurrent	None
Pneumonia, recurrent	None
Pulmonary infections	None
Pulmonary infection	None
Multiple pulmonary infections	None
Thyroid gland inflammation	None
Thyroiditis	None
Anti-p62 antibody positivity	None
Anti-nucleoporin 62 antibody positivity	None
Elevated proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells	None
Increased number of CD4-/CD8- T cells expressing alpha/beta T-cell receptors	None
ACA positivity	None
Anticentromere antibody positivity	None
Anti-centromere antibody positivity	None
Celiac sprue	None
Coeliac sprue	None
Coeliac disease	None
Celiac disease	None
Juvenile myelomonocytic leukemia	None
Juvenile myelomonocytic leukaemia	None
Anti-transglutaminase 2 antibody positivity	None
Anti-endomysial antibody positivity	None
Punctate keratitis	None
Leukocyte migration defect	None
Defects of leukocyte migration	None
Abnormal leukocyte migration	None
IgD hypergammaglobulinemia	None
Elevated IgD	None
Increased IgD level	None
Increased levels of IgD	None
Elevated serum IgD	None
Increased serum IgD	None
Increased circulating IgD level	None
Biphenotypic acute leukaemia	None
Myeloid/lymphoid leukaemia	None
Biphenotypic acute leukemia	None
Acute biphenotypic leukaemia	None
Myeloid/lymphoid leukemia	None
Constrictive pericarditis	None
Status asthmaticus	None
Acute severe asthma	None
Abnormal circulating interleukin 21 concentration	None
Increased proportion of CD8-positive, alpha-beta memory T cells	None
Monocytosis	None
High blood monocyte number	None
IgE-mediated insect bite allergy	None
Allergy to insect bites	None
Immunoglobulin E-mediated insect bite allergy	None
Insect bite allergy	None
Comedogenic acne	None
Comedonal acne	None
Increased circulating interleukin 4 concentration	None
IL-4 high in blood	None
Anti-GD1b antibody positivity	None
Post-vaccination measles	None
Vaccine associated measles	None
Fungal meningitis	None
Oligoclonal elevation of circulating IgE	None
Decreased circulating IgG subclass level	None
Decreased IgG subclass level in blood	None
Splenomegaly	None
Increased spleen size	None
Insulin receptor antibody positivity	None
Anti-GQ1b IgG antibody positivity	None
Anti-Homer-3 antibody	None
Anti-Homer protein homolog 3 antibody	None
Absent natural killer cells	None
Absent NK cells	None
Decreased serum terminal complement component	None
Increased anti-parasite IgE antibody level	None
Anti-H4 antibody positivity	None
Animal protein allergy	None
Immunoglobulin E-mediated animal protein allergy	None
Allergy to animal proteins	None
IgE-mediated animal protein allergy	None
Abnormal IgM level in blood	None
Abnormal circulating IgM level	None
MRSA infection	None
Methicillin-resistant Staphylococcus aureus infection	None
Anti-Ma antibody positivity	None
Chronic (near) absent circulating IgG1	None
Chronic (near) absent IgG1 in blood	None
Abnormal proportion of central memory CD4+, alpha-beta T cells	None
Abnormal proportion of CD4+ central memory cells	None
Abnormal thoracic duct morphology	None
Verneuil's disease	None
Hidradenitis suppurativa	None
Acne inversa	None
Smoker's boils	None
Pyoderma fistulans significa	None
Anti-SRP antibody positivity	None
Anti-signal recognition particle antibody positivity	None
Anti-thyroid peroxidase antibody positivity	None
TPOAbs	None
Anti-TPO antibody positivity	None
Panuveitis	None
Chronic partially decreased circulating IgG2	None
Chronic partially decreased IgG2 in blood	None
Pulmonary histoplasmosis	None
Abnormal proprotion of gamma-delta T lymphocytes	None
Abnormal proportion of gamma-delta T cells	None
Abnormal proportion of gamma-delta T-lymphocytes	None
Abnormal proportion of gammadelta T cells	None
Reduction in B cell number	None
B cell lymphopenia	None
Low B cell count	None
B cell deficiency	None
B lymphocytopenia	None
Decreased B cell count	None
Persistent human papillomavirus infection	None
Severe viral infection	None
Conjunctivitis, recurrent	None
Conjunctivitis	None
Pink eye	None
Recurrent Serratia marcescens infections	None
Increased proportion of marginal zone B cells	None
Decreased specific antibody response to infection	None
Partial IgA deficiency	None
Recurrent deep organ abscess formation	None
Membranous nephropathy	None
Membranous glomerulonephritis	None
Anti-PKCgamma antibody	None
Anti-Protein kinase C gamma antibody	None
Pyelonephritis	None
Cd43 defectively expressed on surface of blood cells	None
Reduced lymphocyte surface expression of sialophorin	None
Reduced lymphocyte surface expression of CD43	None
Anti-MPO antibody positivity	None
Anti-myeloperoxidase antibody positivity	None
Anti-SOX1 antibody	None
Anti-Sry-like high mobility group box (SOX) 1 antibody	None
Reduced proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells	None
Sinusitis, recurrent	None
Recurrent sinusitis	None
Recurrent sinus disease	None
Anti-centromere protein A antibody positivity	None
Anti-CENP-A antibody positivity	None
Anti-PSP antibody positivity	None
Anti-parotid secretory protein antibody positivity	None
Decreased specific antibody response to protein-conjugated polysaccharide vaccine	None
Anti-ganglioside antibody positivity	None
Complete or near-complete absence of isohemagglutinins	None
Absent natural antibody to blood group agents	None
Absent isohemagglutinin level	None
Athymia	None
Absent thymic shadow	None
Aplasia of the thymus	None
Lack of thymic shadow	None
Absent thymus	None
Allergy	None
Anti-glycine receptor antibody	None
Anti-GlyR antibody	None
Monoclonal elevation of intact IgG	None
Food-induced anaphylaxis	None
Vesicular eruption	None
Recurrent cystitis	None
Recurrent bladder infections	None
Inflammation of the outer white part of the eye	None
Scleritis	None
Decreased serum complement C7	None
Dust mite allergy	None
Immunoglobulin E-mediated dust mite allergy	None
IgE-mediated dust mite allergy	None
Allergy to dust mites	None
Opportunistic fungal infection	None
Respiratory infections in early life	None
Vulvar abscess	None
Lymphoid cholangitis	None
B Acute Lymphoblastic Leukemia	None
Pre-B-cell acute lymphoblastic leukemia	None
B Acute Lymphoblastic Leukaemia	None
Pre-B-cell acute lymphoblastic leukaemia	None
Intestinal inflammation	None
Reduced NK cell number	None
Reduced natural killer cell number	None
Reduced natural killer cell count	None
Recurrent Klebsiella infections	None
Klebsiella infections, recurrent	None
Anti-Neuronal Nuclear Antibody type-1 antibody	None
Anti-Hu antibody positivity	None
Anti-ANNA-1 antibody	None
Elevated proportion central memory CD4-positive, alpha-beta T cells	None
Increased proportion of central memory CD4-positive, alpha-beta T cells	None
Increased proportion of central memory CD4+, alpha-beta T cell	None
Elevated proportion of CD4+ central memory cells	None
Increased proportion of CD4+ central memory cells	None
Aspirin-induced asthma	None
Anti-BP230 antibody positivity	None
Disseminated molluscum contagiosum	None
Increased proportion of exhausted T cells	None
Decreased specific antibody response to protein vaccine	None
Allergy to feathers	None
Immunoglobulin E-mediated feather allergy	None
Feather allergy	None
IgE-mediated feather allergy	None
Abnormal circulating IgG level	None
Abnormal IgG level in blood	None
Recurrent Haemophilus influenzae infections	None
Recurrent H. influenzae infections	None
Congenital agranulocytosis	None
Recurrent E. coli infections	None
E coli infections	None
E coli infections, recurrent	None
Unusual protozoan infection	None
Complete or near-complete absence of specific antibody response to hepatitis B vaccine	None
Anti-Amphiphysin antibody	None
Abnormal proportion of naive CD8 T cells	None
Abnormal CD4:CD8 ratio	None
Anti-TRIM46 antibody	None
Anti-GD1b IgG antibody positivity	None
Infection-ssociated lymphopenia	None
Infection-ssociated lymphocytopenia	None
Cytokine storm	None
Hypercytokinemia	None
Anti-glutamic acid decarboxylase 65 antibody	None
Anti-GAD65 antibody	None
Abnormal lymphocyte surface marker expression	None
Negative NBT reduction test	None
Negative nitroblue tetrazolium reduction test	None
Impaired oxidative burst	None
Chronic decreased circulating IgE	None
Chronic decreased IgE in blood	None
Anti-JO1 antibody positivity	None
Anti-histidyl tRNA synthetase antibody positivity	None
Anti-Jo-1 antibody positivity	None
Chronic tinea infection	None
Neuroinflammation	None
Positive direct antiglobulin test	None
Anti-PL-12 antibody positivity	None
Anti-alanyl-tRNA synthetase antibody positivity	None
Severe influenza infection	None
Abnormal middle-ear-muscles (MEM) reflex	None
Abnormal auditory reflex	None
Abnormality of stapedial reflex	None
Abnormality of the acoustic reflex	None
Hypoplasia of the antihelix	None
Hypoplastic antihelix	None
Vestibular areflexia	None
Vestibular ataxia	None
Cutaneous stenosis of the external auditory canal	None
Abnormality of the malleus	None
Ear tumour	None
Ear tumor	None
Neoplasm of the ear	None
Abnormality of the cochlear nerve	None
Osseous atresia of the external auditory canal	None
Late sensorineural hearing loss	None
Adult onset sensorineural hearing impairment	None
Sensorineural deafness, late-onset	None
Progressive hearing impairment	None
Progressive hearing loss	None
Extra concha fold	None
Concha, Extra Fold	None
Absent internal auditory canal	None
Helix, Darwin tubercle	None
Darwin tubercle of helix	None
Moderate sensorineural hearing impairment	None
Moderate neural deafness	None
Functional abnormality of the inner ear	None
Aplasia of the eighth cranial nerve	None
Absent the eighth cranial nerve	None
Absent vestribular nerve	None
Aplasia of cranial nerve VIII	None
Aplasia of the vestibular nerve.	None
Absent cranial nerve viii	None
Unilateral external ear deformity	None
Deformed external ear on one side	None
Abnormal helix morphology	None
Abnormality of the helix	None
Helix abnormal	None
Abnormal helices	None
Tympanic calcification	None
Tympanosclerosis	None
Abnormality of the internal auditory canal	None
Abnormality of the internal acoustic meatus	None
Telangiectasia of the ear	None
Paroxysmal vertigo	None
Hypoplasia of the vestibule of the inner ear	None
Focal absence of the external ear	None
Helix, crus, connected to antihelix	None
Crus of helix connected to antihelix	None
Congenital conductive deafness	None
Congenital conductive hearing impairment	None
Congenital conductive hearing loss	None
Additional crus of antihelix	None
High frequency sensorineural hearing impairment	None
High-frequency sensorineural hearing impairment	None
High-tone sensorineural deafness	None
High-tone sensorineural hearing impairment	None
Hearing impairment	None
Hearing loss	None
Hearing defect	None
Hypoacusis	None
Deafness	None
Hypacusis	None
Absent semicircular canal	None
Aplasia of the semicircular canal	None
Basalioma of the outer ear	None
Poorly folded helices	None
Underfolded helix	None
Decreased incisura length	None
Cholesteatoma	None
Transient hearing impairment	None
Cochlear malformation	None
Lop ear	None
Cerumen abnormality	None
Morphological abnormality of the vestibule of the inner ear	None
Vestibular abnormality	None
Anteverted ears	None
Helix, crus, absent	None
Absent crus of helix	None
Vestibular schwannoma	None
Vestibular neurolemmoma	None
Vestibular Schwann cell tumor	None
Acoustic Neuroma	None
Vestibular neurilemmoma	None
Vestibular Schwann cell tumour	None
Vestibular neurinoma	None
Thickened ears	None
Crumpled ear	None
Hypertrophic antihelix stem	None
Prominent stem of antihelix	None
Hyperplastic antihelix stem	None
Auricular pit	None
Inner ear abnormality	None
Abnormality of the inner ear	None
Impairment of the the acoustic reflex	None
Low-set, posteriorly rotated ears	None
Low-set posteriorly rotated ears	None
Hypoplastic tragus	None
Small tragus	None
Underdeveloped tragus	None
Hypotrophic tragus	None
Progressive conductive hearing impairment	None
Progressive conductive deafness	None
Thin ear helix	None
Morphological abnormality of the posterior semicircular canal	None
Ear anomaly	None
Abnormality of the ear	None
Glue ear	None
Lowset ears	None
Low-set pinnae	None
Melotia	None
Low-set ears	None
Low set ears	None
Morphological abnormality of the lateral semicircular canal	None
Morphological abnormality of the horizontal semicircular canal	None
Stapes fixation	None
Stapes ankylosis	None
Abnormal cerumen pigmentation	None
Abnormal cerumen colour	None
Abnormal cerumen color	None
Auricular tag	None
Abnormal ear physiology	None
Congenital absence of external ear	None
Absent ear	None
Anotia	None
Absent ears	None
Prominent ear lobes	None
Prominent ear lobules	None
Fleshy earlobes	None
Large earlobe	None
Fleshy earlobe	None
Enlarged vestibular aqueduct	None
Widened vestibular aqueduct	None
Dilated vestibular aqueduct	None
Posteriorly-angulated ears	None
Posteriorly angulated ears	None
Posteriorly rotated	None
Posteriorly-rotated ears	None
Posteriorly rotated auricles	None
Ears rotated toward back of head	None
Posteriorly rotated ears	None
Ear, posterior angulation, increased	None
Vestibular dysfunction	None
Vestibular function defect	None
Impaired vestibular function	None
Interictal vestibular dysfunction	None
Bilateral acoustic neuromas	None
Bilateral vestibular schwannoma	None
Long ear	None
Long ears	None
Small semicircular canal	None
Hypoplasia of the semicircular canals	None
Hypoplasia of the semicircular canal	None
Uplifted earlobe	None
Lobe, uplifted	None
Upturned earlobes	None
Fleshy upturned lobules	None
Uplifted earlobes	None
Upturned earlobe	None
Microtia, first degree	None
First-degree microtia	None
Broad inferior crus of antihelix	None
Antihelix, inferior crus, broad	None
Incomplete partition of the cochlea type I	None
Absent vestibular function	None
Quelprud nodule	None
Synotia	None
Conductive hearing loss, moderate	None
Moderate conductive hearing impairment	None
Morphological abnormality of the semicircular canal	None
Absent eustachian tube	None
Aplasia of the Eustachian tube	None
Transverse earlobe creases	None
Earlobe crease	None
Anterior creases of earlobe	None
Aplasia of the vestibule	None
Absent vestibule	None
Absent stapes	None
Morphological abnormality of the nerves of the inner ear	None
Stapedial abnormalities	None
Abnormality of the stapes	None
Abnormally folded helix	None
Incomplete partition of the cochlea	None
Abnormal vestibulo-ocular reflex	None
Abnormal vestibuloocular reflex	None
Fusion of middle ear ossicles	None
Short ears	None
Short ear	None
Profound sensorineural hearing impairment	None
Mixed hearing loss	None
Mixed hearing impairment	None
Hearing loss, mixed	None
Morphological abnormality of the anterior semicircular canal	None
Thickened helices	None
Thick helix	None
Abnormality of the tympanic membrane	None
Abnormality of the eardrum	None
Abnormality of superior crus of antihelix	None
Abnormality of posterior crus of antihelix	None
Abnormal incisura morphology	None
Satyr ear	None
Devil ear	None
Conductive hearing loss, mild	None
Mild conductive hearing impairment	None
Abnormality of the oval window	None
Abnormality of the vestibular window	None
Fluid behind eardrum	None
Otitis media with effusion	None
Antihelix, inferior crus, underdeveloped	None
Hypoplastic inferior crus of antihelix	None
Underdeveloped inferior crus of antihelix	None
Hypotrophic inferior crus of antihelix	None
Abnormal pinnae	None
Abnormality of the auricle	None
External ear malformations	None
Abnormality of the external ear	None
Ear anomalies	None
Malformed pinnae	None
Abnormality of the outer ear	None
Outer ear abnormality	None
Abnormality of the crus of the ear	None
Abnormality of the crus of the helix	None
Diagonal earlobe crease	None
Abnormal number of tubercles	None
Serpiginous stem of antihelix	None
Antihelix, stem, serpiginous	None
Double antitragus	None
Bifid antitragus	None
Linear earlobe crease	None
Severe sensorineural hearing impairment	None
Severe sensorineural deafness	None
Severe sensorineural hearing loss	None
Absent tragus	None
Cutaneous atresia of the external auditory canal	None
Hypoplastic earlobes	None
Hypoplastic lobules	None
Small earlobes	None
Small earlobe	None
Asymmetry of the position of the ears	None
Uneven ears	None
Conductive deafness	None
Hearing loss, conductive	None
Conduction deafness	None
Conductive hearing loss	None
Conductive hearing impairment	None
Progressive cochlear degeneration	None
Cochlear degeneration	None
Old-aged sensorineural hearing impairment	None
Presbycusis	None
Abnormal middle ear reflexes	None
Aminoglycoside-induced hearing loss	None
Underdeveloped ears	None
Hypoplastic ears	None
Small ears	None
Microtia	None
Hypoplastic pinna	None
Bilateral microtia	None
Small pinnae	None
Hypoplasia of the external ear	None
Antihelical shelf	None
Conchal shelf	None
Underdeveloped crus of the helix	None
Hypoplasia of the crus of the ear	None
Underdeveloped crus of the ear	None
Morphological abnormality of the middle ear	None
Middle ear malformation	None
Mild hearing impairment	None
Impairment of the reflex of the tensor tympani muscle	None
Long hairs growing from helix of ear	None
Long hairs growing from helix of pinna	None
Ear hair	None
Darwin notch of helix	None
Helix, Darwin notch	None
Abnormality of cartilage of external ear	None
Absent/small ear lobes	None
Absent/underdeveloped ear lobes	None
Aplasia/Hypoplasia of the earlobes	None
Underfolded superior helices	None
Atresia of the Eustachian tube	None
Auditory canal abnormality	None
Abnormality of the auditory canal	None
Absent antitragus	None
Malformed auricles	None
Malformed ears	None
Auricular malformation	None
Malformation of auricle	None
Malformed external ears	None
Abnormally shaped ears	None
Abnormal pinna morphology	None
Dysplastic ears	None
Deformed ears	None
Abnormal form of ears	None
Deformed auricles	None
Minor malformation of the auricles	None
Poorly defined conchae	None
Sensorineural deafness	None
Sensorineural hearing impairment	None
Sensorineural hearing loss	None
Hearing loss, sensorineural	None
Abnormality of the round window	None
Deafness, sensorineural, prelingual	None
