Pneumomediastinum	HP:0025421
Nephrogenic rest	None
Unilateral cryptorchidism	None
Cryptorchidism, unilateral	None
Vaginal fistula	None
Increased urinary sedoheptulose	None
Nephroblastomatosis	None
Endometrial carcinoma	None
Dark urine	None
Extracapillary hypercellularity	None
Glomerular extracapillary hypercellularity	None
Extracapillary glomerular hypercellularity	None
Shawl scrotum	None
Scrotum surrounds penis	None
Overriding scrotum	None
Renal salt-wasting	None
Salt wasting	None
Salt-wasting	None
Loss of salt in urine	None
Renal salt wasting	None
Fibrocellular crescent	None
Hyperuricosuria	None
Increased urinary urate	None
High urine uric acid level	None
Abnormal urinary odor	None
Abnormal urine smell	None
Abnormal urinary odour	None
Vaginal clear cell adenocarcinoma	None
Clear cell adenocarcinoma of the vagina	None
Saccharopinuria	None
Thickened glomerular basement membranes with no electron dense deposits	None
Abnormal labia minora morphology	None
Abnormality of the inner vaginal lips	None
Abnormality of the labia minora	None
Calcified ovarian cyst	None
Dysplastic kidneys	None
Renal dysplasia	None
Renal adysplasia	None
Abnormal size of the clitoris	None
Increased urinary homovanillic acid	None
Elevated urinary homovanillic acid	None
Rectal fistula	None
Bilateral renal atrophy	None
Bilateral kidney degeneration	None
Increased valine in urine	None
Valinuria	None
Caliceal diverticulum	None
Renal pelvic diverticulum	None
Renal diverticulum	None
Pelvic diverticulum	None
Renal anomaly	None
Renal anomalies	None
Abnormality of the kidney	None
Abnormal kidney	None
Low-grade vesicoureteral reflux	None
Torsion of the penis	None
Absent scrotum	None
Enlarged polycystic ovaries	None
Enlarged ovaries with cysts	None
Mesangiolysis	None
Arcuate artery lumen organized thrombi	None
Organized thrombi within arcuate arterial lumen	None
Renal interstitial necrotizing granulomas	None
Renal interstitial necrotizing granulomata	None
Abnormality of the scrotum	None
Infantile hydrocele	None
Paroxysmal nocturnal haemoglobinuria	None
Paroxysmal nocturnal hemoglobinuria	None
Membranoproliferative glomerulonephritis type II	None
Dense deposit disease	None
Glomerular subendothelial electron-dense deposits	None
Intratubular leukocyte casts	None
Benign prostatic hypertrophy	None
Benign prostatic hyperplasia	None
Abnormal uterus morphology	None
Impaired renal tubular reabsorption of uric acid	None
Bifid clitoris	None
Gonadal tissue inappropriate for external genitalia or chromosomal sex	None
Elevated urinary N-butyrylglycine	None
Arcuate intimal/medial venulitis	None
Venulitis within arcuate vein intima/media	None
Arcuate artery intima/media liquefactive necrosis	None
Liquefactive necrosis of the arcuate artery intima/media	None
Subepithelial glomerular basement membrane electron dense deposits	None
Elevated urinary DPD	None
Increased urine deoxypyridinoline level	None
Glomerular endotheliosis	None
Endocrinization pattern of tubular atrophy	None
Endocrine-type tubular atrophy	None
Renal tubular atrophy, endocrine-type	None
Medullary nephrocalcinosis	None
Abnormal cortical peritubular capillary lumen morphology	None
Elevated urinary uromodulin	None
Elevated urinary Tamm-Horsfall protein concentration	None
Intratubular light-chain casts	None
Acetonuria	None
Ketoaciduria	None
Ketone bodies in urine	None
Ketonuria	None
Ketonaciduria	None
Perilobar nephrogenic rest	None
Perilobar nephrogenic rests	None
Increased scrotal rugation	None
Cervical insufficiency	None
Incompetent cervix	None
High urine homocystine levels	None
Homocystinuria	None
Duplication of renal pelvis	None
Abnormal male urethral meatus morphology	None
Scrotal hypospadias	None
Isothenuria	None
Abnormal sperm morphology	None
Teratozoospermia	None
Teratospermia	None
Abnormal shape of sperm	None
Streak ovary	None
Medullary peritubular capillary erythrocyte congestion	None
Podocyte multinucleation	None
Multinucleated podocytes	None
Multinucleated visceral epithelial cells	None
Reduced ratio of renal calcium clearance to creatinine clearance	None
Reduced ration of renal Ca clearance to creatinine clearance	None
Reduced ration of renal Ca2+ to creatinine clearance	None
Reduced ration of kidney calcium clearance to creatinine clearance	None
Increased urinary glycerol	None
Minimal change glomerulonephritis	None
Minimal change disease	None
Minimal change nephropathy	None
Rectovestibular fistula	None
Vestibular fistula	None
Multiflagellar spermatozoa	None
Multi-tailed spermatozoa	None
Urethral valve	None
Abnormal podocyte morphology	None
Abnormal visceral epithelial cell morphology	None
Abnormal glomerular visceral epithelial cell morphology	None
Sigmoid kidney	None
S-shaped kidney	None
Type B cross fused renal ectopia	None
Glomerular basement membrane spikes	None
Scrotal cleft	None
Bifid scrotum	None
Cleft of scrotum	None
Ambiguous genitalia, female	None
Ambiguous genitalia due to virilization	None
Atypical appearance of female genitals	None
Abnormal sex determination	None
Nephroptosis	None
Renal ptosis	None
Floating kidney	None
Fibrous crescent	None
Intermenstrual bleeding	None
Abnormal uterus bleeding	None
Metrorrhagia	None
Menstrual spotting	None
Testicular degeneration	None
Testicular atrophy	None
Necrosis within interlobular vein intima/media	None
Interlobular vein intima/media necrosis	None
Increased calcium level in kidney	None
Nephrocalcinosis	None
Too much calcium deposited in kidneys	None
Recurrent cystitis	None
Recurrent bladder infections	None
Bladder exstrophy	None
Ectopia vesicae	None
Cortical radial artery intima/media necrosis	None
Necrosis within interlobular arterial intima/media	None
Glomerulomegaly	None
Abnormal interlobular vein intima/media morphology	None
Impaired renal tubular reabsorption of bicarbonate	None
Glomerular endothelial tubuloreticular inclusion	None
Dibasicaminoaciduria	None
Tubular microcystic change	None
Renal oncocytoma	None
Bence Jones Proteinuria	None
Renal interstitial neutrophil infiltration	None
Glutaminuria	None
Hyperglutaminuria	None
Glutamine high in urine	None
Glomerular basement membrane lamellation	None
Lamellation of the glomerular basement membrane	None
Lamellated/basket-woven thickened glomerular basement membranes	None
Diffusely thickened glomerular basement membrane	None
Multilamellation (onion skinning) within interlobular arterial intima/media	None
Cortical radial artery intima/media onion skinning	None
Cortical radial artery intima/media multilamellation	None
Cervical agenesis	None
Absent cervix	None
Cervical aplasia	None
Aplasia of the cervix	None
Hemolytic uremic syndrome	None
Hemolytic-uremic syndrome	None
Benign genitourinary tract tumor	None
Benign genitourinary tract tumour	None
Benign genitourinary tract neoplasm	None
Benign GU tract neoplasm	None
Increased urinary K	None
Increased urinary potassium	None
Hyperkaliuresis	None
Displacement of the urethral meatus	None
Displacement of the male external urethral orifice	None
Displacement of the external urethral orifice	None
Abnormal arcuate vein lumen morphology	None
Elevated urinary uridine level	None
Elevated uridine in urine	None
Supernumerary testes	None
Polyorchidism	None
Extra testes	None
Cortical radial artery medial/intimal arteriitis	None
Arteritis within interlobular arterial intima/media	None
Interlobular artery medial/intimal arteriitis	None
Increased urinary type 1 collagen N-terminal telopeptide level	None
Increased urine NTx level	None
Increased collagen crosslinked N-telopeptide [Moles/volume] in 24 hour urine	None
Organized thrombi within interlobular vein lumen	None
Elevated urinary carboxylic acid	None
Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate	None
Tubular phosphate reabsorption low	None
Renal phosphate wasting	None
Decreased renal tubular phosphate reabsorption	None
Cervical endometriosis	None
Urine issues	None
Pee issues	None
Abnormality of urine homeostasis	None
Hyperplasia of the Leydig cells	None
Subendothelial glomerular basement membrane electron dense deposits	None
Increased proteinogenic amino acid level in urine	None
Elevated urinary 4-hydroxybutyric acid	None
Dilated vas deferens	None
Vas deferens dilated	None
Hypopigmented genitalia	None
Decreased genital pigmentation	None
Arcuate artery intima/media arteriitis	None
Arteritis within arcuate arterial intima/media	None
Increased concentration of fucosylated oligosaccharides in urine	None
Increased urinary fucosylated oligosaccharide	None
Increased urinary excretion of galactosyl hydroxylysine	None
Impaired renal tubular reabsorption of glucose	None
Decreased renal parenchymal thickness	None
High urine aspartylglucosamine levels	None
Aspartylglucosaminuria	None
Renal arteriole intima/media necrosis	None
Congenital megalourethra	None
Renal medullary hyperechogenicity	None
Increased renal medullary echogenicity	None
Perihilar glomerular hyalinosis	None
Renal tubulointerstitial mycobacterial organisms	None
Tubulointerstitial mycobacterial infiltration	None
Urinary lipid excretion	None
Lipiduria	None
Abnormalities of arcuate arteries	None
Abnormal arcuate artery morphology	None
Anorchism	None
High N/C ratio of renal tubular epithelial cells	None
High renal tubular epithelial cell N/C ratio	None
IgA deposition in the glomerulus	None
IgA nephropathy	None
Hyperchromasia of renal tubular epithelial cells	None
Condensed chromatin of renal tubular epithelial cells	None
Abnormal urine sebacic acid concentration	None
Abnormal urine decanedioic acid concentration	None
Alaninuria	None
Increased urinary alanine	None
Penile hypospadias	None
Abnormal penis morphology	None
Abnormality of the penis	None
Renal tubular necrosis	None
Renal tubular epithelial necrosis	None
Acute tubular necrosis	None
Abnormal sperm axoneme morphology	None
Elevated urine acetoacetic acid level	None
Increased level of galactitol in urine	None
Abnormal cortical peritubular capillary morphology	None
Urinary oval fat bodies	None
Duplicated clitoris	None
Obstruction of bladder outlet	None
Bladder outlet obstruction	None
Abnormality of reproductive system physiology	None
Genital functional abnormality	None
Abnormality of genital physiology	None
Elevated urinary N-acetylaspartic acid level	None
Abnormality of renal cortex morphology	None
Abnormal renal cortex morphology	None
Diseased glomeruli	None
Glomerulopathy	None
Increased urinary porphobilinogen	None
Congenital absence of foreskin	None
Absent foreskin	None
Aposthia	None
Visceral epithelial hyaline droplets	None
Paraphimosis	None
Lysinuria	None
High urine lysine levels	None
Hyperlysinuria	None
Renal Ca2+ wasting	None
Renal Ca wasting	None
Kidney Ca2+ wasting	None
Kidney Ca wasting	None
Renal calcium wasting	None
Kidney calcium wasting	None
Grade V VUR	None
VUR V	None
Grade V vesicoureteral reflux	None
Impotence due to autonomic dysfunction	None
Autonomic erectile dysfunction	None
Leukocyte cylindruria	None
White blood cell casts	None
Multiple renal cysts	None
Multiple kidney cysts	None
Calcium oxalate crystalluria	None
Podocyte infolding	None
Membranous nephropathy	None
Membranous glomerulonephritis	None
Increased glomerular mesangial matrix	None
Mesangial matrix expansion	None
Cervicitis	None
Uterine cervix inflammation	None
Uterine cervicitis	None
Abnormal labia morphology	None
Abnormality of the labia	None
Increased urinary non-proteinogenic amino acid level	None
Elevated urinary non-proteinogenic amino acid level	None
Increased polyhexose concentration in urine	None
Increased urinary polyhexose	None
Bilateral foetal pyelectasis	None
Bilateral foetal pyelectasia	None
Bilateral fetal pyelectasis	None
Bilateral fetal pyelectasia	None
Renal cortical hyperechogenicity	None
Retractile testis	None
Retractile testicle	None
Leydig cell neoplasia	None
Coiled sperm flagella	None
Bilateral absent ovaries	None
Aplasia of the ovary	None
Aplasia of the ovaries	None
Absent ovary	None
Cervical intraepithelial neoplasia	None
Abnormal ureter morphology	None
Multinucleation of renal tubular epithelial cells	None
Intraluminal thrombi within arcuate arterial lumen	None
Arcuate artery intraluminal thrombi	None
Decreased fertility	None
Abnormal fertility	None
Nephritis	None
Kidney inflammation	None
Balanitis	None
Hydrocolpos	None
Decreased urinary guanosine level	None
Abnormal preimplantation embryonic development	None
Maternal hypertension	None
Abnormal blood gas level in cord blood	None
Hyperoxemia in cord blood	None
High cord blood oxygen level	None
High cord blood carbon dioxide level	None
Hypercapnia in cord blood	None
Skewed maternal X inactivation	None
Distended jugular lymphatic sacs	None
Postterm pregnancy	None
Reversed end-diastolic umbilical artery flow	None
Four-vessel umbilical cord	None
Fetal skin edema	None
Digital constriction ring	None
Amniotic constriction rings of digits	None
Amniotic constriction rings of arms	None
Fetal pericardial effusion	None
Placenta increta	None
Absent end-diastolic umbilical artery flow	None
Fetal cerebellar hemisphere hemorrhage	None
5-minute APGAR score of 1	None
Low one-minute APGAR score	None
Low 1-minute APGAR score	None
Increased fetal lens echogenicity	None
Placental thromboembolism	None
Placental infarction	None
Fetal chylothorax	None
Meconium pseudocyst	None
Moderate to late preterm birth	None
Toxaemia of pregnancy	None
Hypertensive disorder of pregnancy	None
Toxemia of pregnancy	None
Reduced fetal femur/foot length ratio	None
Forceps delivery	None
Sonographic non-visualized fetal bladder	None
Hydrops fetalis	None
Lemon sign	None
Type 1 congenital pulmonary airway malformation	None
Abnormal fetal central nervous system morphology	None
Abnormal fetal CNS morphology	None
Cephalohematoma	None
Cephalohaematoma	None
Fetal intracranial hemorrhage	None
5-minute APGAR score of 0	None
10-minute APGAR score of 2	None
Primary Caesarian section	None
Maternal seizures	None
Maternal seizure	None
Low maternal circulating chorionic gonadotropin concentration	None
Low maternal serum hCG	None
Low maternal serum chorionic gonadotropin	None
1-minute APGAR score of 1	None
Meconium-stained amniotic fluid	None
Meconium stained amniotic fluid	None
Meconium staining of amniotic fluid	None
High maternal serum alpha-fetoprotein MoM	None
High maternal serum alpha-fetoprotein	None
Increased maternal serum alpha-fetoprotein level	None
High maternal circulating alpha-fetoprotein concentration	None
MSAFP MoM>2.5	None
High MSAFP MoM	None
Amniotic constriction rings of legs	None
1-minute APGAR score of 3	None
Abnormalities of placenta or umbilical cord	None
Hypocapnia in cord blood	None
Low cord blood carbon dioxide level	None
Congenital portosystemic venous shunt	None
Abnormality of prenatal development or birth	None
Fetal little finger curvature	None
Fetal pinkie finger curvature	None
Foetal little finger curvature	None
Foetal pinkie finger curvature	None
Foetal pinky finger curvature	None
Foetal fifth finger clinodactyly	None
Fetal pinky finger curvature	None
Fetal fifth finger clinodactyly	None
Foetal cystic hygroma	None
Fetal cystic hygroma	None
Abnormal fetal genitourinary system morphology	None
Increased fetal long bone echogenicity	None
Caesarian section	None
Abnormal fetal long-bone echogenicity	None
Breus' mole	None
Subchorionic thrombohematoma	None
Abnormality of the amniotic fluid	None
Abnormal amniotic fluid	None
Subchorionic septal cyst	None
Twin-to-twin transfusion	None
Twin to twin transfusion syndrome	None
Abnormality of ductus venosus blood flow	None
Decreased fetal movements	None
Decreased fetal movement	None
Decreased foetal activity	None
Decreased foetal movement	None
Reduced fetal movement	None
Decreased foetal movements	None
Less than 10 fetal movements in 12 hours	None
Dminished fetal movement	None
Reduced foetal movements	None
Foetal hypokinesia	None
Less than 10 foetal movements in 12 hours	None
Reduced foetal movement	None
Reduced fetal movements	None
Fetal hypokinesia	None
Decreased fetal activity	None
Decreased movement in utero	None
Placental issue	None
Abnormality of the placenta	None
Abnormal placenta morphology	None
Short foetal humerus length	None
Short fetal long bone in upper arm length	None
Short fetal humerus length	None
Short foetal long bone in upper arm length	None
Maternal oligohydramnios	None
Oligohydramnios	None
Low levels of amniotic fluid	None
Decreased amniotic fluid index	None
Secondary Caesarian section	None
Maternal anticardiolipin antibody positive	None
Fetal neck anomaly	None
Mild fetal ventriculomegaly	None
Mild foetal ventriculomegaly	None
Abnormal insertion of umbilical cord	None
Abnormal fetal pulmonary morphology	None
Maternal teratogenic exposure	None
Absence of stomach bubble on fetal sonography	None
Absent stomach bubble	None
Non-visualisation of the fetal stomach	None
Absence of stomach bubble on foetal sonography	None
Greasy, thick vernix caseosa-like scale	None
Caseous vernix-like desquamation	None
Preeclampsia	None
Pre-eclampsia	None
1-minute APGAR score of 4	None
Low maternal serum alpha-fetoprotein	None
Low maternal circulating alpha-fetoprotein concentration	None
Abnormal umbilical artery doppler waveform during pregnancy	None
Ectopic pregnancy	None
Small placenta	None
1-minute APGAR score of 6	None
Reduced fetal long bone echogenicity	None
Maternal fever during labor	None
Maternal fever during labour	None
Intrapartum fever	None
Long umbilical cord	None
Fetal choroid plexus cysts	None
Foetal choroid plexus cysts	None
Breech presentation	None
Breech presentation at birth	None
Feet or buttocks of foetus positioned near opening of uterus	None
Feet or buttocks of fetus positioned near opening of uterus	None
Abnormal intrauterine movements	None
Prenatal movement abnormality	None
FIUVV	None
Fetal umbilical vein dilatation	None
Fetal intra-abdominal umbilical vein varix	None
Increased nuchal fold thickness	None
Thickened nuchal skin fold	None
Excess nuchal skin	None
Increased nuchal fold	None
Thickened skin over the neck	None
Thickened nuchal skin	None
Thickened skin folds of neck	None
Thick nuchal fold	None
Abnormal fetal morphology	None
Structural fetal anomaly	None
Edematous chorionic villi	None
Abnormal fetal nasal bone visualization	None
10-minute APGAR score of 5	None
Fetal pleural effusion	None
Type 3 congenital pulmonary airway malformation	None
Maternal autoimmune disease	None
Vacuum-assisted vaginal delivery	None
Vacuum extraction	None
Ventouse delivery	None
Low 10-minute APGAR score	None
Echogenic bowel	None
Echogenic foetal bowel	None
Echogenic fetal bowel	None
Fetal cerebellar vermis hemorrhage	None
Maternal thrombophilia	None
Fetal intraventricular hemorrhage	None
Umbilical cord knot	None
10-minute APGAR score of 0	None
Type 2 congenital pulmonary airway malformation	None
Placenta acreta	None
Frank breech presentation	None
Maternal first trimester fever	None
Foetal polyuria	None
Fetal polyuria	None
Premature delivery because of cervical insufficiency or membrane fragility	None
Elevated fetal middle cerebral artery peak systolic velocity	None
Decreased middle cerebral artery pulsatility index	None
Choriocarcinoma	None
Complete breech presentation	None
Placenta percreta	None
Abnormal placental pentration beyond the uterine wall	None
Fetal nuchal edema	None
High maternal serum hCG	None
High maternal serum chorionic gonadotropin	None
High maternal circulating chorionic gonadotropin concentration	None
Abnormality of umbilical vein blood flow	None
Umbilical cord cyst	None
Persistent foetal circulation	None
Persistent fetal circulation	None
Fetal extra-axial hemorrhage	None
Foetal pyelectasis	None
Foetal renal pelvic dilatation	None
Fetal pyelectasis	None
Mild foetal hydronephrosis	None
Fetal renal pelvic dilatation	None
Mild fetal hydronephrosis	None
Desquamation of skin soon after birth	None
Placental hamartoma	None
Chorangioma	None
Low maternal serum PAPP-A	None
Low maternal circulating PAPP-A concentration	None
Preimplantation embryonic lethality	None
Preimplantation lethality	None
Omphalitis	None
Umbilical cord stump infection	None
Neonatal omphalitis	None
Premature birth following premature rupture of foetal membranes	None
Premature birth following premature rupture of fetal membranes	None
Short umbilical cord	None
Increased foetal movement	None
Foetal hyperkinesia	None
Fetal hyperkinesia	None
Increased fetal movement	None
Champagne cork sign	None
Abnormality of placental membranes	None
Abnormal placental membrane morphology	None
Extra-abdominal umbilical vein varix	None
Umbilical cord issue	None
Abnormality of the umbilical cord	None
Gastric pseudomass	None
Incomplete breech presentation	None
Two vessel umbilical cord	None
Two vessel cord	None
2 vessel umbilical cord	None
2 vessel cord	None
Two-vessel cord	None
Single umbilical artery	None
Only one artery in umbilical cord instead of two	None
Therapeutic abortion	None
Maternal fever during pregnancy	None
Maternal fever in pregnancy	None
Fetal head anomaly	None
Fetal distress	None
Foetal distress	None
1-minute APGAR score of 5	None
10-minute APGAR score of 3	None
Hydrops fetalis, nonimmune	None
Non-immune fetal hydrops	None
Non-immune foetal hydrops	None
Nonimmune hydrops	None
Hydrops fetalis, non-immune	None
Nonimmune hydrops fetalis	None
Villitis of unknown aetiology	None
Nonspecific chronic villitis	None
Villitis of unknown etiology	None
Chronic villitis	None
Chronic villitis (non-infectious)	None
Velamentous cord insertion	None
Placental enlargement	None
Large placenta	None
High levels of amniotic fluid	None
Increased amniotic fluid index	None
Hydramnios	None
Polyhydramnios	None
Low cord blood oxygen level	None
Hypoxemia in cord blood	None
Increased nuchal translucency	None
Vaginal birth after Caesarian	None
Persistent patent ductus venosus	None
Abnormal embryonic development	None
Abnormal fetal skeletal morphology	None
Abnormal chorion morphology	None
10-minute APGAR score of 6	None
Delivery by Odon device	None
Very preterm birth	None
Fetal neck mass	None
Grade III fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage with ventriculomegaly	None
Fetal posterior fossa hemorrhage	None
Recurrent spontaneous abortion	None
Spontaneous abortion, recurrent	None
Amniotic bands	None
Amniotic constriction ring	None
Amniotic constriction band	None
Pseudoainhum	None
Congenital constriction band sequence	None
Marginal umbilical cord insertion	None
Battledore placenta	None
Marginal cord insertion	None
Fetal ultrasound soft marker	None
Foetal ultrasound soft marker	None
Abnormal placental size	None
Congenital cystic adenomatoid malformation of the lung	None
Congenital cystic disease of the lung	None
Congenital pulmonary airway malformation	None
Cystic adenomatoid lung disease	None
CCAM	None
Prenatal double bubble sign	None
Hypoplasia of foetal nasal bone	None
Hypoplasia of fetal nasal bone	None
Underdeveloped foetal nose bone	None
Underdeveloped fetal nose bone	None
Abnormal fetal physiology	None
Functional fetal anomaly	None
Placental thickness increased	None
Increased placental thickness	None
Ductus venosus agenesis	None
Agenesis of the ductus venosus	None
Spontaneous chorioamniotic separation	None
Amnion-chorion separation	None
Premature delivery of affected infants	None
Preterm delivery	None
Premature birth	None
Premature delivery	None
Shortened gestation time	None
Preterm birth	None
Single-twin demise	None
Intrauterine fetal demise of one twin after midgestation	None
Intrauterine foetal demise of one twin after midgestation	None
Fetal cerebral parenchymal hemorrhage	None
Abnormal fetal gastrointestinal system morphology	None
Induced vaginal delivery	None
1-minute APGAR score of 2	None
Hypoplastic nasal bone	None
Umbilical cord haematoma	None
Umbilical cord hematoma	None
Absence of fetal nasal bone	None
Absent fetal nasal bone	None
Unossified nasal bone	None
Placental mesenchymal dysplasia	None
Maternal virilization in pregnancy	None
5-minute APGAR score of 5	None
Hyperemesis gravidarum	None
Extremely preterm birth	None
Hydatidiform mole	None
5-minute APGAR score of 3	None
Low five-minute APGAR score	None
Low 5-minute APGAR score	None
5-minute APGAR score of 2	None
Abnormal umbilical cord blood vessel morphology	None
Abnormal umbilical cord blood vessels	None
Fetal PAD narrowing-closure	None
Idiopathic constriction of the fetal ductus arteriosus	None
Fetal ductus arteriosus narrowing-closure	None
Premature closure of the ductus arteriosus	None
Fetal arterial duct narrowing-closure	None
PCDA	None
Fetal PDA narrowing-closure	None
Abnormal placental adhesion into the uterine wall	None
Early severe foetal akinesia sequence	None
Early severe fetal akinesia sequence	None
Fetal akinesia	None
Foetal akinesia sequence	None
Fetal akinesia sequence	None
Foetal akinesia	None
Delivery complication	None
Abnormal delivery	None
Fetal intraventricular hemorrhage with periventricular hemorrhage	None
Grade IV fetal intracranial hemorrhage	None
Vasa previa	None
Formation of multiple pronuclei during fertilization	None
10-minute APGAR score of 4	None
Anti-class II HLA antibody positivity	None
Infection following live vaccination	None
Anti-glycine receptor antibody	None
Anti-GlyR antibody	None
Recurrent cutaneous abscess formation	None
Acute colitis	None
Aspergillus infections, recurrent	None
Recurrent Aspergillus infections	None
Decreased serum terminal complement component	None
Abnormal circulating interleukin 27 concentration	None
Decreased proportion of gamma-delta T-cells	None
Decreased proportion of gamma-delta T cells	None
Decreased proportion of gamma-delta T-lymphocytes	None
Decreased proportion of gammadelta T cells	None
Decreased proportion of gamma-delta T lymphocytes	None
Reduced proportion of gamma-delta T cells	None
Viral hepatitis	None
Anti-C1q antibody positivity	None
Anti-complement component C1q antibody positivity	None
Abscess	None
Tubo-ovarian abscess	None
Carbuncle	None
Decreased IgG3 level in blood	None
Decreased circulating IgG3 level	None
Decreased proportion of unswitched memory B cells	None
Reduced proportion of unswitched memory B cells	None
Decreased proportion of non-class-switched memory B cells	None
Increased proportion of effector memory CD4-positive, alpha-beta T cells	None
Increased susceptibility to neisseria meningitidis infections	None
Recurrent meningococcal disease	None
Lipogranulomatosis	None
Abnormal proportion of double-negative alpha-beta regulatory T cell	None
Abnormal double-negative alpha-beta regulatory T cell distribution	None
Abnormal DN Treg distribution	None
Abnormal CD4-negative, CD8-negative, alpha-beta regulatory T cell distribution	None
Abnormal Double negative Treg distribution	None
Anti-Ge-1 antibody positivity	None
Anti-Gerbich phenotype 1 antibody positivity	None
Hayfever	None
Allergic rhinitis	None
Nasal allergies	None
Hay fever	None
Anti-ryanodine receptor antibody	None
Anti-RyR antibody	None
Transient neutropenia	None
Acute middle ear infection	None
Acute otitis media	None
Salmonella osteomyelitis	None
Salmonella bone infection	None
Reduced proportion of naive T cells	None
Decreased proportion of naive thymus-derived, alpha-beta T cells	None
Decreased proportion of naive T cells	None
Iodine contrast allergy	None
Multi-lobulated spleen	None
Multilobulated spleen	None
Interface hepatitis	None
Increased level of anti-food allergen IgE antibody	None
Increased anti-food allergen IgE antibody level	None
Anti-CA6 antibody positivity	None
Anti-carbonic anhydrase VI antibody positivity	None
Recurrent enteroviral infections	None
Unusual viral infection	None
Chronic myelomonocytic leukaemia	None
Chronic myelomonocytic leukemia	None
Anti-BICD2 antibody positivity	None
Anti-bicaudal D2 antibody positivity	None
Disseminated cryptosporidium infection	None
Meningitis	None
Abnormal serum IL level	None
Abnormal serum interleukin level	None
Abnormal circulating interleukin concentration	None
Chronic lymphocytic meningitis	None
Severe viral infection	None
Pyknotic bone marrow neutrophils	None
Decreased proportion of effector memory CD8-positive, alpha-beta T cells	None
Increased anti-feather IgE antibody level	None
Anti-thyroid globulin antibody positivity	None
TgAbs	None
Anti-thyroglobulin antibody positivity	None
Helicobacter pylori infection	None
Recurrent viral skin infections	None
Allergy to insects	None
IgE-mediated insect allergy	None
Insect allergy	None
Immunoglobulin E-mediated insect allergy	None
Anti-integrin antibody positivity	None
Impaired lymphocyte transformation with phytohemagglutinin	None
Chronic myeloid leukaemia	None
Chronic myeloid leukemia	None
Chronic myelogenous leukemia	None
Chronic myelocytic leukemia	None
Chronic myelocytic leukaemia	None
Chronic myelogenous leukaemia	None
Increased proportion of naive B cells	None
Anti-SUMO-activating enzyme subunit 1 antibody positivity	None
Abnormal proportion of central memory CD8-positive, alpha-beta T cells	None
Anti-YB 1 antibody positivity	None
Anti-Y-box protein-1 antibody positivity	None
Plasmacytosis	None
Psoriasis	None
Psoriasiform dermatitis	None
Optic neuritis	None
Splenic cyst	None
Cyst on spleen	None
Abnormal immunoglobulin concentration	None
Abnormal serum level of immunoglobulin	None
Immunoglobulin abnormality	None
Abnormal immunoglobulin level	None
Abnormal serum immunoglobulin levels	None
Abnormal serum immunoglobulin concentration	None
Meconium peritonitis	None
Recurrent Haemophilus influenzae infections	None
Recurrent H. influenzae infections	None
Invasive dermatophyte infection	None
Chronic (near) absent circulating IgG3	None
Chronic (near) absent IgG3 in blood	None
Anti-TG3 antibody	None
Anti-epidermal transglutaminase (anti-eTG) antibody	None
Anti-keratinocyte transglutaminase	None
Anti-epidermal transglutaminase antibody positivity	None
Anti-eTG antibody positivity	None
Increased proportion of central memory CD8-positive, alpha-beta T cells	None
Immune dysregulation	None
Unregulated immune response	None
Sinusitis, chronic	None
Chronic sinusitis	None
Chronic sinus disease	None
Increased B cell count	None
Increase in B cell number	None
Increase in B cell count	None
Increased number of B cells	None
Decreased proportion of CD4-positive, alpha-beta memory T cells	None
Unusual protozoan infection	None
Asplenia	None
Absent spleen	None
Pericardial lymphangiectasia	None
Drug induced anaphylaxis	None
Drug-induced anaphylaxis	None
Anti-laminin antibody positivity	None
Elevated IgA	None
Increased circulating IgA level	None
Increased levels of IgA	None
Elevated serum IgA	None
Increased serum IgA	None
IgA hypergammaglobulinemia	None
Abnormal proportion of CD19+CD38+IgM+ cells	None
Abnormal proportion of transitional B cells	None
Intestinal lymphangiectasia	None
Complete or near-complete absence of isohemagglutinins	None
Absent natural antibody to blood group agents	None
Absent isohemagglutinin level	None
Recurrent mycobacterium avium complex infections	None
Increased anti-animal protein IgE antibody level	None
Increased level of anti-animal protein IgE antibody	None
Inverted CD4:CD8 ratio	None
Decreased CD4:CD8 ratio	None
Inverted CD4/CD8 ratio	None
Lupus anticoagulant	None
Increased anti-parasite IgE antibody level	None
Increased circulating interleukin 17A concentration	None
Anti-metabotropic glutamate receptor 1 antibody	None
Anti-mGluR1 antibody	None
Non-necrotizing granuloma	None
Severe combined immunodeficiency	None
Immunodeficiency, severe combined	None
Immunoglobulin E-mediated meat allergen allergy	None
Meat allergen allergy	None
Allergy to meat allergens	None
Meat allergy	None
IgE-mediated meat allergen allergy	None
Idiopathic thrombocytopenic purpura	None
Immune thrombocytopenia	None
Idiopathic thrombocytopenia	None
Autoimmune thrombocytopenia	None
Increased proportion of memory B cells	None
Reduced MHC II surface expression	None
Absence of lymph node germinal centre	None
Absence of lymph node germinal center	None
Lymphoid germinal center defect	None
Lymphoid germinal centre defect	None
Lymph nodes lack germinal centre	None
Lymph nodes lack germinal center	None
Anti-asialoglycoprotein receptor antibody positivity	None
Eczematoid dermatitis	None
Decreased circulating IgG4 level	None
Decreased IgG4 level in blood	None
Absence of mature B cells	None
Absent circulating B cells	None
Allergy to venom	None
Venom allergy	None
IgE-mediated venom allergy	None
Immunoglobulin E-mediated venom allergy	None
Leukaemia	None
