Abnormality of body height	HP:0000002
Enlargement of the labia	None
Endoarterial hypercellularity within arcuate artery consisting of leukocytes	None
Arcuate artery endoarterial leukocyte hypercellularity	None
Vaginal atresia	None
Abnormally closed or absent vagina	None
Ovarian fibroma	None
Anteriorly displaced urethral meatus	None
Decreased urinary catecholamine concentration	None
Elevated urinary vanillylmandelic acid	None
Increased urinary vanillylmandelic acid	None
Steroid-sensitive nephrotic syndrome with infrequent relapses	None
Abnormal renal corpuscle morphology	None
Renal tubular disease	None
Renal tubular defect	None
Abnormal function of filtrating structures in kidney	None
Renal tubular dysfunction	None
Intratubular myoglobin cast	None
Absent urinary urothione	None
Endocrinization pattern of tubular atrophy	None
Endocrine-type tubular atrophy	None
Renal tubular atrophy, endocrine-type	None
Absent/underdeveloped uterus	None
Aplasia/hypoplasia of the uterus	None
Absent/small uterus	None
Dysuria	None
Painful or difficult urination	None
Dull burning sensation with urination	None
Nitrituria	None
Non-progressive sperm motility	None
Reduced progressive sperm motility	None
uterus absent	None
Absent uterus	None
Aplasia of the uterus	None
Epididymitis	None
High urine prostaglandin levels	None
Hyperprostaglandinuria	None
Podocyte multinucleation	None
Multinucleated podocytes	None
Multinucleated visceral epithelial cells	None
Oophoritis	None
Inflammed ovary	None
Visceral epithelial hyaline droplets	None
juvenile nephronophthisis	None
Nephronophthisis	None
Infertility	None
Granular casts	None
Increased urinary galactose level	None
Galactosuria	None
Renal oncocytoma	None
Elevated urinary delta-aminolevulinic acid	None
Elevated urinary aminoisobutyric acid	None
Elevated urine L-alloisoleucine level	None
Ureteral duplication	None
Double ureter	None
Wide ureter	None
Uroureter	None
Swelling of ureter	None
Hydroureter	None
Ureteral dilatation	None
Megaureter	None
Dilated ureter	None
Increased urinary multiantennary sialylated oligosaccharide	None
Increase concentration of multiantennary sialylated oligosaccharides in urine	None
Increased urinary hypoxanthine	None
Renal interstitial amyloidosis	None
Renal interstitial amyloid deposition	None
Renal interstitial amyloid deposits	None
Renal interstitial amyloid	None
Abnormal glomerular mesangial matrix morphology	None
Scrotum-like labia majora	None
Exaggerated rugosity of the labia majora	None
Bilateral absent ovaries	None
Aplasia of the ovary	None
Aplasia of the ovaries	None
Absent ovary	None
Mesangial cell loss	None
Cortical peritubular capillary lumen cholesterol emboli	None
Gonadoblastoma	None
Glomerular subepithelial deposits	None
Arcuate vein medial hypertrophy	None
Medial hypertrophy within arcuate veins	None
Glomerular basement membrane spikes	None
Vaginal hernia	None
Interlobular vein medial atrophy	None
Medial atrophy within interlobular veins	None
Abnormal urine magnesium concentration	None
Foamy urine	None
Frothy urine	None
Adenomyosis	None
Impaired renal tubular reabsorption of bicarbonate	None
Varicocele	None
Vaginal varicocele	None
Serinuria	None
Increased sulfur amino acid level in urine	None
Increased sulfur-containing amino acid level in urine	None
Increased sulphur amino acid level in urine	None
Absent/small testes	None
Absent/underdeveloped testes	None
Aplasia/Hypoplasia of the testes	None
Abnormal glomerular endothelial cell morphology	None
Abnormal external genitalia	None
Perineal fistula	None
High urine sarcosine levels	None
Hypersarcosinuria	None
Congenital hydrocele	None
Bifid uterus	None
Partially duplicated ureter	None
Ureter fissus	None
Renal arteriole leukocytic endoarterial hypercellularity	None
Renal lymphocytic tubulitis	None
Postmenopausal bleeding	None
Increased urinary taurine	None
Vesicoallantoic abdominal wall defect	None
Urinary tract abnormalities	None
Urinary tract abnormality	None
Abnormality of the urinary system	None
Urinary tract anomalies	None
Spermatogenesis maturation arrest	None
Meiotic maturation arrest of spermatogenesis	None
Multinucleation of renal tubular epithelial cells	None
Endotheliosis within arcuate arteries	None
Arcuate artery endotheliosis	None
Renal cortical interstitial inflammation	None
Trophoblastic tumour	None
Trophoblastic tumor	None
Bence Jones Proteinuria	None
External genital hypoplasia	None
Small genitalia	None
Hypogenitalism	None
Underdevelopment of external reproductive organs	None
Abnormal urine isobutyrylglycine concentration	None
Abnormal urinary isobutyrylglycine levels	None
Abnormal urinary purine level	None
Organized thrombi within arcuate vein lumen	None
Arcuate vein lumen organized thrombi	None
Umbilical cord cyst	None
Low cord blood oxygen level	None
Hypoxemia in cord blood	None
Maternal first trimester fever	None
5-minute APGAR score of 0	None
Fetal intracranial hemorrhage	None
Low maternal serum PAPP-A	None
Low maternal circulating PAPP-A concentration	None
Incomplete breech presentation	None
Low 10-minute APGAR score	None
High levels of amniotic fluid	None
Increased amniotic fluid index	None
Hydramnios	None
Polyhydramnios	None
Fetal scalp mass	None
High blood phenylalanine level in mother	None
Maternal hyperphenylalaninemia	None
Persistent foetal circulation	None
Persistent fetal circulation	None
High maternal serum hCG	None
High maternal serum chorionic gonadotropin	None
High maternal circulating chorionic gonadotropin concentration	None
Maternal fever during pregnancy	None
Maternal fever in pregnancy	None
10-minute APGAR score of 2	None
5-minute APGAR score of 2	None
Meconium-stained amniotic fluid	None
Meconium stained amniotic fluid	None
Meconium staining of amniotic fluid	None
Echogenic intracardiac focus	None
Secondary Caesarian section	None
Abnormal fetal skeletal morphology	None
Fetal anemia	None
Premature delivery because of cervical insufficiency or membrane fragility	None
Type 1 congenital pulmonary airway malformation	None
Female fetal virilization	None
Female foetal virilization	None
Fetal chylothorax	None
Ectopic pregnancy	None
Extra-abdominal umbilical vein varix	None
Absent lanugo	None
5-minute APGAR score of 6	None
Short umbilical cord	None
Cephalohematoma	None
Cephalohaematoma	None
Small placenta	None
Failure of zygotic cell division	None
Zygotic cleavage failure	None
Recurrent spontaneous abortion	None
Spontaneous abortion, recurrent	None
Absence of stomach bubble on fetal sonography	None
Absent stomach bubble	None
Non-visualisation of the fetal stomach	None
Absence of stomach bubble on foetal sonography	None
Prenatal double bubble sign	None
Recurrent implantation failure	None
Repeated implantation failure	None
Increased fetal lens echogenicity	None
Vasa previa	None
Fetal neck mass	None
Congenital cystic adenomatoid malformation of the lung	None
Congenital cystic disease of the lung	None
Congenital pulmonary airway malformation	None
Cystic adenomatoid lung disease	None
CCAM	None
Very preterm birth	None
Maternal thrombophilia	None
Hyperemesis gravidarum	None
Placenta increta	None
Hydrops of the placenta	None
Hydropic placenta	None
Abnormal preimplantation embryonic development	None
Amniotic shelf	None
Amniotic Sheet	None
1-minute APGAR score of 0	None
Abnormalities of placenta or umbilical cord	None
Preimplantation embryonic lethality	None
Preimplantation lethality	None
Low one-minute APGAR score	None
Low 1-minute APGAR score	None
Four-vessel umbilical cord	None
Reversed end-diastolic umbilical artery flow	None
Abnormal fetal genitourinary system morphology	None
Low five-minute APGAR score	None
Low 5-minute APGAR score	None
Long umbilical cord	None
Placenta percreta	None
Abnormal placental pentration beyond the uterine wall	None
Anhydramnios	None
Fetal hydrothorax	None
Persistent patent ductus venosus	None
1-minute APGAR score of 5	None
Low maternal circulating estriol concentration	None
Low maternal serum estriol	None
Redundant septum primum flap	None
Foramen ovale aneurysm	None
Fetal atrial septal dilatation	None
Abnormal fetal pulmonary morphology	None
Hypoplastic nasal bone	None
10-minute APGAR score of 6	None
Fetal ascites	None
Foetal ascites	None
Maternal oligohydramnios	None
Oligohydramnios	None
Low levels of amniotic fluid	None
Decreased amniotic fluid index	None
Vacuum-assisted vaginal delivery	None
Vacuum extraction	None
Ventouse delivery	None
Abnormal umbilical blood flow measurement	None
Placental thromboembolism	None
Placental infarction	None
Abnormal fetal long-bone echogenicity	None
10-minute APGAR score of 3	None
Formation of multiple pronuclei during fertilization	None
Abnormality of placental membranes	None
Abnormal placental membrane morphology	None
Abnormal placental adhesion into the uterine wall	None
Abnormal insertion of umbilical cord	None
10-minute APGAR score of 5	None
Nuchal cord	None
Abnormal fetal central nervous system morphology	None
Abnormal fetal CNS morphology	None
1-minute APGAR score of 2	None
Maternal autoimmune disease	None
Short foetal thigh bone length	None
Short fetal thigh bone length	None
Short fetal femur length	None
Short foetal femur length	None
Greasy, thick vernix caseosa-like scale	None
Caseous vernix-like desquamation	None
Gastric pseudomass	None
Abnormal umbilical artery doppler waveform during pregnancy	None
Eclampsia	None
Umbilical cord knot	None
Abnormal intrauterine movements	None
Prenatal movement abnormality	None
Digital constriction ring	None
Amniotic constriction rings of digits	None
Amniotic bands	None
Amniotic constriction ring	None
Amniotic constriction band	None
Pseudoainhum	None
Congenital constriction band sequence	None
Fetal cerebral parenchymal hemorrhage	None
Meconium pseudocyst	None
Umbilical cord haematoma	None
Umbilical cord hematoma	None
Toxaemia of pregnancy	None
Hypertensive disorder of pregnancy	None
Toxemia of pregnancy	None
Decreased middle cerebral artery pulsatility index	None
Two vessel umbilical cord	None
Two vessel cord	None
2 vessel umbilical cord	None
2 vessel cord	None
Two-vessel cord	None
Single umbilical artery	None
Only one artery in umbilical cord instead of two	None
Fetal intraventricular hemorrhage with periventricular hemorrhage	None
Grade IV fetal intracranial hemorrhage	None
Fetal ultrasound soft marker	None
Foetal ultrasound soft marker	None
Abnormal embryonic development	None
Foetal cystic hygroma	None
Fetal cystic hygroma	None
Low maternal circulating chorionic gonadotropin concentration	None
Low maternal serum hCG	None
Low maternal serum chorionic gonadotropin	None
5-minute APGAR score of 4	None
10-minute APGAR score of 4	None
Low maternal serum alpha-fetoprotein	None
Low maternal circulating alpha-fetoprotein concentration	None
Spontaneous chorioamniotic separation	None
Amnion-chorion separation	None
Hydrops fetalis, nonimmune	None
Non-immune fetal hydrops	None
Non-immune foetal hydrops	None
Nonimmune hydrops	None
Hydrops fetalis, non-immune	None
Nonimmune hydrops fetalis	None
Placenta acreta	None
Fetal cerebellar vermis hemorrhage	None
Placental abruption	None
Abruptio placentae	None
Placental issue	None
Abnormality of the placenta	None
Abnormal placenta morphology	None
Hypocapnia in cord blood	None
Low cord blood carbon dioxide level	None
Therapeutic abortion	None
Abnormal cord blood measurement	None
Breech presentation	None
Breech presentation at birth	None
Feet or buttocks of foetus positioned near opening of uterus	None
Feet or buttocks of fetus positioned near opening of uterus	None
Abnormality of the amniotic fluid	None
Abnormal amniotic fluid	None
Edematous chorionic villi	None
Primary Caesarian section	None
Skewed maternal X inactivation	None
Fetal distress	None
Foetal distress	None
1-minute APGAR score of 6	None
10-minute APGAR score of 0	None
Hyperoxemia in cord blood	None
High cord blood oxygen level	None
Forceps delivery	None
Abnormal maternal serum screening	None
Delayed separation of umbilical cord	None
Delayed umbilical cord separation	None
Hypoplasia of foetal nasal bone	None
Hypoplasia of fetal nasal bone	None
Underdeveloped foetal nose bone	None
Underdeveloped fetal nose bone	None
Fetal neck anomaly	None
Hydatidiform mole	None
Fetal anomaly	None
Abnormal chorion morphology	None
Fetal skin edema	None
Induced vaginal delivery	None
Fetal head anomaly	None
Vaginal birth after Caesarian	None
Velamentous cord insertion	None
Sonographic non-visualized fetal bladder	None
Complete breech presentation	None
Maternal vascular malperfusion	None
Abnormal umbilical cord blood vessel morphology	None
Abnormal umbilical cord blood vessels	None
5-minute APGAR score of 1	None
Breus' mole	None
Subchorionic thrombohematoma	None
Fetal little finger curvature	None
Fetal pinkie finger curvature	None
Foetal little finger curvature	None
Foetal pinkie finger curvature	None
Foetal pinky finger curvature	None
Foetal fifth finger clinodactyly	None
Fetal pinky finger curvature	None
Fetal fifth finger clinodactyly	None
Placental thickness increased	None
Increased placental thickness	None
Elevated fetal middle cerebral artery peak systolic velocity	None
Abnormality of prenatal development or birth	None
Umbilical vein varix	None
Fetal posterior fossa hemorrhage	None
Placental hamartoma	None
Chorangioma	None
Shoulder dystocia	None
Increased foetal movement	None
Foetal hyperkinesia	None
Fetal hyperkinesia	None
Increased fetal movement	None
Reduced fetal long bone echogenicity	None
Maternal hypertension	None
Increased nuchal translucency	None
Fetal lower urinary tract obstruction	None
Foetal polyuria	None
Fetal polyuria	None
Maternal anticardiolipin antibody positive	None
Grade III fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage with ventriculomegaly	None
Abnormality of ductus venosus blood flow	None
Fetal vascular malperfusion	None
Increased fetal long bone echogenicity	None
Fetal extra-axial hemorrhage	None
5-minute APGAR score of 3	None
Fetal cerebellar hemisphere hemorrhage	None
Type 2 congenital pulmonary airway malformation	None
FIUVV	None
Fetal umbilical vein dilatation	None
Fetal intra-abdominal umbilical vein varix	None
Fetal PAD narrowing-closure	None
Idiopathic constriction of the fetal ductus arteriosus	None
Fetal ductus arteriosus narrowing-closure	None
Premature closure of the ductus arteriosus	None
Fetal arterial duct narrowing-closure	None
PCDA	None
Fetal PDA narrowing-closure	None
Premature delivery of affected infants	None
Preterm delivery	None
Premature birth	None
Premature delivery	None
Shortened gestation time	None
Preterm birth	None
Maternal seizures	None
Maternal seizure	None
Elevated umbilical artery Dopplers	None
Elevated umbilical artery pulsatility	None
Increased umbilical artery pulsatility index	None
Abnormal fetal nasal bone visualization	None
Fetal intraventricular hemorrhage	None
Decreased fetal movements	None
Decreased fetal movement	None
Decreased foetal activity	None
Decreased foetal movement	None
Reduced fetal movement	None
Decreased foetal movements	None
Less than 10 fetal movements in 12 hours	None
Dminished fetal movement	None
Reduced foetal movements	None
Foetal hypokinesia	None
Less than 10 foetal movements in 12 hours	None
Reduced foetal movement	None
Reduced fetal movements	None
Fetal hypokinesia	None
Decreased fetal activity	None
Decreased movement in utero	None
Congenital portosystemic venous shunt	None
10-minute APGAR score of 1	None
Increased nuchal fold thickness	None
Thickened nuchal skin fold	None
Excess nuchal skin	None
Increased nuchal fold	None
Thickened skin over the neck	None
Thickened nuchal skin	None
Thickened skin folds of neck	None
Thick nuchal fold	None
Amniotic constriction rings of arms	None
Abnormal fetal physiology	None
Functional fetal anomaly	None
Abnormal fetal skin morphology	None
High cord blood carbon dioxide level	None
Hypercapnia in cord blood	None
Fetal nuchal edema	None
Delivery by Odon device	None
Marginal umbilical cord insertion	None
Battledore placenta	None
Marginal cord insertion	None
5-minute APGAR score of 5	None
Maternal virilization in pregnancy	None
High maternal serum alpha-fetoprotein MoM	None
High maternal serum alpha-fetoprotein	None
Increased maternal serum alpha-fetoprotein level	None
High maternal circulating alpha-fetoprotein concentration	None
MSAFP MoM>2.5	None
High MSAFP MoM	None
Champagne cork sign	None
Twin-to-twin transfusion	None
Twin to twin transfusion syndrome	None
Grade II fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage without ventriculomegaly	None
Abnormal fetal morphology	None
Structural fetal anomaly	None
Maternal teratogenic exposure	None
Placental enlargement	None
Large placenta	None
Lemon sign	None
Low APGAR score	None
Caesarian section	None
Bilateral foetal pyelectasis	None
Bilateral foetal pyelectasia	None
Bilateral fetal pyelectasis	None
Bilateral fetal pyelectasia	None
Early severe foetal akinesia sequence	None
Early severe fetal akinesia sequence	None
Fetal akinesia	None
Foetal akinesia sequence	None
Fetal akinesia sequence	None
Foetal akinesia	None
Echogenic bowel	None
Echogenic foetal bowel	None
Echogenic fetal bowel	None
Lymphadenitis	None
Inflammation of the lymph nodes	None
Post-vaccination polio	None
Transient decreased circulating IgE	None
Transient decreased IgE in blood	None
Thymic hypoplasia or aplasia	None
Absent/small thymus	None
Absent/underdeveloped thymus	None
Aplasia/Hypoplasia of the thymus	None
Anti-low-density lipoprotein receptor-related protein 4 antibody	None
Anti-Lrp4 antibody positivity	None
Chronic lymphocytic leukaemia	None
Chronic lymphocytic leukemia	None
Chronic lymphatic leukaemia	None
Chronic lymphatic leukemia	None
Severe influenza infection	None
Allergy to feathers	None
Immunoglobulin E-mediated feather allergy	None
Feather allergy	None
IgE-mediated feather allergy	None
Anti-MAP1B antibody	None
Anti-microtubule-associated protein 1B antibody	None
Anti-Purkinje cell cytoplasmic type-2 antibody	None
Basophilia	None
Increased basophil count	None
Chronic decreased IgG3 in blood	None
Chronic decreased circulating IgG3	None
Anti-thyroid peroxidase antibody positivity	None
TPOAbs	None
Anti-TPO antibody positivity	None
Anti-tissue transglutaminase antibody positivity	None
Anti-tTG antibody positivity	None
Cow milk allergy	None
Milk allergy	None
Immunoglobulin E-mediated cow milk allergy	None
IgE-mediated cow milk allergy	None
Neutrophilic infiltration of the skin	None
Susceptibility to coronavirus 229e	None
Elevated helper T cell proportion	None
Increased proportion T-helper cells	None
Increased helper T cell proportion	None
Idiopathic thrombocytopenic purpura	None
Immune thrombocytopenia	None
Idiopathic thrombocytopenia	None
Autoimmune thrombocytopenia	None
Anti-aminoacyl-tRNA synthetase antibody positivity	None
Increased lymphocyte apoptosis	None
Thoracic cystic lymphangioma	None
Mediastinal cystic lymphangioma	None
Intrathoracic cystic hygroma	None
Abnormal lymphocyte surface marker expression	None
Recurrent gastroenteritis	None
Anti-Ro52/TRIM21 antibody positivity	None
Anti-Ro52 antibody positivity	None
Histoplasmosis	None
GI inflammation	None
Gastrointestinal inflammation	None
Decreased serum complement C8	None
C8 deficiency	None
Anti-Su antigen/argonaute 2 antibody positivity	None
Anti-Ago2 antibody positivity	None
Anti-Su antibody positivity	None
Increased proportion of CD19+/CD21low B cells	None
Increased proportion of immature B cells	None
Brain inflammation	None
Infectious encephalitis	None
Splenic infarct	None
Spleen infarct	None
Spleen infarction	None
Splenic infarction	None
Increased circulating interleukin 8 concentration	None
Increased serum interleukin 8	None
Increased serum IL-8	None
Increased serum interleukin-8	None
Subacute progressive viral hepatitis	None
Transient myeloproliferative syndrome	None
TMD	None
Transient leukemia of Down syndrome	None
Transient myeloproliferative disorder	None
Transient leukaemia of Down syndrome	None
Inflammation of spinal cord	None
Myelitis	None
Severe infection	None
Unusual course of infection	None
Anti-Sj/ITPR1 antibody	None
Anti-Sj/inositol 1,4,5-trisphosphate receptor antibody	None
Increased hepatitis C virus antibody level	None
Abnormal proportion of central memory CD4+, alpha-beta T cells	None
Abnormal proportion of CD4+ central memory cells	None
Invasive dermatophyte infection	None
Abnormal proportion of CD19+/CD21low B cells	None
Abnormal proportion of immature B cells	None
Interface hepatitis	None
Discoid lupus erythematosus	None
Discoid lupus rash	None
Anorectal abscess	None
Airborn particle hypersensitivity	None
Recurrent bacterial skin infections	None
Recurrent pyogenic skin infections	None
Recurrent episodes of impetigo	None
Recurrent cutaneous pyogenic infections	None
Recurrent episodes of infectious dermatitis	None
Increased circulating band cell count	None
Increased circulating band form neutrophils	None
Left shift	None
Pancreatitis	None
Pancreatic inflammation	None
Oligoclonal elevation of circulating IgE	None
Abnormal white blood cell count	None
Abnormal leukocyte count	None
Anti-citrullinated protein antibody positivity	None
Osteomyelitis leading to amputation due to slow healing fractures	None
Immunoglobulin E-mediated meat allergen allergy	None
Meat allergen allergy	None
Allergy to meat allergens	None
Meat allergy	None
IgE-mediated meat allergen allergy	None
Increased circulating specific IgE antibody	None
CMV colitis	None
Cytomegalovirus colitis	None
Recurrent oral herpes	None
Recurrent herpes labialis	None
Endocarditis	None
IgE-mediated plant product allergy	None
Plant product allergy	None
Allergy to plant products	None
Immunoglobulin E-mediated plant product allergy	None
Abnormality of interferon secretion	None
Dysgammaglobulinemia	None
Iridocyclitis	None
Severe adenovirus infection	None
Abscess	None
Increased neutrophil nuclear projections	None
Opportunistic bacterial infection	None
Chronic irritative conjunctivitis	None
Mastocytosis	None
Anti-C1q antibody positivity	None
Anti-complement component C1q antibody positivity	None
Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	None
Severe varicella zoster infection	None
Anti-laminin 5 antibody positivity	None
Anti-laminin 332 antibody positivity	None
Chronic (near) absent IgG2 in blood	None
Chronic (near) absent circulating IgG2	None
Anti-phosphatidyl glycerol antibody positivity	None
Anti-KLHL11 antibody	None
Anti-Kelch like protein 11 antibody positivity	None
Anti-P/Q-type voltage-gated calcium-channel antibody	None
Anti-P/Q-type VGCC antibody positivity	None
Rash	None
Skin rash	None
Meibomian gland disease	None
Meibomian gland dysfunction	None
Posterior blepharitis	None
Abnormal CD4+CD25+ Treg cell proportion	None
Abnormal CD4+CD25+ regulatory T cell proportion	None
Libman-Sacks lesions	None
Abnormal circulating interleukin 9 concentration	None
Abnormality of myeloid leukocytes	None
Abnormal myeloid leukocyte morphology	None
Abnormal cellular immune system morphology	None
Chronic decreased cirulating IgG2	None
Chronic decreased IgG2 in blood	None
Impaired neutrophil bactericidal activity	None
Abnormality of cachectin secretion	None
Abnormality of tumour necrosis factor secretion	None
Abnormality of tumor necrosis factor secretion	None
Abnormality of cachexin secretion	None
Complete or near-complete absence of specific antibody response to meningococcus vaccine	None
Hemophagocytosis	None
IgM heavy chain paraproteinemia	None
TRAbs	None
Anti-thyroid-stimulating hormone receptor antibody positivity	None
Anti-TSH receptor antibody positivity	None
Drug induced anaphylaxis	None
Drug-induced anaphylaxis	None
Acute pancreatic inflammation	None
Pancreatitis, acute	None
Acute pancreatitis	None
Abnormal circulating interferon concentration	None
Abnormal serum interferon level	None
Abnormal MHC II surface expression	None
Increased CD4:CD8 ratio	None
Pericardial lymphangiectasia	None
Absolute lymphocyte count decrease	None
Decreased blood lymphocyte number	None
Lymphocytopenia	None
Lymphopenia	None
Low lymphocyte number	None
Increased circulating interleukin 23 concentration	None
Warm reactive autoantibody positivity	None
Chilblain-like lesion	None
Pseudo-chilblain	None
Decreased circulating C1-esterase inhibitor concentration	None
Class III lupus nephritis	None
Focal lupus nephritis	None
Tooth abscess	None
Dentoalveolar abscess	None
Dental abscess	None
Partial absence of specific antibody response to tetanus vaccine	None
Decreased proportion of CD4-positive central memory cells	None
Reduced proportion of CD4+ central memory cells	None
Decreased proportion of central memory CD4+, alpha-beta T cell	None
Decreased proportion of central memory CD4-positive, alpha-beta T cells	None
Decreased proportion of CD4+ central memory cells	None
Increased number of lymph nodes	None
Oligoclonal elevation of circulating IgM	None
Molluscum contagiosum	None
Lymphatic disease	None
Abnormality of the lymphatic system	None
Splenogonadal fusion	None
Skin inflammation	None
Abnormal tendency to infections of the skin	None
Inflammatory skin disease	None
Inflammatory abnormality of the skin	None
Dermatitis	None
Liver abscess	None
Hepatic abscess	None
Eosinophil nuclear hypersegmentation	None
Candida overgrowth syndrome	None
Chronic intestinal candidiasis	None
Pus-filled lesion	None
Pyoderma	None
Abnormal IgM level in blood	None
Abnormal circulating IgM level	None
Absence of CD8+ T cells	None
Absence of CD8-positive T cells	None
Decreased serum complement C5	None
Autoimmune condition	None
Autoimmune disease	None
Autoimmunity	None
Autoimmune disorder	None
Chronic decreased circulating IgE	None
Chronic decreased IgE in blood	None
Contact dermatitis	None
Absent cellular immunity	None
Lack of T cell function	None
Gum disease	None
Periodontal disease	None
Periodontitis	None
Pyorrhea	None
Increased circulating myelocyte count	None
Anti-steroid 17alpha-hydroxylase antibody positivity	None
Anti-P450C17	None
Increased proportion of central memory CD8-positive, alpha-beta T cells	None
Anti-B23 antibody positivity	None
Swollen lymph nodes in centre of chest	None
Swollen lymph nodes in center of chest	None
Mediastinal lymphadenopathy	None
Pyelonephritis	None
Abnormal proportion of double-negative alpha-beta regulatory T cell	None
Abnormal double-negative alpha-beta regulatory T cell distribution	None
Abnormal DN Treg distribution	None
Abnormal CD4-negative, CD8-negative, alpha-beta regulatory T cell distribution	None
Abnormal Double negative Treg distribution	None
Unusual infection	None
Recurrent aspiration pneumonia	None
Recurrent pneumonia due to aspiration,	None
Decreased proportion of central memory CD8-positive, alpha-beta T cells	None
Monocytosis	None
High blood monocyte number	None
Anti-H1 antibody positivity	None
Increased circulating interleukin 13 concentration	None
IL-13 high in blood	None
Neutrophilia in presence of infection	None
Inflammation of the outer white part of the eye	None
Scleritis	None
Anti-DPPX antibody	None
Anti-dipeptidyl-peptidase-like protein 6 antibody	None
Invasive parasitic infection	None
Onychomycosis	None
Increased level of anti-dander IgE antibody	None
Increased anti-animal dander IgE antibody level	None
Increased proportion of CD19+CD27+IgD- cells	None
Increased proportion of class-switched memory B cells	None
Abnormality of lingual tonsil	None
Lymph node abscess	None
Nose chondritis	None
Nasal chondritis	None
Anti-beta-2-Glycoprotein I IgG antibody positivity	None
Anti-beta2GPI IgG antibody positivity	None
Cytokine storm	None
Hypercytokinemia	None
Sinus disease	None
Sinus infection	None
Sinus inflammation	None
Sinusitis	None
Aplastic nasopharyngeal adenoids	None
Recurrent meningitis	None
Animal protein allergy	None
Immunoglobulin E-mediated animal protein allergy	None
Allergy to animal proteins	None
IgE-mediated animal protein allergy	None
Increased proportion of plasmablasts	None
Abnormality of mesenteric lymph nodes	None
Inflammation of the large intestine	None
Inflammatory bowel disease	None
Absent peripheral lymph nodes in presence of infection	None
Increased level of anti-plant based food allergen IgE antibody	None
Increased anti-plant based food allergen IgE antibody level	None
Paratracheal lymphadenopathy	None
Deep dermatophytosis	None
Breaking out	None
Acne	None
Enteroviral hepatitis	None
Chronic partially decreased circulating IgG4	None
Chronic partially decreased IgG4 in blood	None
Anti-GQ1b IgM antibody positivity	None
Neuroinflammation	None
Antineutrophil antibodies	None
Antineutrophil antibody positivity	None
Neutrophil antibody positive	None
Lymphangioma of the orbit	None
Anti-annexin-V antibody positivity	None
Decreased proportion of unswitched memory B cells	None
Reduced proportion of unswitched memory B cells	None
Decreased proportion of non-class-switched memory B cells	None
IL-12 high in blood	None
Increased circulating interleukin 12 concentration	None
Thyroid gland inflammation	None
Thyroiditis	None
Anti-CASPR2	None
Anti-contactin-associated protein-like 2 antibody	None
Anti-Caspr2 antibody	None
Abnormal pulmonary lymphatics	None
Abnormal proportion of naive CD8 T cells	None
Absent B cells	None
Absence of B cells	None
Severe B lymphocytopenia	None
Chronic decreased circulating IgG1	None
Chronic decreased IgG1 in blood	None
Generalized swelling of lymph nodes	None
Generalized lymphadenopathy	None
Generalised lymphadenopathy	None
Generalised swelling of lymph nodes	None
Swollen lymph nodes affecting all regions of the body	None
Anti-class I HLA antibody positivity	None
Ectopic spleen	None
Ectopia of the spleen	None
Abnormal spleen location	None
Class VI lupus nephritis	None
Advanced sclerotic lupus nephritis	None
Multi-lobulated spleen	None
Multilobulated spleen	None
Recurrent interdigital mycosis	None
Recurrent interdigital tinea	None
Systemic autoinflammation	None
Ulcerative colitis	None
Colitis ulcerosa	None
Abnormal proportion of non-class-switched memory B cells	None
Abnormal proportion of unswitched memory B cells	None
Immunoglobulin E-mediated food allergy	None
IgE-mediated food allergy	None
Food allergy	None
Impaired delayed hypersensitivity	None
Deficiency of delayed skin hypersensitivity	None
Decreased reactivity to skin test antigens	None
Reduced delayed hypersensitivity	None
Extra spleen	None
Supernumerary spleens	None
Anti-bactericidal/permeability-increasing protein antibody positivity	None
Anti-BPI antibody positivity	None
Increased proportion of exhausted T cells	None
Recurrent streptococcus pneumoniae infections	None
Thyroid lymphangiectasis	None
Thyroid lymphangiectasia	None
Frequent candida infections	None
Recurrent candida infections	None
Anaphylactic shock	None
Anaphylaxis	None
Abnormal circulating interleukin 23 concentration	None
Susceptibility to chickenpox	None
Anti-PM-Scl75 antibody positivity	None
Abnormal alpha-beta T cell morphology	None
Anti-phosphatidyl choline antibody positivity	None
Abnormal T cell proliferation	None
Decreased circulating IgG subclass level	None
Decreased IgG subclass level in blood	None
Aplasia/Hypoplasia of the ear	None
Absent/small ear	None
Absent/underdeveloped ear	None
Abnormality of the middle ear ossicles	None
Ossicular malformation	None
Malformed ossicles	None
Additional crus of antihelix	None
Congenital sensorineural deafness	None
Congenital perceptive deafness	None
Congenital sensorineural hearing impairment	None
Congenital neurosensory deafness	None
Hearing loss, congenital sensorineural	None
Bilateral congenital sensorineural deafness	None
Congenital sensorineural hearing loss	None
Otitis media	None
Middle ear infection	None
Abnormal cerumen pigmentation	None
Abnormal cerumen colour	None
Abnormal cerumen color	None
Abnormal inner ear epithelium morphology	None
Blocked Eustachian tube	None
Obstruction of Eustachian tube	None
Broad inferior crus of antihelix	None
Antihelix, inferior crus, broad	None
Otitis media, chronic	None
Chronic infections of the middle ear	None
Chronic middle ear infection	None
Chronic ear infection	None
Chronic otitis media	None
Vertigo	None
Dizzy spell	None
Dizziness	None
Hypoplastic earlobes	None
Hypoplastic lobules	None
Small earlobes	None
Small earlobe	None
Basalioma of the outer ear	None
Morphological abnormality of the posterior semicircular canal	None
