Abnormality of the breast	HP:0000769
Interstitial pneumonitis	None
Ciliary dyskinesia	None
Lack of coordinated beating of respiratory cilia	None
Obstructive deficit on pulmonary function test	None
Reduced FEV1/FVC ratio	None
Obstructive deficit on pulmonary function testing	None
Pseudomembranes	None
Type I airway casts	None
Fibrin casts	None
Cellular airway casts	None
Diphtheroid membranes	None
Pulmonary artery aneurysm	None
Non-necrotizing pulmonary granulomatosis	None
Non-caseating pulmonary granulomatosis	None
Pulmonary lymphoma	None
Pulmonary aterial intimal fibrosis	None
Paranasal sinuses opacified	None
Opacified paranasal sinuses	None
Paranasal sinuses opacification	None
Bronchopulmonary anastomosis	None
Caseating pulmonary granulomatosis	None
Necrotizing pulmonary granulomatosis	None
Bronchodysplasia	None
Cartilaginous tracheobronchomalacia	None
Cartilaginous malacia	None
Pulmonary situs inversus	None
Abnormal cellular composition of bronchoalveolar fluid	None
Abnormal cell differential of broncho-alveolar fluid	None
COPD	None
Chronic pulmonary obstruction	None
Chronic obstructive pulmonary disease	None
Squawks	None
Recurrent sore throat	None
Pharyngitis, recurrent	None
Recurrent pharyngitis	None
Decreased width of pharynx	None
Decreased diameter of pharynx	None
Decreased volume of pharynx	None
Hypoplasia of the pharynx	None
Decreased length of pharynx	None
Underdevelopment of pharynx	None
Hypotrophic pharynx	None
Small pharynx	None
Decreased size of pharynx	None
Bronchospasm	None
Tracheobronchomalacia	None
Tracheal diverticulum	None
Diverticulosis of trachea	None
Tracheocele	None
Paratracheal air cyst	None
Tracheal diverticulosis	None
Chronic lung disease	None
Nonspecific interstitial pneumonitis	None
NSIP	None
Temporally uniform pulmonary inflammation	None
Nonspecific interstitial pneumonia	None
Neonatal inspiratory stridor	None
Type 1 congenital pulmonary airway malformation	None
Bronchitis, recurrent	None
Recurrent bronchitis	None
Abnormality of the bronchi	None
Abnormal bronchus morphology	None
Decreased pre-bronchodilator forced vital capacity	None
Decreased prebronchodilator forced vital capacity	None
Decreased pre bronchodilator forced vital capacity	None
Pulmonary venous hypertension	None
Ventilator dependence with inability to wean	None
Reduced residual volume	None
Absent inner dynein arms	None
ARDS	None
Acute respiratory distress syndrome	None
Large cell lung carcinoma	None
Hyperinflation on pulmonary function test	None
Elevated RV/TLC ratio	None
Overinflation on pulmonary function test	None
Abnormality of lower pharynx	None
Abnormality of hypopharynx	None
Abnormal hypopharynx morphology	None
Central sleep apnea	None
Central sleep apnoea	None
Scimitar anomaly	None
Pulmonary venolobar syndrome	None
Scimitar syndrome	None
Elevated RV	None
Elevated residual volume	None
Accumulation of hemosiderin laden alveolar macrophages	None
Hemosiderin-laden macrophages in bronchoalveolar fluid	None
Siderophages in bronchoalveolar fluid	None
Beaded septum sign	None
Cellular non-specific interstitial pneumonia	None
Filling of the alveoli with alveolar macrophages	None
Filling of the alveoli with desquamated epithelial cells	None
Desquamative interstitial pneumonitis	None
Intra-alveolar accumulation of macrophages	None
Abnormal lung lobation	None
Lung segmentation defects	None
Defective lung lobation	None
Neoplasm of the nasopharynx	None
Tumor of the nasopharynx	None
Nasopharyngeal neoplasm	None
Neoplasia of the nasopharynx	None
Tumour of the nasopharynx	None
Increased respiratory rate or depth of breathing	None
Tachypnea	None
Polypnea	None
Bronchiolitis obliterans organizing pneumonia	None
Cryptogenic organising pneumonia	None
Cryptogenic organizing pneumonia	None
BOOP	None
Bronchiolitis obliterans organising pneumonia	None
Narrowing of windpipe	None
Tracheal stenosis	None
Neonatal pneumothorax	None
Spontaneous neonatal pneumothorax	None
Localised pulmonary haemorrhage	None
Localized pulmonary hemorrhage	None
Pneumothorax	None
Collapsed lung	None
Early inspiratory crackles	None
Accessory cardiac bronchus	None
Pulmonary oligemia	None
Abnormal ciliary motility	None
Absent bronchoalveolar dimeric surfactant-protein B	None
Abnormal blood O2 level	None
Abnormal blood oxygen levels	None
Abnormal blood oxygen level	None
Abnormal O2 blood concentration	None
Bronchiolitis	None
Abnormal pulmonary situs morphology	None
Abnormality of pulmonary situs	None
Exudative pleural effusion	None
Tracheobronchial anomalies	None
Abnormal tracheobronchial morphology	None
Tracheal papilloma	None
Abnormal pulmonary alveolar system morphology	None
Pulmonary pneumatocoele	None
Pulmonary pneumatocele	None
Laryngeal atresia	None
Increased DLCO	None
Increased diffusing capacity	None
Laryngospasm	None
Excessive dynamic airway collapse	None
Membranous tracheobronchomalacia	None
Elevated level of neutrophils in broncho-alveolar lavage fluid	None
Elevated bronchoalveolar lavage fluid neutrophil proportion	None
Abnormal bronchus physiology	None
Abnormal anterior cricoarytenoid muscle morphology	None
Abnormality of lateral crico-arytenoid	None
Abnormality of lateral cricoarytenoid muscle	None
Abnormal lateral cricoarytenoid muscle morphology	None
CT halo sign	None
Computed tomographic halo sign	None
Abnormal paranasal sinus morphology	None
Abnormality of the sinuses of the head	None
Abnormality of the sinuses	None
Abnormality of the paranasal sinuses	None
Absent outer dynein arms	None
Pulmonary situs ambiguus with bilateral morphologic right lungs	None
Repeated pneumothorax	None
Repeated pneumothoraces	None
Reduced maximal expiratory pressure	None
Interlobular septal thickening	None
Septal lines (pulmonary CT finding)	None
Septal thickening (pulmonary CT finding)	None
Interlobular lines (pulmonary CT finding)	None
Short lines (pumonary CT finding)	None
Peripheral lines (pulmonary CT finding)	None
Interlobular septal thickening on pulmonary HRCT	None
Hypersensitivity pneumonitis	None
Bronchial neoplasm	None
Congenital bronchial atresia	None
Bronchial atresia	None
Unilateral pulmonary agenesis	None
Unilateral lung agenesis	None
Bilobed right lung	None
Abnormal transfer factor of the lung for carbon monoxide	None
Abnormal DLCO	None
Abnormal TLCO	None
Abnormal diffusing capacity	None
Diffuse alveolar haemorrhage	None
Diffuse alveolar hemorrhage	None
Pulmonary emphysema	None
Emphysema	None
Bronchial hemorrhage	None
Bronchial bleeding	None
Pulmonary arterial hypertension with positive acute response to NO challenge	None
Decreased volume of frontal sinuses	None
Hypoplastic frontal sinuses	None
Underdeveloped frontal sinuses	None
Small frontal sinuses	None
Hypotrophic frontal sinus	None
Decreased pneumatization of frontal sinus	None
Pulmonary necrosis	None
Bilateral apical pulmonary fibrosis	None
Interstitial emphysema	None
Laryngeal stridor	None
Laryngeal stidor	None
Pulmonary situs ambiguus with bilateral morphologic left lungs	None
Partial laryngeal atresia	None
Laryngeal web	None
Laryngeal webs	None
Abnormal pulmonary thoracic imaging finding	None
Abnormal chest radiograph finding (lung)	None
Neoplasm of the tracheobronchial system	None
Episodic upper airway obstruction	None
Type 2 congenital pulmonary airway malformation	None
Pulmonary fibrosis	None
Episodic under breathing	None
Episodic slow breathing	None
Episodic hypoventilation	None
Abnormal larynx physiology	None
Decreased RV/TLC ratio	None
Hyperplasia of frontal sinus	None
Increased size of frontal sinus	None
Hypertrophy of frontal sinus	None
Large frontal sinus	None
Prominent frontal sinuses	None
Increased volume of frontal sinus	None
Bronchomegaly	None
Pulmonary hemangiomas	None
Pulmonary capillary hemangiomatosis	None
Acute bronchitis	None
Elevated functional residual capacity	None
Hyperdense pulmonary mass	None
Tracheal duplication cyst	None
Cystic pattern on pulmonary HRCT	None
Expiratory air trapping	None
Type 3 congenital pulmonary airway malformation	None
Upper respiratory tract issues	None
Abnormality of the upper respiratory tract	None
Laryngeal cyst	None
Absent respiratory ciliary axoneme radial spokes	None
Acute severe asthma	None
Status asthmaticus	None
Decreased size of paranasal sinus	None
Hypotrophic paranasal sinus	None
Small paranasal sinus	None
Decreased growth of paranasal sinus	None
Atelectasis of paranasal sinus	None
Underdevelopment of paranasal sinus	None
Paranasal sinus hypoplasia	None
Decreased pneumatization of paranasal sinus	None
Decreased volume of paranasal sinus	None
Pulmonary hemorrhage	None
Intrapulmonary haemorrhage	None
Pulmonary haemorrhage	None
Intrapulmonary hemorrhage	None
Pulmonary hypertensive crisis	None
Pulmonary arterial hypertension crisis	None
Episodic tachypnea	None
Hyperpnea, episodic	None
Bloody bronchoalveolar lavage fluid	None
Trouble breathing	None
Difficult to breathe	None
Panting	None
Difficulty breathing	None
Abnormal breathing	None
Shortness of breath	None
Dyspnea	None
Dyspnoea	None
Breathing difficulty	None
Scleroderma of lung	None
Bilateral basilar pulmonary fibrosis	None
Scleroderma lung disease	None
Lung disease with systemic sclerosis	None
Tracheobronchmegaly	None
Lung adenocarcinoma	None
Whooping cough	None
Lymphocytic interstitial pneumonia	None
Lymphoid interstitial pneumonia	None
Lymphoid interstitial pneumonitis	None
Lymphocytic interstitial pneumonitis	None
Cystic lung disease	None
Multiple pulmonary cysts	None
Multiple lung cysts	None
Acellular airway casts	None
Mucin casts	None
Type II airway casts	None
Tracheal tug on inspiration	None
Airway casts	None
Lung hypoplasia	None
Poorly developed lungs	None
Small lung	None
Pulmonary hypoplasia	None
Underdeveloped lung	None
Hypoplastic lung	None
Hypoplastic lungs	None
Pleural mesothelioma	None
Pulmonary venoocclusive disease	None
Pulmonary venous occlusion	None
Pulmonary venous stenosis	None
increased pulmonary fissure count	None
Supernumerary pulmonary fissure	None
Tracheomegaly	None
Muscle weakness between ribs	None
Dependence on diaphragmatic breathing	None
Intercostal muscle weakness	None
Paroxysmal dyspnoea	None
Paroxysmal dyspnea	None
Hypocapnia	None
Reduced carbon dioxide in the blood	None
Hypocarbia	None
Typical perifissural nodule	None
Recurrent bronchiolitis	None
Alveolar cell carcinoma	None
Orthopnea	None
Recurrent viral pneumonia	None
Single-lobed right lung	None
Hypercapnia	None
High blood carbon dioxide level	None
Hypercarbia	None
Dyspnea at rest	None
Shortness of breath at rest	None
Dyspnoea at rest	None
Breathlessness at rest	None
Rest dyspnea	None
Apneic episodes precipitated by illness, fatigue, stress	None
Episodic apnea induced by febrile illness or stress	None
Aplasia of the epiglottis	None
Absent epiglottis	None
Pleural cyst	None
Bronchial papilloma	None
Small cell lung cancer	None
Oat cell carcinoma of lung	None
Oat cell lung cancer	None
Small cell lung carcinoma	None
Rapid breathing	None
Hyperventilation	None
Rhonchi	None
Bowing of the vocal cords	None
Abnormal saccharine test	None
Impaired nasal mucociliary clearance	None
Abnormal epiglottis morphology	None
Abnormality of the epiglottis	None
Abnormality of lung veins	None
Abnormality of the pulmonary veins	None
Low blood oxygen level	None
Hypoxia	None
Hypoxemia	None
Crackles	None
Rales	None
Crepitations	None
Pharyngitis	None
Architectural distortion of the lung	None
Infracardiac total anomalous pulmonary venous connexion	None
Infracardiac total anomalous pulmonary venous connection	None
Type 3 total anomalous pulmonary venous connection	None
Decreased complex N-glycan level	None
Increased truncated complex N-glycans on glycoproteins	None
Positive plasma/serum cotinine test	None
Increased resting energy expenditure	None
Abnormal phytanic acid/pristanic acid ratio	None
Abnormal phytanic acid:pristanic acid ratio	None
Abnormal phytanic acid to pristanic acid ratio	None
Hyperchloremic metabolic acidosis	None
Non-gap acidosis	None
Abnormal blood folate concentration	None
Abnormality of folate in blood	None
Abnormal serum folate	None
Abnormal circulating IgD level	None
Abnormal IgD level in blood	None
Decreased CSF leucine concentration	None
Low leucine levels in cerebrospinal fluid	None
Elevated circulating 3-hydroxybutyric acid concentration	None
Abnormal T-cell activation	None
Abnormal T-lymphocyte activation	None
Abnormal T cell activation	None
Abnormal T lymphocyte activation	None
Abnormal circulating ceruloplasmin concentration	None
Hypoalaninemia	None
Low blood alanine levels	None
Decreased blood alanine concentration	None
Abnormal circulating hyaluronic acid concentration	None
Elevated urine keto acid level	None
Increased CSF albumin concentration	None
High albumin levels in cerebrospinal fluid	None
Mild proteinuria	None
Abnormal sialylation of O-linked protein glycosylation	None
Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	None
Exudative pleural effusion	None
Hypohistidinemia	None
Decreased blood histidine concentration	None
Low blood histidine levels	None
Hyperamylasemia	None
Increased circulating amylase level	None
Decreased CSF amyloid level	None
Decreased CSF amyloid concentration	None
Elevated circulating palmitoylcarnitine concentration	None
Intestinal oedema	None
Intestinal edema	None
Abnormal circulating lysine concentration	None
Abnormality of lysine metabolism	None
Hyaline casts	None
Increased phospho-CK after exercise	None
Elevated CK after exercise	None
Elevated creatine kinase after exercise	None
Increased phospho-creatine kinase after exercise	None
Elevated creatine phosphokinase after exercise	None
Increased creatine phosphokinase after exercise	None
Elevated phospho-CK after exercise	None
Increased CK after exercise	None
Elevated CPK after exercise	None
Increased creatine kinase after exercise	None
Elevated phospho-creatine kinase after exercise	None
Cystine crystalluria	None
Increased urinary neutrophil gelatinase-associated lipocalin	None
Increased urinary NGAL	None
Abnormal circulating C-peptide concentration	None
Abnormal C peptide level	None
Abnormal C-peptide level	None
Thyroxine-binding globulin high in blood	None
Increased circulating thyroxine-binding globulin level	None
Isoleucine high in urine	None
Hyperisoleucinuria	None
Isoleucinuria	None
Severe albuminuria	None
Heavy albuminuria	None
Complex organic aciduria	None
Cellular hypersensitivity to diepoxybutane	None
High blood hydroxyproline levels	None
Hydroxyprolinemia	None
Abnormal CSF glutamine concentration	None
Abnormal glutamine levels in cerebrospinal fluid	None
Abnormal circulating apolipoprotein concentration	None
Abnormal apolipoprotein level	None
Decreased activity of mitochondrial complex III	None
Respiratory complex III deficiency	None
Elevated circulating myoglobin concentration	None
Hyperammonemia	None
High blood ammonia levels	None
Periodic fever	None
Abnormality of transition element cation homeostasis	None
Abnormal blood transition element cation concentration	None
Low alkaline phosphatase of renal origin	None
Low ALP of renal origin	None
Impairment of fructose metabolism	None
Abnormal circulating glutamine concentration	None
MODY	None
Maturity onset diabetes of the young	None
Maturity-onset diabetes of the young	None
Abnormality of DNA repair	None
Abnormal LDL-C level	None
Abnormal LDL cholesterol concentration	None
Abnormal LDL-C concentration	None
Abnormal LDLc concentration	None
Renal K wasting	None
Renal potassium wasting	None
IgA deficiency	None
Decreased immunoglobulin A	None
Decreased IgA	None
Reduced IgA levels	None
Low levels of immunoglobulin A	None
Decreased circulating IgA level	None
Gamma-A globulin deficiency	None
Beta 2-microglobulinuria	None
Ketoaciduria	None
Ketone bodies in urine	None
Acetonuria	None
Ketonuria	None
Ketonaciduria	None
Increased urinary fucosylated oligosaccharide	None
Increased concentration of fucosylated oligosaccharides in urine	None
Periorbital oedema	None
Periorbital edema	None
Periorbital cellulitis	None
Decreased circulating amylase level	None
Hypoamylasemia	None
Abnormal level of natural antibody to blood group agents	None
Abnormal isohemagglutinin level	None
Abnormal natural antibody level to blood group antigens in blood (isohemagglutinin)	None
Decreased mitochondrial malic enzyme	None
Mitochondrial malic enzyme reduced	None
Positive meconium barbiturate test	None
Increased level of 3-hydroxy-3-methylglutaric acid in urine	None
Elevated circulating hydroxyphenlyllactic acid concentration	None
Abnormal circulating beta-CrossLaps level	None
Abnormal circulating beta-C-terminal telopeptide concentration	None
Abnormal circulating beta-CTx level	None
Abnormal circulating beta-C-terminal telopeptide level	None
Urinary mulberry cells	None
Decreased phosphoribosylpyrophosphate synthetase level	None
Decreased IgG subclass level in blood	None
Decreased circulating IgG subclass level	None
Generalised amyloid deposition	None
Generalized amyloid deposition	None
Lipogranulomatosis	None
Abnormality of B cell physiology	None
Reduced B cell function	None
Increased CSF glycine concentration	None
High glycine levels in cerebrospinal fluid	None
Highly elevated CPK	None
Highly elevated serum CPK	None
Highly elevated serum CK	None
Highly elevated serum phosph-CK	None
Highly elevated creatine kinase	None
Highly elevated creatine phosphokinase	None
Amyloid cardiomyopathy	None
Cardiac amyloidosis	None
Elevated circulating glycolate concentration	None
Oligoclonal elevation of circulating IgA	None
Increased ROS production	None
Increased reactive oxygen species production	None
Oxidative stress	None
Renal Fanconi syndrome	None
Renal tubular fanconi syndrome	None
De toni-fanconi-debre syndrome	None
Heavy-chain paraproteinemia	None
Struvite urinary crystals	None
Magnesium ammonium phosphate crystalluria	None
Positive urine barbiturate test	None
Abnormal circulating short-chain fatty-acid concentration	None
Hypochloremic metabolic alkalosis	None
Complete or near-complete absence of isohemagglutinins	None
Absent isohemagglutinin level	None
Absent natural antibody to blood group agents	None
Hypouricemia	None
Low blood uric acid levels	None
Abnormal circulating organic amino compound concentration	None
Elevated faecal sodium	None
Elevated fecal sodium	None
Hydroxyprolinuria	None
Elevated urinary hydroxyproline	None
Abnormal circulating prostaglandin circulation	None
Shortened O-fucosylated glycan on properdin	None
Presence of terminal O-fucose glycans on properdin	None
Exercise-induced lactic acidemia	None
Exercise-induced lactic acidosis	None
Abnormal glucose-6-phosphate dehydrogenase level in leukocytes	None
Abnormal G6PD level in leukocytes	None
Abnormal isoleucine levels in cerebrospinal fluid	None
Abnormal CSF isoleucine concentration	None
Low levels of vitamin D	None
Vitamin D deficiency	None
Deficient in vitamin D	None
Transient decreased IgG2 in blood	None
Transient decreased circulating IgG2	None
Elevated levels of cholesta-5,7-dien-3beta-ol	None
Elevated 7-dehydrocholesterol	None
Decreased urinary urate	None
Increased CSF tyrosine concentration	None
High tyrosine levels in cerebrospinal fluid	None
Decreased adipose tissue tocopherol level	None
Increased CSF interferon alpha	None
Primapterinuria	None
Elevated urinary 7-biopterin level	None
Chronic decreased circulating IgG1	None
Chronic decreased IgG1 in blood	None
Increased level of anti-plant based food allergen IgE antibody	None
Increased anti-plant based food allergen IgE antibody level	None
Abnormal urine smell	None
Abnormal urinary odor	None
Abnormal urinary odour	None
Tubular proteinuria	None
Low-molecular-weight proteinuria	None
Increased anti-animal dander IgE antibody level	None
Increased level of anti-dander IgE antibody	None
Phosphoethanolaminuria	None
High urine phosphoethanolamine levels	None
Increased level of O-phosphoethanolamine in urine	None
Increased urine O-phosphoethanolamine level	None
Severe lactic acidosis	None
Williams factor deficiency	None
Williams-Fitzgerald-Flaujeac factor deficiency	None
Kininogen deficiency	None
Reduced kininogen activity	None
Fitzgerald factor deficiency	None
Elevated blood lysine	None
Hyperlysinemia	None
Azotemia	None
Azotaemia	None
Abnormal circulating bilirubin concentration	None
Decreased activities of mitochondrial-encoded respiratory chain complexes	None
Decreased activity of mitochondrial respiratory complexes	None
Decreased activity of mitochondrial respiratory chain	None
Saccharopinuria	None
Low tyrosine levels in the cerebrospinal fluid	None
Decreased CSF tyrosine concentration	None
Increased cellular sensitivity to UV light	None
Increased IgG level	None
Increased total IgG in blood	None
Increased circulating IgG level	None
Increased levels of IgG	None
Increased level of D-threitol in CSF	None
Increased level of D-threitol in cerebrospinal fluid	None
Abnormal circulating biopterin concentration	None
Abnormality of T cell physiology	None
Increased circulating A-type natriuretic peptide level	None
Abnormal urine osmolality	None
Abnormal phosphoribosylpyrophosphate synthetase level	None
Abnormal delayed hypersensitivity skin test	None
Decreased CSF glutamate concentration	None
Low glutamic acid levels in cerebrospinal fluid	None
Decreased circulating chenodiol concentration	None
Decreased circulating chenodeoxycholic acid concentration	None
Reduced gamma-glutamyltransferase level	None
Gamma-glutamyl transferase low in blood	None
IgE deficiency	None
Decreased IgE	None
Decreased circulating IgE	None
Absent urinary urothione	None
Increased circulating alpha-ketoisocaproic acid concentration	None
Elevated circulating 4-methyl-2-oxopentanoic acid concentration	None
Increased fecal heptacarboxylporphyrin	None
Heptacarboxylporphyrin high in stool	None
High valine levels in cerebrospinal fluid	None
Increased CSF valine concentration	None
High urine uracil levels	None
Uraciluria	None
Chronic (near) absent IgG2 in blood	None
Chronic (near) absent circulating IgG2	None
Decreased UDP-glucose 4-epimerase level in plasma	None
Decreased uridine diphosphate glucose-4-epimerase level in plasma	None
Abnormality of chromosome stability	None
High blood phenylalanine level in mother	None
Maternal hyperphenylalaninemia	None
Elevated calcitonin	None
Abnormal circulating monocarboxylic acid concentration	None
Metabolic alkalosis	None
Decreased serum iron	None
Low serum iron	None
Hypernatremic dehydration	None
2,8-dihydroxyadenine urinary crystals	None
2,8-dihydroxyadenine crystalluria	None
Elevated urinary N,N-dimethylglycine level	None
Increased susceptibility to spontaneous sister chromatid exchange	None
Decreased G6PD level in tissue	None
Decreased glucose-6-phosphate dehydrogenase level in tissue	None
Increased sarcoplasmic glycogen	None
Abnormal transferrin saturation	None
Nonketotic hyperglycinemia	None
Elevated urinary 3-methylcrotonylglycine level	None
Elevated circulating 2-hydroxybutyric acid concentration	None
Increased urinary porphobilinogen	None
Abnormal HDL3a concentration	None
Abnormality of the kinin-kallikrein system	None
Elevated circulating methylsuccinic acid concentration	None
Hyposerinemia	None
Low blood serine levels	None
Acute phase response	None
Chronic (near) absent circulating IgG1	None
Chronic (near) absent IgG1 in blood	None
Increased amyloid beta 40 peptide CSF concentration	None
Decreased activity of mitochondrial complex II	None
Respiratory complex II deficiency	None
Monoclonal elevation of IgG	None
Increased blood arginine concentration	None
Hyperargininemia	None
High blood arginine levels	None
Clostridium botulinum toxin in stool	None
Positive fecal Clostridium botulinum test	None
Abnormal CSF arginine concentration	None
Abnormal arginine levels in cerebrospinal fluid	None
Low cholesterol esterification rate	None
Chronic decreased IgM in blood	None
Chronic decreased circulating IgD	None
Decreased level of erythritol in urine	None
Monoclonal light chain cardiac amyloidosis	None
Decreased specific antibody response to vaccination	None
Abnormal T cell proliferation	None
Hyperapobetalipoproteinemia	None
Hydroxyphenylpyruvic aciduria	None
4-Hydroxyphenylpyruvic aciduria	None
Episodic metabolic acidosis	None
Recurrent episodes of acidosis	None
Conjunctival amyloidosis	None
Hyposthenuria	None
Reduced urinary osmolality	None
Reduced red cell pyruvate kinase level	None
Reduced erythrocyte pyruvate kinase activity	None
Elevated circulating homoalanine concentration	None
Elevated circulating alpha-aminobutyric acid concentration	None
Increased BUN	None
Increased blood urea nitrogen	None
Renal glomerular amyloid deposition	None
Abnormal uridine diphosphate glucose-4-epimerase level	None
Abnormal UDP-glucose 4-epimerase level	None
Increased LDLc concentration	None
Hyperbetalipoproteinemia	None
Increased circulating low-density lipoprotein levels	None
Increased plasma LDL levels	None
Increased LDL cholesterol	None
Increased beta-lipoproteins	None
Increased LDL cholesterol concentration	None
Increased circulating LDL level	None
Increased circulating low-density lipoprotein cholesterol	None
Decreased specific antibody response to protein-conjugated polysaccharide vaccine	None
Increased circulating galectin-3 level	None
Increased serum beta-hexosaminidase	None
Impaired gluconeogenesis	None
Gluconeogenesis impaired	None
Increased urine alpha-ketoisocaproic acid level	None
Elevated urine 4-methyl-2-oxopentanoic acid level	None
Calcium phosphate crystalluria	None
Increased level of L-glutamic acid in blood	None
Abnormal salivary metabolite concentration	None
Isoelectric focusing of serum transferrin consistent with CDG type I	None
Type 1 transferrin isoform profile	None
Type I transferrin isoform profile	None
Abnormal isoelectric focusing of serum transferrin, type I pattern	None
Antigen-specific T cell proliferation defect	None
Reduced antigen-specific T cell proliferation	None
Impaired cellular adaptive immune response	None
Impaired Ag-specific T cell proliferation	None
Impaired activated T cell proliferation	None
Gross hematuria	None
Bloody urine	None
Macroscopic hematuria	None
Reduced circulating acylcarnitine concentration	None
Increased urinary sodium	None
Hypernatriuria	None
Cystoid macular edema	None
Cystoid macular oedema	None
Cerebral amyloid angiopathy	None
Chronic absent circulating total IgG	None
Chronic (near) absent total IgG in blood	None
Abnormal CSF biopterin concentration	None
Abnormal CSF biopterin level	None
Abnormal cerebrospinal fluid biopterin level	None
gestational diabetes	None
maternal hyperglycemia	None
Maternal diabetes	None
Elevated plasma dodecanoylcarnitine, C12:0	None
Elevated circulating dodecanoylcarnitine concentration	None
Elevated circulating O-dodecanoylcarnitine concentration	None
Elevated serum potassium levels	None
Hyperkalemia	None
Increased immunoreactive trypsinogen	None
Increased circulating trypsinogen	None
Elevated urinary 3-hydroxybutyric acid	None
Silent pituitary adenoma	None
Non-functional pituitary adenoma	None
Pituitary null cell adenoma	None
Hormonally silent pituitary adenoma	None
Clinically silent pituitary adenoma	None
Abnormality of circulating hormone level	None
Abnormal circulating hormone level	None
Abnormal circulating hormone concentration	None
Absent thymus	None
Aplasia of the thymus	None
Absent thymic shadow	None
Lack of thymic shadow	None
Athymia	None
Excessive insulin response to glucagon test	None
amine precursor uptake and decarboxylation tumours	None
APUdoma	None
Underdeveloped adrenal glands	None
Adrenal hypoplasia	None
Hypoplastic adrenal glands	None
Small adrenal glands	None
Adrenal gland hypoplasia	None
Growth hormone deficiency	None
Decreased response to growth hormone stimulation test	None
Somatotropin deficiency	None
Pituitary acidophilic stem cell adenoma	None
Euthyroid goiter	None
Euthyroid goitre	None
Abnormality of the pancreatic islet cells	None
Hypothalamic hypothyroidism	None
Tertiary hypothyroidism	None
Macronodular adrenal hyperplasia	None
Elevated circulating rT3/T3 ratio	None
Thyroid defect in oxidation and organification of iodide	None
Abnormal circulating deoxycorticosterone level	None
Abnormal serum androstenolone level	None
Abnormal serum dehydroepiandrosterone level	None
Abnormal serum DHEA	None
Abnormal circulating dehydroepiandrosterone concentration	None
Abnormal prolactin level	None
Abnormality of the anterior pituitary	None
Pituitary disease	None
Abnormal circulating androgen level	None
ACTH deficient adrenal insufficiency	None
Adrenocorticotropin deficient adrenal insufficiency	None
Lingual thyroid	None
Pituitary resistance to thyroid hormone	None
Decreased circulating follicle stimulating hormone level	None
Decreased circulating follicle stimulating hormone concentration	None
Abnormal circulating aldosterone	None
Abnormal plasma aldosterone	None
Impaired cortisol response to glucagon stimulation test	None
Pancreatic islet cell adenoma	None
Insulin-dependent but ketosis-resistant diabetes	None
Adrenocortical hypoplasia	None
Small adrenal cortex	None
Abnormal response to insulin tolerance test	None
Abnormal circulating T4 concentration	None
Abnormal circulating T4 level	None
Abnormal circulating thyroxine level	None
Multinodular goitre	None
Multinodular goiter	None
Increased plasma renin activity	None
Hyperactive renin-angiotensin system	None
Decreased plasma AMH	None
Decreased antimullerian hormone level	None
Abnormal circulating gonadotropin level	None
Abnormal circulating gonadotropin concentration	None
Increased antimullerian hormone level	None
Increased plasma AMH	None
Gonadotropin deficiency	None
Pituitary gonadotropin deficiency	None
Thyroid adenoma	None
Abnormality of the posterior pituitary	None
Abnormality of the neurohypophysis	None
High urinary gonadotropin level	None
Abnormal gonadotropin-releasing hormone concentration	None
Abnormality of gonadotropin-releasing hormone level	None
Abnormality of GnRH level	None
Pituitary somatotropinoma	None
Pituitary growth hormone cell adenoma	None
Neoplasm of the anterior pituitary	None
Neoplasm of the adenohypophysis	None
Neoplasm of the pars anterior	None
Decreased adiponectin level	None
Abnormal response to ACTH stimulation test	None
Abnormal response to corticotropin stimulation test	None
Abnormal response to adrenocorticotropic-hormone stimulation test	None
Pituitary thyrotropinoma	None
Pituitary thyrotropic cell adenoma	None
Thyroglossal cyst	None
Thyroglossal duct cyst	None
Increased serum estradiol	None
Increased serum oestradiol	None
Increased estradiol level	None
Pituitary hypothyroidism	None
TSH deficient hypothyroidism	None
Secondary hypothyroidism	None
Low thyroid gland function due to abnormal pituitary gland	None
Thyroid stimulating hormone deficiency	None
Thyrotropin deficiency	None
Microprolactinoma	None
Pulmonary paraglioma	None
Pseudohypoaldosteronism	None
Small adrenal medulla	None
Adrenal medullary hypoplasia	None
Hyperinsulinemia	None
Elevated insulin level	None
Abnormal TSH level	None
Abnormal circulating thyrotropin concentration	None
Abnormal thyroid-stimulating hormone level	None
Abnormal thyrotropin level	None
Decreased thymic hormone	None
Thymic hormone decreased	None
Abnormal circulating corticosterone level	None
Abnormality of circulating corticosterone level	None
Mild hypothyroidism	None
Subclinical hypothyroidism	None
Compensated hypothyroidism	None
Medullar adrenal neoplasia	None
Neoplasm of the adrenal medulla	None
Increased cortisol production	None
Hypercortisolism	None
Cushing syndrome	None
Increased circulating cortisol level	None
Suppressed plasma renin activity	None
Low plasma renin activity	None
Decreased circulating renin level	None
Decreased plasma renin activity	None
Ectopic thymus tissue	None
Abnormal thymus position	None
Increased circulating renin level	None
Elevated blood renin level	None
Increased serum renin	None
Increased plasma renin	None
Elevated plasma renin	None
Hyperreninemia	None
Aplasia/Hypoplasia of the thyroid gland	None
Neurohypophysis hypoplasia	None
Posterior pituitary hypoplasia	None
Increased circulating luteinizing hormone level	None
Elevated circulating luteinizing hormone level	None
Elevated luteinizing hormone	None
Elevated LH level	None
Small parathyroid glands	None
