Abnormality of taste sensation	HP:0000223
Impaired tactile sensation	HP:0010830
Abnormality of proprioception	HP:0010831
Impaired proprioception	HP:0010831
Abnormality of pain sensation	HP:0010832
Spontaneous pain sensation	HP:0010833
Trophic changes related to pain	HP:0010834
Trophic changes	HP:0010834
Dissociated sensory loss	HP:0010835
Multifocal epileptiform discharges	HP:0010841
Multifocal EEG abnormality	HP:0010841
EEG: localised slow activity	HP:0010843
EEG: localized slow activity	HP:0010843
EEG with focal slow activity	HP:0010843
EEG: focal slow activity	HP:0010843
EEG with multifocal slow activity	HP:0010844
EEG: generalized slow activity	HP:0010845
EEG with generalized slow activity	HP:0010845
EEG: generalised slow activity	HP:0010845
EEG with generalised slow activity	HP:0010845
EEG with persistent abnormal rhythmic activity	HP:0010846
EEG: persistent abnormal rhythmic activity	HP:0010846
Electroencephalogram demonstrated spike-slow wave discharges	HP:0010847
EEG with spike-wave complexes (<2.5 Hz)	HP:0010847
EEG with spike-wave complexes (2.5-3.5 Hz)	HP:0010848
EEG with 3-4-Hz spike waves	HP:0010849
EEG with spike-wave complexes (>3.5 Hz)	HP:0010849
EEG with spike-wave complexes	HP:0010850
EEG with burst suppression	HP:0010851
Photoparoxysmal response on EEG	HP:0010852
EEG with photoparoxysmal response	HP:0010852
EEG: periodic lateralized epileptiform discharges	HP:0010853
EEG with periodic lateralized epileptiform discharges	HP:0010853
EEG: generalised low amplitude activity	HP:0010854
EEG with generalized low amplitude activity	HP:0010854
EEG with generalised low amplitude activity	HP:0010854
EEG with localised low amplitude activity	HP:0010855
EEG with localized low amplitude activity	HP:0010855
EEG: localised low amplitude activity	HP:0010855
Radermecker complexes	HP:0010856
EEG with periodic complexes	HP:0010856
EEG: periodic complexes	HP:0010856
EEG: periodic abnormalities	HP:0010857
EEG with periodic abnormalities	HP:0010857
EEG with hyperventilation-induced epileptiform discharges	HP:0010858
Delayed fine motor development	HP:0010862
Receptive language delay	HP:0010863
Intellectual disability, severe	HP:0010864
Early and severe mental retardation	HP:0010864
Mental retardation, severe	HP:0010864
Severe mental retardation	HP:0010864
Oppositional defiant disorder	HP:0010865
Dyssynergia	HP:0010867
Ocular dyssynergia	HP:0010868
Asynergia	HP:0010869
Spinal ataxia	HP:0010871
Sensory ataxia	HP:0010871
Afferent ataxia	HP:0010871
Ataxia, sensory	HP:0010871
Cervical spinal cord atrophy	HP:0010873
Chaddock reflex	HP:0010875
Abnormal fourth ventricle morphology	HP:0010950
Abnormality of the fourth ventricle	HP:0010950
Abnormality of the third ventricle	HP:0010951
Abnormal third ventricle morphology	HP:0010951
Mild foetal ventriculomegaly	HP:0010952
Mild fetal ventriculomegaly	HP:0010952
Noncommunicating hydrocephalus	HP:0010953
Abnormality of the cerebral subcortex	HP:0010993
Abnormal cerebral subcortex morphology	HP:0010993
Abnormality of the cerebral medulla	HP:0010993
Abnormality of the striatum	HP:0010994
Abnormality of the striate nucleus	HP:0010994
Abnormal corpus striatum morphology	HP:0010994
Abnormality of the neostriatum	HP:0010994
Absent optic tract	HP:0010999
Aplasia of the optic tract	HP:0010999
Absent/underdeveloped optic tract	HP:0011000
Aplasia/Hypoplasia of the optic tract	HP:0011000
Absent/small optic tract	HP:0011000
Peripheral demyelination	HP:0011096
Demyelination	HP:0011096
West syndrome	HP:0011097
Salaam convulsion	HP:0011097
Epileptic spasm	HP:0011097
Salaam convulsions	HP:0011097
Salaam seizures	HP:0011097
Salaam seizure	HP:0011097
Epileptic spasms	HP:0011097
Speech dyspraxia	HP:0011098
Verbal dyspraxia	HP:0011098
Apraxia of speech	HP:0011098
Speech apraxia	HP:0011098
Spastic hemiparesis	HP:0011099
Spastic hemiplegia	HP:0011099
Symptomatic seizures	HP:0011145
Dialeptic seizure	HP:0011146
Unknown onset behavioural arrest seizure with impairment of awareness	HP:0011146
Unknown onset behavioral arrest seizure with impairment of awareness	HP:0011146
Behavioural arrest seizure with impairment of awareness irrespective of onset	HP:0011146
Behavioral arrest seizure with impairment of awareness irrespective of onset	HP:0011146
Typical absence seizures	HP:0011147
Typical absence	HP:0011147
Typical absence seizure	HP:0011147
Absence seizures with eyelid myoclonia	HP:0011149
Absence seizure with eyelid myoclonia	HP:0011149
Myoclonic absences	HP:0011150
Myoclonic absence	HP:0011150
Myoclonic absence seizure	HP:0011150
Atypical absence status epilepticus	HP:0011151
Obtundation status	HP:0011151
Early onset absence seizures	HP:0011152
Early onset petit mal seizures	HP:0011152
Focal motor seizures	HP:0011153
Localised motor seizure	HP:0011153
Localized motor seizure	HP:0011153
Partial motor seizure	HP:0011153
Localized motor seizures	HP:0011153
Localised motor seizures	HP:0011153
Focal motor seizure	HP:0011153
Segmental motor seizure	HP:0011153
Partial motor seizures	HP:0011153
Focal autonomic seizure	HP:0011154
Focal autonomic seizures	HP:0011154
Focal sensory seizure	HP:0011157
Sensory aura	HP:0011157
Partial sensory seizure	HP:0011157
Focal sensory seizures	HP:0011157
Partial auditory seizure	HP:0011158
Focal auditory seizure	HP:0011158
Auditory aura	HP:0011158
Focal sensory seizure with auditory features	HP:0011158
Focal sensory auditory seizure	HP:0011158
Epigastric auras	HP:0011159
Localised seizure with epigastric sensation	HP:0011159
Partial seizure with epigastric sensation	HP:0011159
Visceral aura	HP:0011159
Epigastric aura	HP:0011159
Abdominal aura	HP:0011159
Localized seizure with epigastric sensation	HP:0011159
Focal autonomic seizure with epigastric sensation/nausea/vomiting/other gastrointestinal phenomena	HP:0011159
Focal gustatory seizure	HP:0011160
Partial gustatory seizure	HP:0011160
Gustatory aura	HP:0011160
Focal sensory seizure with gustatory features	HP:0011160
Focal sensory gustatory seizure	HP:0011160
Gustatory auras	HP:0011160
Taste hallucinations	HP:0011160
Partial olfactory seizure	HP:0011161
Focal sensory seizure with olfactory features	HP:0011161
Olfactory aura	HP:0011161
Olfactory auras	HP:0011161
Focal olfactory seizure	HP:0011161
Partial somatosensory seizure	HP:0011163
Focal somatosensory seizure	HP:0011163
Somatosensory auras	HP:0011163
Somatosensory aura	HP:0011163
Focal sensory seizure with somatosensory features	HP:0011163
Focal visual seizure	HP:0011165
Visual aura	HP:0011165
Focal sensory seizure with visual features	HP:0011165
Partial visual seizure	HP:0011165
Simple partial occipital seizures	HP:0011165
Visual auras	HP:0011165
Local myoclonic seizures	HP:0011166
Localized myoclonic seizure	HP:0011166
Segmental myoclonic seizure	HP:0011166
Focal myoclonic seizure	HP:0011166
Partial myoclonic seizure	HP:0011166
Focal myoclonic seizures	HP:0011166
Localised myoclonic seizure	HP:0011166
Segmental myoclonic seizures	HP:0011166
Partial myoclonic seizures	HP:0011166
Focal tonic seizure	HP:0011167
Partial tonic seizures	HP:0011167
Segmental tonic seizure	HP:0011167
Localised tonic seizure	HP:0011167
Partial tonic seizure	HP:0011167
Focal tonic seizures	HP:0011167
Localized tonic seizure	HP:0011167
Local tonic seizures	HP:0011167
Eyelid myoclonias	HP:0011168
Focal seizure with eyelid myoclonia	HP:0011168
Generalised clonic seizure	HP:0011169
Generalized clonic seizure	HP:0011169
Generalized onset clonic seizure	HP:0011169
Generalised-onset clonic seizure	HP:0011169
Generalized clonic seizures	HP:0011169
Generalised clonic seizures	HP:0011169
Generalized-onset clonic seizure	HP:0011169
Generalised onset clonic seizure	HP:0011169
Generalised myoclonic-atonic seizure	HP:0011170
Myoclonic-astatic seizure	HP:0011170
Myoclonic atonic seizures	HP:0011170
Generalized myoclonic-atonic seizure	HP:0011170
Simple febrile seizures	HP:0011171
Simple fever fit	HP:0011171
Simple febrile seizure	HP:0011171
Simple febrile convulsion	HP:0011171
Complex fever fit	HP:0011172
Complex febrile seizure	HP:0011172
Complex febrile convulsion	HP:0011172
Complex febrile seizures	HP:0011172
Localised seizure with behavioural arrest	HP:0011173
Localized seizure with behavioral arrest	HP:0011173
Hypokinetic seizures	HP:0011173
Focal behaviour arrest seizure	HP:0011173
Focal hypokinetic seizure	HP:0011173
Focal behavior arrest seizure	HP:0011173
Partial seizure with behaviour arrest	HP:0011173
Hypokinetic seizure	HP:0011173
Partial hypokinetic seizure	HP:0011173
Partial seizure with behavior arrest	HP:0011173
Hyperkinetic seizures	HP:0011174
Localised hyperkinetic seizure	HP:0011174
Focal hyperkinetic seizure	HP:0011174
Localized hyperkinetic seizure	HP:0011174
Segmental hyperkinetic seizure	HP:0011174
Partial hyperkinetic seizure	HP:0011174
Versive seizure	HP:0011175
Versive seizures	HP:0011175
Focal motor seizure with version	HP:0011175
EEG with constitutional variants	HP:0011176
EEG with 4-5/second background activity	HP:0011177
Alpha-EEG	HP:0011178
Beta-EEG	HP:0011179
Beta wave electroencephalography	HP:0011179
Partial beta-EEG	HP:0011180
Low voltage EEG	HP:0011181
Interictal epileptiform activity	HP:0011182
Epileptiform EEG discharges	HP:0011182
EEG with hyperventilation-induced focal epileptiform discharges	HP:0011183
EEG with hyperventilation-induced generalised epileptiform discharges	HP:0011184
EEG with hyperventilation-induced generalized epileptiform discharges	HP:0011184
Focal EEG Abnormality	HP:0011185
EEG with focal epileptiform discharges	HP:0011185
Focal epileptiform discharges with limited propagation to contralateral hemisphere	HP:0011186
Focal EEG discharges with propagation to ipsilateral hemisphere	HP:0011187
Focal EEG discharges with secondary generalisation	HP:0011188
Focal EEG discharges with secondary generalization	HP:0011188
Bilateral multifocal epileptiform discharges	HP:0011189
Uni- and bilateral multifocal epileptiform discharges	HP:0011190
Unilateral multifocal epileptiform discharges	HP:0011191
Polymorphic focal epileptiform discharges	HP:0011192
EEG with focal spikes	HP:0011193
EEG with series of focal spikes	HP:0011194
EEG with focal sharp slow waves	HP:0011195
EEG with focal sharp waves	HP:0011196
EEG with focal spike waves	HP:0011197
EEG with generalised epileptiform discharges	HP:0011198
EEG with generalized epileptiform discharges	HP:0011198
EEG with generalized sharp slow waves	HP:0011199
EEG with generalised sharp slow waves	HP:0011199
EEG with generalized polymorphic epileptiform discharges	HP:0011200
EEG with generalised polymorphic epileptiform discharges	HP:0011200
EEG with changes in voltage	HP:0011201
EEG with diffuse acceleration	HP:0011202
EEG with abnormally slow frequencies	HP:0011203
EEG with continuous slow activity	HP:0011204
EEG with intermittent slow activity	HP:0011205
EEG with generalized slow activity grade 1	HP:0011206
EEG with generalised slow activity grade 1	HP:0011206
EEG with generalized slow activity grade 2	HP:0011207
EEG with generalised slow activity grade 2	HP:0011207
EEG with generalised slow activity grade 3	HP:0011208
EEG with generalized slow activity grade 3	HP:0011208
Flat line EEG	HP:0011209
EEG with generalised slow activity grade 4	HP:0011209
EEG with generalized slow activity grade 4	HP:0011209
EEG with occipital slowing	HP:0011210
EEG with photoparoxysmal response grade I	HP:0011211
EEG with photoparoxysmal response grade II	HP:0011212
EEG with photoparoxysmal response grade III	HP:0011213
EEG with photoparoxysmal response grade IV	HP:0011214
Hemihypsarrhythmia	HP:0011215
Abnormal hindbrain morphology	HP:0011282
Abnormality of hindbrain morphology	HP:0011282
Abnormal shape of hindbrain	HP:0011282
Abnormality of the hindbrain	HP:0011282
Abnormal metencephalon morphology	HP:0011283
Abnormality of the metencephalon	HP:0011283
Short-segment aganglionic megacolon	HP:0011284
Long-segment aganglionic megacolon	HP:0011285
Total colonic aganglionosis	HP:0011286
EEG with occipital sharp slow waves	HP:0011287
EEG with parietal sharp slow waves	HP:0011288
EEG with temporal sharp slow waves	HP:0011289
EEG with frontal sharp slow waves	HP:0011290
EEG with central sharp slow waves	HP:0011291
EEG with occipital sharp waves	HP:0011292
EEG with central sharp waves	HP:0011293
EEG with frontal sharp waves	HP:0011294
EEG with parietal sharp waves	HP:0011295
EEG with temporal sharp waves	HP:0011296
Mild global developmental delay	HP:0011342
Psychomotor retardation, mild	HP:0011342
Global developmental delay, mild	HP:0011342
Global developmental delay, moderate	HP:0011343
Moderate global developmental delay	HP:0011343
Psychomotor retardation, moderate	HP:0011343
Global developmental delay, severe	HP:0011344
Severe global developmental delay	HP:0011344
Severe psychomotor retardation	HP:0011344
Moderate expressive language delay	HP:0011345
Mild expressive language delay	HP:0011346
Abnormality of the sixth cranial nerve	HP:0011348
Abnormal abducens nerve morphology	HP:0011348
Abnormal sixth cranial nerve morphology	HP:0011348
Mild receptive language delay	HP:0011350
Moderate receptive language delay	HP:0011351
Severe receptive language delay	HP:0011352
Abnormality of the dorsal column of the spinal cord	HP:0011397
Abnormal formation of myelin sheaths	HP:0011400
Abnormal CNS myelination	HP:0011400
Delayed peripheral myelination	HP:0011401
Demyelinating sensory neuropathy	HP:0011402
Abnormality of the myencephalon	HP:0011441
Abnormal medulla oblongata morphology	HP:0011441
Abnormality of the medulla oblongata	HP:0011441
Abnormality of central motor function	HP:0011442
Abnormal central motor function	HP:0011442
Abnormality of coordination	HP:0011443
Coordination issue	HP:0011443
Athetoid cerebral palsy	HP:0011445
Dyskinetic cerebral palsy	HP:0011445
Abnormality of higher mental function	HP:0011446
Ankle clonus	HP:0011448
Abnormal rhythmic movements of ankle	HP:0011448
Patellar clonus	HP:0011449
Knee clonus	HP:0011449
Central nervous system infection	HP:0011450
Unusual CNS infection	HP:0011450
Small head present at birth	HP:0011451
Decreased head circumference present at birth	HP:0011451
Congenital microcephaly	HP:0011451
Primary microcephaly	HP:0011451
Small head circumference present at birth	HP:0011451
Small cranium present at birth	HP:0011451
Small skull present at birth	HP:0011451
Congenital small head circumference	HP:0011451
Microcephaly present at birth	HP:0011451
Head circumference small for gestational age	HP:0011451
Congenital small skull	HP:0011451
Congenital decreased head circumference	HP:0011451
Congenital small head	HP:0011451
Aganglionosis of the small intestine	HP:0011464
Duodenal aganglionosis	HP:0011465
Cerebellar haemorrhage	HP:0011695
Cerebellar hemorrhage	HP:0011695
Elbow clonus	HP:0011728
Abnormality of central sensory function	HP:0011730
Abnormal central sensory function	HP:0011730
Abnormality of the anterior pituitary	HP:0011747
Pituitary disease	HP:0011747
ACTH deficiency	HP:0011748
Corticotropin deficiency	HP:0011748
Adrenocorticotropic hormone deficiency	HP:0011748
Adrenocorticotropic hormone excess	HP:0011749
ACTH excess	HP:0011749
Neoplasm of the anterior pituitary	HP:0011750
Neoplasm of the adenohypophysis	HP:0011750
Neoplasm of the pars anterior	HP:0011750
Abnormality of the posterior pituitary	HP:0011751
Abnormality of the neurohypophysis	HP:0011751
Neoplasm of the posterior pituitary	HP:0011752
Neoplasm of the neurohypophysis	HP:0011752
Neurohypophysis dysplasia	HP:0011753
Posterior pituitary dysplasia	HP:0011753
Posterior pituitary dysgenesis	HP:0011753
Pituicytoma	HP:0011754
Ectopic posterior pituitary	HP:0011755
Ectopic neurohypophysis	HP:0011755
Posterior pituitary agenesis	HP:0011756
Neurohypophysis agenesis	HP:0011756
Neurohypophysis hypoplasia	HP:0011757
Posterior pituitary hypoplasia	HP:0011757
Pituitary acidophilic stem cell adenoma	HP:0011758
Pituitary gonadotropic cell adenoma	HP:0011759
Pituitary gonadotropinoma	HP:0011759
Pituitary somatotropinoma	HP:0011760
Pituitary growth hormone cell adenoma	HP:0011760
Silent pituitary adenoma	HP:0011761
Non-functional pituitary adenoma	HP:0011761
Pituitary null cell adenoma	HP:0011761
Hormonally silent pituitary adenoma	HP:0011761
Clinically silent pituitary adenoma	HP:0011761
Pituitary thyrotropinoma	HP:0011762
Pituitary thyrotropic cell adenoma	HP:0011762
Pituitary carcinoma	HP:0011763
Pituitary spindle cell oncocytoma	HP:0011764
Decreased patellar reflex	HP:0011808
Decreased knee jerk reflex	HP:0011808
Decreased patellar reflexes	HP:0011808
Impaired two-point discrimination	HP:0011810
Impaired touch localisation	HP:0011811
Impaired topognosis	HP:0011811
Impaired touch localization	HP:0011811
Agraphesthesia	HP:0011812
Increased cerebral lipofuscin	HP:0011813
Parietal encephalocele	HP:0011816
Basal encephalocele	HP:0011817
Naso-frontal encephalocele	HP:0011818
Nasofrontal encephalocele	HP:0011818
Moyamoya phenomenon	HP:0011834
Pica	HP:0011856
Abnormality of the cerebellar peduncle	HP:0011931
Abnormal cerebellar peduncle morphology	HP:0011931
Abnormality of the superior cerebellar peduncle	HP:0011932
Abnormal superior cerebellar peduncle morphology	HP:0011932
Long cerebellar peduncle	HP:0011933
Elongated superior cerebellar peduncles	HP:0011933
Elongated superior cerebellar peduncle	HP:0011933
Long cerebellar peduncles	HP:0011933
Substantia nigra gliosis	HP:0011960
Increased circulating luteinizing hormone level	HP:0011969
Elevated circulating luteinizing hormone level	HP:0011969
Elevated luteinizing hormone	HP:0011969
Elevated LH level	HP:0011969
Decreased CSF glucose	HP:0011972
Hypoglycorrhachia	HP:0011972
Low glucose levels in cerebral spinal fluid	HP:0011972
Paroxysmal lethargy	HP:0011973
Paranoia	HP:0011999
EEG with generalized spikes	HP:0012000
EEG with generalised spikes	HP:0012000
EEG with generalised polyspikes	HP:0012001
EEG with generalized polyspikes	HP:0012001
Experiential auras	HP:0012002
Experiential aura	HP:0012002
Experiential epileptic aura	HP:0012002
Affective epileptic aura	HP:0012003
Affective aura	HP:0012003
Affective auras	HP:0012003
Emotional aura	HP:0012003
Focal cognitive seizure with deja vu/jamais vu	HP:0012004
Mnemonic aura	HP:0012004
Mnemonic auras	HP:0012004
Deja vu	HP:0012005
Deja vu aura	HP:0012005
Jamais vu	HP:0012006
Jamais vu aura	HP:0012006
Hallucinatory aura	HP:0012007
Hallucinatory auras	HP:0012007
Focal cognitive seizure with hallucination	HP:0012007
Illusory auras	HP:0012008
Focal cognitive seizure with illusion	HP:0012008
Illusory aura	HP:0012008
EEG with central focal spike waves	HP:0012009
EEG with frontal focal spike waves	HP:0012010
EEG with occipital focal spike waves	HP:0012011
EEG with parietal focal spike waves	HP:0012012
EEG with temporal focal spike waves	HP:0012013
EEG with central focal spikes	HP:0012014
EEG with frontal focal spikes	HP:0012015
EEG with occipital focal spikes	HP:0012016
EEG with parietal focal spikes	HP:0012017
EEG with temporal focal spikes	HP:0012018
Areflexia of upper limbs	HP:0012046
Cranial dystonia	HP:0012048
Oromandibular dystonia	HP:0012048
Spasmodic dysphonia	HP:0012049
Laryngeal dystonia	HP:0012049
Personality disorder	HP:0012075
Borderline personality disorder	HP:0012076
BPD	HP:0012076
Histrionic personality disorder	HP:0012077
Motor conduction block	HP:0012078
Abnormality of central motor conduction	HP:0012079
Cerebellar granular layer atrophy	HP:0012080
Enlarged cerebellum	HP:0012081
Cerebellar Purkinje layer atrophy	HP:0012082
Ubiquitin-positive cerebral inclusion bodies	HP:0012083
Intracranial epidermoid cyst	HP:0012096
Intracranial dermoid cyst	HP:0012097
Parietal cortical atrophy	HP:0012104
Occipital cortical atrophy	HP:0012105
Hypoplasia of the pons	HP:0012110
Pontine hypoplasia	HP:0012110
Basal ganglia necrosis	HP:0012128
Anhedonia	HP:0012154
Subcortical cerebral atrophy	HP:0012157
Asterixis	HP:0012164
Compulsive skin picking	HP:0012166
Dermatillomania	HP:0012166
Skin-picking	HP:0012166
Hair-pulling	HP:0012167
Trichotillomania	HP:0012167
Head-banging	HP:0012168
Self-biting	HP:0012169
Onychophagy	HP:0012170
Nail-biting	HP:0012170
Onychophagia	HP:0012170
Stereotypical hand wringing	HP:0012171
Stereotypical body rocking	HP:0012172
Postural tachycardia	HP:0012173
Orthostatic tachycardia	HP:0012173
Glioblastoma multiforme	HP:0012174
Glioblastoma	HP:0012174
Abnormal facial muscle tone	HP:0012179
Abnormal craniofacial muscle tone	HP:0012179
Abnormal craniofacial posture	HP:0012179
Craniofacial dystonia	HP:0012179
Facial Dystonia	HP:0012179
Distorted craniofacial posture	HP:0012179
Entrapment neuropathy	HP:0012181
Constrictive median neuropathy	HP:0012185
Carpal tunnel syndrome	HP:0012185
Entrapment neuropathy of the ulnar nerve at elbow	HP:0012186
Episodic hemiplegia	HP:0012194
Pancreatic insulinoma	HP:0012197
Insulinoma	HP:0012197
Cluster headache	HP:0012199
Entrapment neuropathy of suprascapular nerve	HP:0012216
Suprascapular nerve entrapment	HP:0012216
Tension-type headache	HP:0012228
Increased leukocyte count in CSF	HP:0012229
Cerebrospinal fluid pleocytosis	HP:0012229
CSF pleocytosis	HP:0012229
Oculomotor nerve palsy	HP:0012246
Oculomotor neuropathy	HP:0012246
Specific anosmia	HP:0012247
Abnormal hypothalamus physiology	HP:0012285
Abnormality of hypothalamus morphology	HP:0012286
Abnormality of the hypothalamus	HP:0012286
Abnormal hypothalamus morphology	HP:0012286
Abnormal shape of hypothalamus	HP:0012286
Hypothalamic luteinizing hormone-releasing hormone deficiency	HP:0012287
Herpes simplex encephalitis	HP:0012302
Herpes encephalitis	HP:0012302
Occipital neuralgia	HP:0012318
Sleep myoclonus	HP:0012323
Abnormal autonomic nervous system morphology	HP:0012331
Dysautonomia	HP:0012332
Abnormal autonomic nervous system physiology	HP:0012332
Autonomic dysregulation	HP:0012332
Autonomic dysfunction	HP:0012332
Sudomotor sympathetic dysfunction	HP:0012333
Abnormal sudomotor regulation	HP:0012333
Microprolactinoma	HP:0012341
Macroprolactinoma	HP:0012342
Hyporeflexia of upper limbs	HP:0012391
Jaw hyporeflexia	HP:0012392
Mandibular hyporeflexia	HP:0012392
Scissors gait	HP:0012407
Scissor gait	HP:0012407
Scissor walk	HP:0012407
Choroid plexus hypertrophy	HP:0012422
Villous hypertrophy of choroid plexus	HP:0012422
Diffuse villous hypertrophy of choroid plexus	HP:0012422
Absent/underdeveloped cerebral white matter	HP:0012429
Absent/small cerebral white matter	HP:0012429
Aplasia/Hypoplasia of the cerebral white matter	HP:0012429
Paucity of cerebral white matter	HP:0012430
Cerebral white matter hypoplasia	HP:0012430
Abnormal social behaviour	HP:0012433
Abnormal social interactions	HP:0012433
Abnormal social behavior	HP:0012433
Delayed social development	HP:0012434
Abnormality of brain morphology	HP:0012443
Abnormal shape of brain	HP:0012443
Abnormality of the brain	HP:0012443
Brain atrophy	HP:0012444
Brain degeneration	HP:0012444
Brain wasting	HP:0012444
Decreased CSF 5-methyltetrahydrofolate concentration	HP:0012446
Cerebral folate deficiency	HP:0012446
Reduced CSF 5-methyltetrahydrofolate concentration	HP:0012446
Low CSF 5-methyltetrahydrofolate	HP:0012446
Abnormal myelination	HP:0012447
Delayed myelination	HP:0012448
Restless legs syndrome	HP:0012452
Wittmaack-Ekbom syndrome	HP:0012452
Restless legs	HP:0012452
Willis-Ekbom disease	HP:0012452
Hypnic headache	HP:0012459
Alarm clock headache	HP:0012459
Dysmorphic inferior cerebellar vermis	HP:0012460
Chin spasms	HP:0012462
Chin myoclonus	HP:0012462
Geniospasm	HP:0012462
Infantile spasms	HP:0012469
Vocal tremor	HP:0012477
Shakey voice	HP:0012477
Abnormal cerebral vein morphology	HP:0012480
Abnormality of cerebral veins	HP:0012480
Developmental Venous Anomaly	HP:0012481
Cerebral venous angioma	HP:0012481
Frontal venous angioma	HP:0012482
Inflammation of spinal cord	HP:0012486
Myelitis	HP:0012486
Cerebellopontine angle arachnoid cyst	HP:0012487
Intraventricular arachnoid cyst	HP:0012488
Suprasellar arachnoid cyst	HP:0012489
Cerebral artery stenosis	HP:0012492
Narrowing of a cerebral artery	HP:0012492
Middle cerebral artery stenosis	HP:0012493
Anterior cerebral artery stenosis	HP:0012494
Posterior cerebral artery stenosis	HP:0012495
Abnormality of the brainstem white matter	HP:0012501
Abnormal brainstem white matter morphology	HP:0012501
Abnormality of the internal capsule	HP:0012502
disorder of pituitary gland	HP:0012503
Abnormality of the pituitary gland	HP:0012503
Abnormal size of pituitary gland	HP:0012504
Enlarged pituitary gland	HP:0012505
Small pituitary gland	HP:0012506
Extra-axial CSF accumulation	HP:0012510
Extra-axial cerebrospinal fluid accumulation	HP:0012510
Abnormal circle of Willis morphology	HP:0012518
Abnormality of the cerebral arterial circle	HP:0012518
Hypoplastic posterior communicating artery	HP:0012519
Hypoplastic posterior communicating arteries	HP:0012519
Dilation of Virchow-Robin spaces	HP:0012520
Dilated cerebral perivascular spaces	HP:0012520
Dilated Virchow-Robin spaces	HP:0012520
Perivascular spaces	HP:0012520
Oral aversion	HP:0012523
Dysesthesias	HP:0012534
Hyperalgesia	HP:0012534
Dysaesthesia	HP:0012534
Dysesthesia	HP:0012534
Hyperpathia	HP:0012534
Abnormal synaptic transmission	HP:0012535
Abnormality of neurotransmitter metabolism	HP:0012535
EEG with centrotemporal focal spike waves	HP:0012557
Abnormal nervous system physiology	HP:0012638
Abnormality of nervous system physiology	HP:0012638
Abnormality of nervous system morphology	HP:0012639
Abnormal shape of nervous system	HP:0012639
Abnormal nervous system morphology	HP:0012639
Abnormality of intracranial pressure	HP:0012640
Intracranial hypotension	HP:0012641
Decreased intracranial pressure	HP:0012641
Cerebellar agenesis	HP:0012642
Increased caudate lactate level	HP:0012644
Enlarged peripheral nerve	HP:0012645
Enlarged peripheral nerves	HP:0012645
Perisylvian polymicrogyria	HP:0012650
Frontoparietal polymicrogyria	HP:0012650
Abasia	HP:0012651
Abnormal CSF dopamine concentration	HP:0012654
Abnormal CSF dopamine level	HP:0012654
Elevated CSF dopamine concentration	HP:0012655
Reduced CSF dopamine concentration	HP:0012656
Abnormal brain PET scan	HP:0012657
Abnormal brain positron emission tomography	HP:0012657
Abnormal brain FDG positron emission tomography	HP:0012658
Abnormal brain FDG PET scan	HP:0012658
Prefrontal hypometabolism in FDG PET	HP:0012659
Thalamic hypometabolism in FDG PET	HP:0012660
Hypothalamic hypometabolism in FDG PET	HP:0012661
Parietal hypometabolism in FDG PET	HP:0012662
Abulia	HP:0012671
Aboulia	HP:0012671
Akinetic mutism	HP:0012672
Brain iron deposition	HP:0012675
Iron accumulation in brain	HP:0012675
Brain copper accumulation	HP:0012676
Copper accumulation in brain	HP:0012676
Iron accumulation in substantia nigra	HP:0012678
Abnormal pineal morphology	HP:0012681
Abnormality of pineal morphology	HP:0012681
Pineal gland calcification	HP:0012682
Pineal cyst	HP:0012683
Abnormal pineal volume	HP:0012684
Decreased pineal volume	HP:0012685
Increased pineal volume	HP:0012686
Agenesis of pineal gland	HP:0012687
Abnormality of pineal physiology	HP:0012688
Abnormal pineal melatonin secretion	HP:0012689
T2 hypointense thalamus	HP:0012690
Focal T2 hypointense thalamic lesion	HP:0012691
Focal T2 hyperintense thalamic lesion	HP:0012692
Abnormal thalamic size	HP:0012693
Enlarged thalamic volume	HP:0012694
Decreased thalamic volume	HP:0012695
Abnormal thalamic MRI signal intensity	HP:0012696
Small basal ganglia	HP:0012697
Cerebellar gliosis	HP:0012698
Abnormal subarachnoid space morphology	HP:0012703
Abnormality of the subarachnoid space	HP:0012703
Enlarged subarachnoid space	HP:0012704
Widened subarachnoid spaces	HP:0012704
Widened subarachnoid space	HP:0012704
Abnormal metabolic brain imaging by MRS	HP:0012705
Elevated brain choline level by MRS	HP:0012706
Elevated brain lactate level by MRS	HP:0012707
Reduced brain N-acetyl aspartate level by MRS	HP:0012708
Reduced brain N-acetyl aspartate level by magnetic resonance spectroscopy	HP:0012708
Abnormal brain choline/creatine ratio by MRS	HP:0012709
Ectopic anterior pituitary gland	HP:0012731
Psychomotor retardation, profound	HP:0012736
Profound global developmental delay	HP:0012736
Global developmental delay, profound	HP:0012736
Abnormal brainstem MRI signal intensity	HP:0012747
Focal T2 hyperintense brainstem lesion	HP:0012748
Focal T2 hypointense brainstem lesion	HP:0012749
T2 hypointense brainstem	HP:0012750
Abnormal basal ganglia MRI signal intensity	HP:0012751
Focal T2 hypointense basal ganglia lesion	HP:0012752
T2 hypointense basal ganglia	HP:0012753
CNS hypermyelination	HP:0012754
Enlarged brainstem	HP:0012755
CSF polymorphonuclear pleocytosis	HP:0012756
Abnormal neuronal morphology	HP:0012757
Abnormal neuron shape	HP:0012757
Abnormal neuron morphology	HP:0012757
Neurodevelopmental delay	HP:0012758
NDD	HP:0012758
Neurodevelopmental abnormality	HP:0012759
Impaired social reciprocity	HP:0012760
Cerebral white matter atrophy	HP:0012762
