Abnormality of body height	HP:0000002
Blotchy loss of skin colour	None
Blotchy loss of skin color	None
Vitiligo	None
Recurrent cutaneous abscess formation	None
Bluish around mouth	None
Circumoral cyanosis	None
Pilosity of elbow	None
Hairy elbow	None
Hairy elbow syndrome	None
Hypertrichosis cubiti	None
Elbow hypertrichosis	None
Macular telangiectasia	None
Juxtafoveal telangiectasia	None
Parafoveal telangiectasia	None
Mixed hypo- and hyperpigmentation of the skin	None
Hyperpigmented nodule	None
Hyaline bodies	None
Colloid bodies of Civatte	None
Civatte bodies	None
Colloid bodies	None
Cytoid bodies	None
Epidermal thickening	None
Abnormality of keratinization	None
Hyperpigmented macules	None
Hyperpigmented skin patches	None
Hyperpigmented spots	None
Hypermelanotic macule	None
Sawtoothed acanthosis	None
Sawtooth acanthosis	None
Blistering with suprabasal clefting	None
Suprabasal cleavage	None
Erysipelas	None
St. Anthony's Fire	None
Cutaneous angiolipomas	None
Nevus spilus	None
Speckled lentiginous Nevus	None
Postnatal-onset ichthyosiform erythroderma	None
Postnatal-onset ichthyosis	None
Palpable purpura	None
Acquired abnormal hair pattern	None
Long eyelashes in irregular rows	None
Thin nails	None
Thin nail	None
Parungual fibromas	None
Koenen tumour	None
Koenen's tumor	None
Koenen's tumour	None
Koenen tumor	None
Periungual fibroma	None
Ungual fibroma	None
Papulovesicular eruption	None
Papulo-vesicular eruption	None
Redundant skin folds of neck	None
Excessive nuchal skin	None
Excess skin over the neck	None
Redundant nuchal skin	None
Redundant neck skin	None
Excess neck skin	None
Redundant skin over the neck	None
Silver-gray hair color	None
Silvery-gray hair	None
Silver-gray hair	None
Silver-gray hair colour	None
Duplication of eyebrow	None
Double eyebrow	None
Absent keratohyalin granules	None
Progressive hyperpigmentation	None
Itchy eyes	None
Ocular itch	None
Ocular pruritus	None
Flaky paint dermatosis	None
Flaky paint skin appearance	None
Palmoplantar erythema	None
Hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes	None
Central nail canal	None
Median nail dystrophy	None
Contact dermatitis	None
Thin fingernail	None
Angioma serpentinum	None
Cutaneous osteosis	None
Osteoma cutis	None
Miliary osteoma	None
Osteomatosis	None
Congenital alopecia totalis	None
Mottled pigmentation of photoexposed areas	None
Plantar hyperkeratosis	None
Plantar hyperkeratoses	None
Hair-nail ectodermal dysplasia	None
Milia	None
Millium cyst	None
Milk spot	None
Pretibial myxedema	None
Graves dermopathy	None
Index finger dermatoglyphic radial loop	None
Thin hair shaft	None
Fine hair shaft	None
Fine hair texture	None
Thin hair	None
Thin hair texture	None
Fine hair	None
Thinned hair	None
Perifolliculitis	None
Perifollicular inflammation	None
Pruritis on breast	None
Monilethrix	None
Candida overgrowth syndrome	None
Chronic intestinal candidiasis	None
Exanthem	None
Occasional neurofibromas	None
Necrolytic migratory erythema	None
Prominent veins on trunk	None
Cyanotic episode	None
Redundant skin in infancy	None
Excess skin in infancy	None
Hyperpigmented/hypopigmented macules	None
Axillary freckling	None
Multiple lentigines	None
Liver spots	None
Skin pits	None
Skin pit	None
Oropharyngeal squamous cell carcinoma	None
Alopecia totalis	None
Total alopecia	None
Large clumps of pigment irregularly distributed along hair shaft	None
Oral cavity telangiectasia	None
Angioectasias of the mouth	None
Oral cavity teleangiectasia	None
Spider veins of the oral cavity	None
Spider veins of the mouth	None
Angioectasias of the oral cavity	None
Unusual dermatoglyphics	None
Decreased subcutaneous fat	None
Decreased subcutaneous adipose tissue	None
Reduced fat tissue below the skin	None
Reduced subcutaneous fat	None
Scanty adipose tissue	None
Reduced subcutaneous adipose tissue	None
Dermographism	None
Skin writing	None
Dermatographic urticaria	None
Dermatographism	None
Hyperconvex nail	None
Nail overcurvature	None
Increased nail curvature	None
Skin tags	None
Acrochorda	None
Absent dermoepidermal hemidesmosomes	None
Nail bed haemorrhage	None
Nail bed hemorrhage	None
Generalized hirsutism	None
Excessive hairiness over body	None
Generalised hirsutism	None
Linear C3 deposits along the epidermal basement membrane zone	None
Pruritus	None
Itching	None
Skin itching	None
Itchy skin	None
Angiokeratoma	None
Angiokeratomas	None
Hyperpigmented lesion	None
Skin hyperpigmentation	None
Patchy darkened skin	None
Cutaneous hyperpigmentation	None
Melanoderma	None
Increased skin pigmentation	None
Hyperpigmentation of the skin	None
Melanodermia	None
Absent axillary hair	None
Red scaly skin caused by inflammatory skin disease	None
Generalised erythrodermia	None
Generalized erythrodermia	None
Exfoliative dermititis	None
Generalised erythroderma	None
Erythroderma	None
Generalized erythroderma	None
Wide fingernails	None
Broad fingernails	None
Broad nail	None
Pilomatrixoma	None
Aplasia cutis congenita over posterior parietal area	None
Thickened elastic fibers in the dermis	None
Thickened elastic fibres in the dermis	None
Hyperkeratosis, generalized	None
Hyperkeratosis, generalised	None
Generalised hyperkeratosis	None
Generalized hyperkeratosis	None
Crusting erythematous dermatitis	None
Cutaneous infections	None
Recurrent skin infections	None
Skin infections, recurrent	None
Irregular hyperpigmentation	None
Yellow papule	None
Yellow-orange papule	None
Clumping of elastic fibres in the dermis	None
Clumping of elastic fibers in the dermis	None
Xanthelasma palpebrarum	None
Xanthoma of eyelid	None
Xanthoma	None
Xanthoma of periocular region	None
Xanthelasma	None
Fatty deposits in skin around the eyes	None
Xanthelasma of eyelid	None
Fatty deposits on eyelids	None
Xanthelasma of periocular region	None
Chilblains	None
Chilblain lesions	None
Congenital partial albinism on face, trunk, or limbs	None
Partial albinism	None
Congenital partial leucoderma	None
Partial absent skin pigmentation	None
Neutrophilic urticarial dermatosis	None
Redundant, wrinkled skin of palms	None
Excessive wrinkling of palmar skin	None
Nevus roseus	None
Abnormal cutaneous collagen fibril morphology	None
Cutaneous melanoma	None
Longitudinally grooved fingernails	None
Ridged fingernail	None
Ridged fingernails	None
Ear pit	None
Preauricular earpits	None
Preauricular pits	None
Pit in front of the ear	None
Preauricular fistulas	None
Preauricular sinus	None
Preauricular pit	None
Reticulate skin pigmentation	None
Reticular pigmentation pattern	None
Reticulated skin pigmentation	None
Pseudo-chilblain	None
Chilblain-like lesion	None
Universal alopecia	None
Alopecia universalis	None
Alopecia, complete	None
Absent eyelashes	None
Atrichia of eyelashes	None
Aplasia of eyelashes	None
Failure of development of eyelashes	None
Agenesis of eyelashes	None
Hyperpigmented streaks	None
Fracture blister	None
Elevated dermal desmosine content	None
Telangiectasia of the ear	None
Subcutaneous neurofibromas	None
Blistering by histological location	None
Detachment of outermost fingernails	None
Onycholysis of distal fingernails	None
Anhidrotic ectodermal dysplasia	None
Ingrown nail	None
Alopecia areata	None
Patchy baldness	None
Patchy alopecia	None
Eruptive vellus hair cyst	None
Depigmented eyelashes	None
Blonde eyelashes	None
Pale eyelashes	None
Grey eyelashes	None
White eyelashes	None
Trichoschisis	None
Prominent veins	None
Marked subcutaneous veins	None
Prominent superficial veins	None
Dense eyebrow	None
Prominent eyebrows	None
Thick eyebrow	None
Bushy eyebrows	None
Heavy eyebrows	None
Hypertrichosis of the eyebrow	None
Hypertrichosis of the eyebrows	None
Thick eyebrows	None
Acantholysis	None
Nikolsky's sign	None
Dermatomegaly	None
Elastolysis	None
Generalized elastolysis	None
Skin laxity	None
Cutaneous laxity	None
Inelastic skin	None
Cutis laxa	None
Dermatochalasia	None
Generalised elastolysis	None
Chalazoderma	None
Hanging skin	None
Loose skin	None
Loose and inelastic skin	None
Lax skin	None
Hypoelastic skin	None
Skin vesicle	None
Skin nodule	None
Growth of abnormal tissue on or under the skin	None
Hypertrophy of skin of soles	None
Thick skin of soles	None
Chloasma	None
Facial melanosis	None
Melasma	None
Stiff skin	None
Indurated skin	None
Abnormal elasticity of skin	None
Premature aged appearance	None
Wizened face	None
Aged facial appearance	None
Progeroid facial appearance	None
Prematurely aged facial appearance	None
Prematurely aged face	None
Ciliary trichomegaly of lower eyelashes	None
Long lower eyelashes	None
Increased length of lower eyelashes	None
Abnormality of chromosome condensation	None
Increased anti-plant product IgE antibody level	None
Decreased immunoglobulin level in body fluid	None
Increased anti-animal dander IgE antibody level	None
Increased level of anti-dander IgE antibody	None
Antigen-specific T cell proliferation defect	None
Reduced antigen-specific T cell proliferation	None
Impaired cellular adaptive immune response	None
Impaired Ag-specific T cell proliferation	None
Impaired activated T cell proliferation	None
Decreased lymphocyte apoptosis	None
Defective lymphocyte apoptosis	None
Cardiomyocyte hypertrophy	None
Myocyte cellular hypertrophy	None
Decreased FasL-mediated apoptosis	None
Agammaglobulinaemia	None
Agammaglobulinemia	None
Abnormal oocyte morphology	None
Increased activity of mitochondrial respiratory chain	None
Chronic (near) absent IgM in blood	None
Chronic absent circulating IgD	None
Elevated immunoglobulin levels	None
Raised immunoglobulin levels	None
Increased immunoglobulin level	None
Increased serum gamma globulin	None
Increased gamma globulin	None
Hypergammaglobulinemia	None
Hypergammaglobulinaemia	None
Increased antibody level in blood	None
Increased circulating antibody level	None
Hyperglobulinemia	None
Abnormal mitochondrial number	None
Abnormality of lysosomal metabolism	None
Increased anti-venom IgE antibody level	None
Increased circulating IgM level	None
Increased IgM levels	None
Increased levels of IgM	None
Decreased specific antibody response to infection	None
Rectilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Rectilinear profiles ultrastructurally	None
Oligoclonal elevation of circulating IgA	None
Abnormal serum immunoglobulin concentration	None
Abnormal immunoglobulin concentration	None
Abnormal immunoglobulin level	None
Abnormal serum immunoglobulin levels	None
Abnormal serum level of immunoglobulin	None
Immunoglobulin abnormality	None
Increased hepatitis A virus antibody level	None
Premature chromatid separation	None
Prolonged G2 phase of cell cycle	None
Abnormal lymphocyte physiology	None
Chronic decreased IgM in blood	None
Chronic decreased circulating IgD	None
Chronic decreased circulating IgG1	None
Chronic decreased IgG1 in blood	None
Reduced granulocyte CD18 level	None
Increased rate of premature chromosome condensation	None
Chronic partially decreased IgG2 in blood	None
Chronic partially decreased circulating IgG2	None
Intranuclear cardiomyocyte mitochondria	None
Complete or near-complete absence of specific antibody response to hepatitis B vaccine	None
Deficiency or absence of cytochrome b	None
Deficiency or absence of cytochrome b(-245)	None
Abnormality of T cell physiology	None
Decreased specific antibody response to polysaccharide vaccine	None
Perivascular pseudorosette	None
Increased levels of IgD	None
Increased serum IgD	None
Elevated serum IgD	None
Increased circulating IgD level	None
IgD hypergammaglobulinemia	None
Increased IgD level	None
Elevated IgD	None
IgG heavy chain paraproteinemia	None
Gamma heavy-chain disease	None
Increased level of anti-seafood IgE antibody	None
Increased anti-seafood IgE antibody level	None
Abnormal cell proliferation	None
Absent Birbeck granules in Langerhans cells	None
Cellular hypersensitivity to mitomycin C	None
IgM heavy chain paraproteinemia	None
Increased oocyte death	None
Cellular hypersensitivity to diepoxybutane	None
Homer Wright rosette	None
Abnormal cardiomyocyte morphology	None
Abnormal cardiac muscle cell morphology	None
Abnormal telomere morphology	None
Reduced fibroblast surface marker level	None
Abnormal cardiomyocyte plakoglobin staining	None
Mitochondrial respiratory chain defects	None
Abnormal level of natural antibody to blood group agents	None
Abnormal isohemagglutinin level	None
Abnormal natural antibody level to blood group antigens in blood (isohemagglutinin)	None
Reduced fibroblast CD59 level	None
Panhypogammaglobulinaemia	None
Panypogammaglobulinemia	None
Panhypogammaglobulinemia	None
Decreased activity of the pyruvate dehydrogenase complex	None
Decreased activity of the PDH complex	None
Pyruvate dehydrogenase complex deficiency	None
Chronic (near) absent circulating IgG3	None
Chronic (near) absent IgG3 in blood	None
Decreased plasma free carnitine	None
Partial absence of specific antibody response to meningococcus vaccine	None
Decreased IgG subclass level in blood	None
Decreased circulating IgG subclass level	None
Chronic absent circulating IgE	None
Chronic (near) absent IgE in blood	None
Abnormal activity of mitochondrial respiratory chain	None
Chronic absent circulating total IgG	None
Chronic (near) absent total IgG in blood	None
Increased anti-animal protein IgE antibody level	None
Increased level of anti-animal protein IgE antibody	None
Abnormal cellular physiology	None
Abnormality of cell physiology	None
Defective B cell activation	None
Intracellular accumulation of autofluorescent lipopigment storage material	None
Chromosomal breakage induced by crosslinking agents	None
Chromosomal breakage induced by diepoxybutane	None
Chromosomal breakage induced by mitomycin C	None
Electron transfer flavoprotein-ubiquinone oxidoreductase defect	None
Abnormal CD25 upregulation upon TCR activation	None
Increased level of antigen-precipitating IgG antibodies	None
Increased circulating precipitin level	None
Chronic partially decreased circulating IgG4	None
Chronic partially decreased IgG4 in blood	None
Increased hepatitis B virus antibody level	None
Oligoclonal T cell expansion	None
Abnormal lysosomal morphology	None
Increased hepatitis C virus antibody level	None
High immunoglobulin E	None
Elevated immunoglobulin E	None
Elevated serum IgE	None
Increased circulating IgE level	None
Decreased specific anti-polysaccharide antibody level	None
Low specific anti-polysaccharide antibody titer	None
Depressed antibody response to polysaccharide antigens	None
Specific anti-polysaccharide antibody deficiency	None
Transient decreased circulating IgA	None
Abnormality of redox activity	None
Increased circulating IgG2 level	None
Decreased CD69 upregulation upon TCR activation	None
IgM deficiency	None
Decreased IgM	None
Decreased IgM level	None
Decreased circulating total IgM	None
Reduced IgM levels	None
Abnormal circulating IgM level	None
Abnormal IgM level in blood	None
Abnormal circulating IgE level	None
Abnormal IgE level in blood	None
Abnormal CD69 upregulation upon TCR activation	None
Transient decreased circulating IgG3	None
Transient decreased IgG3 in blood	None
Decreased specific antibody response to vaccination	None
Defective B cell differentiation	None
Increased anti-feather IgE antibody level	None
Reduced fibroblast CD55 level	None
Polyclonal elevation of circulating IgE	None
Oligoclonal elevation of circulating IgM	None
Polyclonal elevation of circulating IgA	None
Decreased serum IgG	None
Decreased circulating IgG level	None
Decreased IgG level in blood	None
Decreased IgG level	None
IgG deficiency	None
Reduced IgG levels	None
Decreased gamma-globin expression	None
Decreased immunoglobulin G	None
Increased anti-nut food product IgE antibody level	None
Cardiac biopsy: myocyte disarray	None
Myocardial sarcomeric disarray	None
Myocardial sarcomere disarray	None
Cardiomyocyte disarray	None
Increased IgG level	None
Increased total IgG in blood	None
Increased circulating IgG level	None
Increased levels of IgG	None
Increased anti-galactose-alpha-1, 3 galactose IgE antibody level	None
Increased anti-alpha-gal IgE antibody level	None
Increased intracellular Na+ levels	None
High intracellular Na	None
Increased intracellular sodium	None
Decreased IgG1 level in blood	None
Decreased circulating IgG1 level	None
Chronic decreased cirulating IgG2	None
Chronic decreased IgG2 in blood	None
Impaired T cell function	None
T-cell dysfunction	None
Increased cellular radiosensitivity	None
Chromosomal breakage induced by ionizing radiation	None
Chromosomal breakage induced by ionising radiation	None
Radiation-induced chromosome instability	None
Increased level of anti-dust mite IgE antibody	None
Increased anti-dust mite IgE antibody level	None
Deficiency of N-acetylglucosamine-1-phosphotransferase	None
Decreased circulating level of specific antibody	None
Abnormal specific antibody response	None
Decreased specific antibody in blood	None
Specific antibody deficiency	None
Abnormal immunoglobulin level in body fluid	None
Light-chain paraproteinemia	None
Polyclonal elevation of IgM	None
Increased susceptibility to spontaneous sister chromatid exchange	None
Zebra bodies	None
Chronic decreased IgG4 in blood	None
Chronic decreased circulating IgG4	None
True ependymal rosette	None
Abnormal circulating IgD level	None
Abnormal IgD level in blood	None
Increased anti-food allergen IgE antibody level	None
Increased level of anti-food allergen IgE antibody	None
Transient decreased circulating IgG4	None
Transient decreased IgG4 in blood	None
Chromosome breakage	None
Increased chromosomal breakage rate	None
High frequency of chromosome breaks in lymphocytes	None
Tendency to chromosomal breakage	None
Multiple chromosomal breaks	None
Increased chromosomal breakage	None
Chronic (near) absent circulating IgG4	None
Chronic (near) absent IgG4 in blood	None
Intracellular accumulation of Dol-PP-GlcNAc2Man5	None
Mitochondrial swelling	None
Mitochondrial propionyl-CoA carboxylase defect	None
Mitochondrial PCC defect	None
Chronic decreased circulating total IgG	None
Chronic decreased total IgG in blood	None
Increased anti-meat allergen IgE antibody level	None
Abnormal chromosome morphology	None
Increased level of anti-bacteria IgE antibody	None
Increased anti-bacteria IgE antibody level	None
Increased lymphocyte apoptosis	None
Increased anti-insect IgE antibody level	None
Chronic partially decreased circulating IgG3	None
Chronic partially decreased IgG3 in blood	None
Immunoglobulin IgG2 deficiency	None
Reduced IgG2 levels	None
Decreased circulating IgG2 level	None
Decreased IgG2 level in blood	None
Folate-dependent fragile site at Xq28	None
Abnormal T-cell activation	None
Abnormal T-lymphocyte activation	None
Abnormal T cell activation	None
Abnormal T lymphocyte activation	None
Reduced granulocyte CD55 level	None
IgA deficiency	None
Decreased immunoglobulin A	None
Decreased IgA	None
Reduced IgA levels	None
Low levels of immunoglobulin A	None
Decreased circulating IgA level	None
Gamma-A globulin deficiency	None
Transient decreased circulating total IgG	None
Abnormal T cell proliferation	None
Oligoclonal elevation of circulating IgE	None
Increased circulating IgG4 level	None
Increased circulating IgG1 level	None
Partial absence of specific antibody response to tetanus vaccine	None
Monoclonal hypergammaglobulinemia	None
Paraproteinemia	None
Increased circulating IgG subclass	None
Decreased natural antibody to blood group agents	None
Partial absence of isohemagglutinins	None
Reduced isohemagglutinin level	None
Megamitochondria	None
Mitochondrial hypertrophy	None
Abnormal mitochondrion morphology	None
Abnormal mitochondrial morphology	None
Reduced granulocyte CD59 level	None
Thin zona pellucida	None
Partial absence of specific antibody response to hepatitis B vaccine	None
Reduced reactive oxygen species production in neutrophils	None
Monoclonal elevation of IgG kappa chain	None
Monoclonal elevation of IgG	None
Deficiency of delayed skin hypersensitivity	None
Decreased reactivity to skin test antigens	None
Impaired delayed hypersensitivity	None
Reduced delayed hypersensitivity	None
Abnormal IgG level in blood	None
Abnormal circulating IgG level	None
Decreased circulating IgD	None
Decreased IgD	None
Decreased IgD in blood	None
IgD deficiency	None
Acid phosphatase elevated	None
Elevated serum acid phosphatase	None
Monoclonal elevation of IgG lambda chain	None
Monoclonal elevation of intact IgG	None
Curvilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Curvilinear profiles ultrastructurally	None
Curvilinear profiles ultrastructurally in cells	None
Intracellular curvilinear profiles on ultrastructural analysis	None
Granular osmiophilic deposits (GROD) in cells	None
Cardiomyocyte mitochondrial proliferation	None
Monoclonal elevation of IgG heavy chain	None
Partial IgA deficiency	None
Increased circulating specific IgE antibody	None
Reduced granulocyte surface marker level	None
Decreased activity of mitochondrial complex IV	None
Respiratory complex IV deficiency	None
Defective T cell proliferation	None
Increased mitochondrial number	None
Defective T cell activation	None
Decreased T-lymphocyte activation	None
Decreased T-cell activation	None
Decreased T lymphocyte activation	None
Decreased T cell activation	None
Profound depletion of T4+ lymphocytes	None
Complete or near-complete absence of isohemagglutinins	None
Absent isohemagglutinin level	None
Absent natural antibody to blood group agents	None
Reduced natural killer cell activity	None
Short telomere length	None
Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	None
Increased cellular sensitivity to UV light	None
Abnormal mitochondrial shape	None
Chronic partially decreased IgG1 in blood	None
Chronic partially decreased circulating IgG1	None
Mitochondrial lysine transport defect	None
Abnormal zona pellucida morphology	None
Decreased CD25 upregulation upon TCR activation	None
Reduced IL2RA upregulation upon TCR activation	None
Poor CD25 upregulation upon TCR activation	None
Hypogammaglobulinemia	None
Decreased antibody level in blood	None
Decreased serum immunoglobulin	None
Reduced immunoglobulin levels	None
Immunoglobulin deficiency	None
Decreased immunoglobulin level	None
Decreased circulating antibody level	None
Monoclonal elevation of IgG light chain	None
Specific pneumococcal antibody deficiency	None
Decreased specific pneumococcal antibody level	None
Low pneumococcal antibody titer	None
Mitochondrial dysfunction	None
Abnormality of mitochondrial metabolism	None
Absence of delayed hypersensitivity skin test	None
Lack of delayed skin hypersensitivity reaction	None
Cutaneous anergy	None
Defective lymphocyte proliferation to anti-CD3	None
Decreased lymphocyte proliferation in response to anti-CD3	None
Defective proliferation of lymphocytes following anti-CD3 stimulation	None
Transient decreaseed IgD in blood	None
Transient decreased circulating IgD	None
Increased anti-fungus IgE antibody level	None
Increased anti-fungal IgE antibody level	None
Increased anti-fungi IgE antibody level	None
Lipogranulomatosis	None
Dysgammaglobulinemia	None
Abnormal IgA level in blood	None
Abnormal circulating IgA level	None
Abnormal iron deposition in mitochondria	None
Abnormal lymphocyte proliferation	None
Abnormality of chromosome stability	None
Abnormal cardiomyocyte mitochondrial morphology	None
Flexner-Wintersteiner rosette	None
Abnormality of DNA repair	None
Defective interstrand cross-link repair	None
Increased ROS production	None
Increased reactive oxygen species production	None
Oxidative stress	None
Reduced fibroblast CD16 level	None
Fibroblast metachromasia	None
Decreased specific antibody response to protein vaccine	None
Abnormal delayed hypersensitivity skin test	None
Lung hypoplasia	None
Poorly developed lungs	None
Small lung	None
Pulmonary hypoplasia	None
Underdeveloped lung	None
Hypoplastic lung	None
Hypoplastic lungs	None
Intermittent episodes of respiratory insufficiency due to muscle weakness	None
Single-lobed right lung	None
Pneumonia	None
Increased KCO	None
Abnormal pulmonary alveolar system development	None
Abnormal breath sound	None
Abnormal lung auscultation finding	None
Extrapulmonary sequestrum	None
Diaphragmatic sequestrum	None
Transient pulmonary infiltrates	None
Spot on the lung	None
Pulmonary nodule	None
Unilateral primary pulmonary dysgenesis	None
Primary pulmonary dysgenesis, unilateral	None
Mosaic pulmonary attenuation pattern	None
Horseshoe lung	None
Abnormal size of nasopharyngeal adenoids	None
Pulmonary artery sling	None
Crackles	None
Rales	None
Crepitations	None
Signet ring sign	None
Abnormal epiglottis morphology	None
Abnormality of the epiglottis	None
Pneumothorax	None
Collapsed lung	None
Scleroderma of lung	None
Bilateral basilar pulmonary fibrosis	None
Scleroderma lung disease	None
Lung disease with systemic sclerosis	None
Pulmonary cavity	None
Pulmonary cavern	None
Wet lung	None
Pulmonary edema	None
Lung edema	None
Pulmonary oedema	None
Excess fluid in lungs	None
Lung oedema	None
Hyperplasia of frontal sinus	None
Increased size of frontal sinus	None
Hypertrophy of frontal sinus	None
Large frontal sinus	None
Prominent frontal sinuses	None
Increased volume of frontal sinus	None
Reduced functional residual capacity	None
Large cell lung carcinoma	None
Sinusitis, recurrent	None
Recurrent sinusitis	None
Recurrent sinus disease	None
Acute sinusitis	None
Pleural mass	None
Elevated RV	None
Elevated residual volume	None
Laryngeal stenosis	None
Reticulonodular pattern on pulmonary HRCT	None
Nodular septal thickening on pulmonary HRCT	None
Absent/hypoplastic paranasal sinuses	None
Bronchopulmonary sequestration	None
Bronchial cartilage hypoplasia	None
Underdevelopment of the bronical cartilage	None
Abnormality of lower pharynx	None
Abnormality of hypopharynx	None
Abnormal hypopharynx morphology	None
Abnormal pulmonary fissure architecture	None
Lipid-laden macrophages in bronchoalveolar fluid	None
Bilobed right lung	None
Endogenous lipoid pneumonia	None
Pulmonary mass	None
Partial anomalous pulmonary venous connection	None
Partial anomalous pulmonary venous return	None
Interstitial emphysema	None
Bronchial diverticula	None
Abnormal pharynx morphology	None
Pleural cobblestoning	None
Posterior pharyngeal cleft	None
Dry cough	None
Dry coughing	None
Nonproductive cough	None
Abnormal nasopharyngeal adenoid morphology	None
Abnormality of pharyngeal tonsil	None
Abnormality of nasopharyngeal tonsil	None
Abnormality of nasopharyngeal adenoids	None
Abnormality of adenoids	None
Increased airway neuroepithelial bodies	None
Abnormality of the nasopharynx	None
Abnormal nasopharynx morphology	None
Nocturnal hypoxemia	None
Sleep-related hypoxemia	None
Sleep hypoxemia	None
Tracheobronchomalacia	None
Developmental pulmonary anomaly	None
Abnormal lung development	None
Recurrent bacterial URI	None
Recurrent bacterial upper respiratory tract infections	None
Respiratory function loss	None
Respiratory impairment	None
Respiratory insufficiency	None
peripheral pulmonary stenosis	None
Peripheral pulmonary artery stenosis	None
Peripheral pulmonic stenosis	None
Narrowing of peripheral lung artery	None
Reduced TLC	None
Reduced total lung capacity	None
Reticular pattern on pulmonary HRCT	None
Hyaline membranes	None
Pulmonary interstitial lymphocyte infiltration	None
Pulmonary paraglioma	None
Perivascular pre-capillary pulmonary artery inflammation	None
Perivascular inflammation of arterioles in the pulmonary circulation	None
Perivascular inflammation of pre-capillary pulmonary arteries	None
Bronchodysplasia	None
Tracheobronchial anomalies	None
Abnormal tracheobronchial morphology	None
Pleural rub	None
Pulmonary opacity	None
Expiratory air trapping	None
Absent pulmonary artery	None
Absent lung artery	None
Missing pulmonary artery	None
Folded lung syndrome	None
Comet tail sign	None
Rounded atelectasis	None
Helical atelectasis	None
Pleural pseudotumor	None
Pleuroma	None
Blesovsky syndrome	None
Noisy breathing	None
Stridor	None
Cardiorespiratory arrest	None
Bronchocentric granulomatosis	None
Hyperdense pulmonary mass	None
Decreased pre-bronchodilator forced vital capacity	None
Decreased prebronchodilator forced vital capacity	None
Decreased pre bronchodilator forced vital capacity	None
Subsolid pulmonary nodule	None
Anterior mediastinal mass	None
Anomalous pulmonary venous return	None
Recurrent viral pneumonia	None
Inferior mediastinal mass	None
Fibrocystic lung disease	None
Traction bronchiolectasis	None
Abnormal cellular composition of bronchoalveolar fluid	None
Abnormal cell differential of broncho-alveolar fluid	None
Interstitial pneumonitis	None
Abnormal blood gas level	None
Usual interstitial pneumonia	None
Expiratory crackles	None
Beaded septum sign	None
Cellular non-specific interstitial pneumonia	None
Pleural effusion	None
Fluid around lungs	None
Pulmonary artery vasoconstriction	None
Pulmonary granulomatosis	None
Pharyngeal neoplasm	None
Tumour of the pharynx	None
Neoplasm of the pharynx	None
Tumor of the pharynx	None
Neoplasia of the pharynx	None
Platypnea	None
Wet cough	None
Cough with mucus production	None
Productive cough	None
Type II pneumocyte hypertrophy	None
Hypertrophic alveolar type II pneumocytes	None
Hypertrophic alveolar type II cells	None
Lung infiltrates	None
Pulmonary infiltrates	None
Pulmonic infiltration	None
Acute infectious pneumonia	None
Pulmonary hemangiomas	None
Pulmonary capillary hemangiomatosis	None
Pseudocroup	None
Viral croup	None
Subglottic laryngitis	None
Spasmodic croup	None
Laryngitis	None
Croup	None
Exudative pleural effusion	None
Abnormal respiratory motile cilium morphology	None
Filling of the alveoli with alveolar macrophages	None
Filling of the alveoli with desquamated epithelial cells	None
Desquamative interstitial pneumonitis	None
Intra-alveolar accumulation of macrophages	None
Decreased postbronchodilator forced expiratory flow 25-75%	None
Decreased post-bronchodilator FEF25-75%	None
Decreased post-bronchodilator forced expiratory flow 25-75%	None
Decreased post bronchodilator forced expiratory flow 25-75%	None
Pleural incrassation	None
Pleural thickening	None
Tracheal calcifications	None
Calcification of the trachea	None
Tracheal ectopic calcification	None
Tracheal calcification	None
Agenesis of ethmoid sinuses	None
Missing ethmoid sinuses	None
Absent ethmoidal sinuses	None
Failure of development of ethmoid sinuses	None
Inspiratory crackles	None
Subpleural honeycombing	None
Hyperinflation on pulmonary function test	None
Elevated RV/TLC ratio	None
Overinflation on pulmonary function test	None
Transudative pleural effusion	None
Acellular airway casts	None
Mucin casts	None
Type II airway casts	None
Pulmonary emphysema	None
Emphysema	None
Wheezing	None
Abnormal cricoid cartilage morphology	None
Abnormality of cricoid cartilage	None
Abnormal anterior cricoarytenoid muscle morphology	None
Abnormality of lateral crico-arytenoid	None
Abnormality of lateral cricoarytenoid muscle	None
Abnormal lateral cricoarytenoid muscle morphology	None
Bronchial breath sound	None
Abnormality of lung structure	None
Abnormality of the lungs	None
Abnormally shaped lung	None
Abnormal lung morphology	None
Lung disease	None
Unusal lung shape	None
Milky appearance of bronchoalveolar lavage fluid	None
Irregular respiratory rhythm	None
Irregular respiration	None
Apneic episodes in infancy	None
Bowing of the vocal cords	None
Central apnoea	None
Central apnea	None
Peribronchial cuffing	None
Bronchial wall thickening	None
Peribronchial thickening	None
Extralobar sequestration	None
Tracheal tug on inspiration	None
Mucus plug	None
Pharyngeal exudate	None
Pharyngeal fluid	None
Fluid from the pharynx	None
Recurrent aspiration pneumonia	None
Recurrent pneumonia due to aspiration,	None
Seal-like barking cough	None
Barking cough	None
Pulmonary artery intimal thickening	None
Laryngeal calcification	None
Laryngeal calcifications	None
Chronic sinus disease	None
Sinusitis, chronic	None
Chronic sinusitis	None
Bronchiolitis obliterans	None
Obliterative bronchiolitis	None
