Pneumomediastinum	HP:0025421
Eczematoid dermatitis	None
Small fingernail	None
Underdeveloped fingernail	None
Hypoplastic fingernail	None
Numerous moles	None
Numerous nevi	None
Multiple pigmented nevi	None
Excessive skin wrinkling on back of hands and fingers	None
Excessive skin wrinkling on dorsum of hands and fingers	None
Decreased sweating due to autonomic dysfunction	None
Nevus comedonicus	None
Loss of hair colour	None
Hypopigmentation of hair	None
Loss of hair color	None
Hair hypopigmentation	None
Linear hyperpigmentation	None
Itchy palm	None
Palmar pruritus	None
Abnormal fingerprints	None
Abnormal dermatoglyphics	None
Dermatoglyphic abnormalities	None
Axillary apocrine gland hypoplasia	None
Generalized hypotrichosis	None
Generalised hypotrichosis	None
Hypotrichosis, generalised	None
Hypotrichosis, generalized	None
Increased anti-nut food product IgE antibody level	None
Increased anti-gluten IgE antibody level	None
Increased level of anti-gluten IgE antibody	None
Absence of delayed hypersensitivity skin test	None
Lack of delayed skin hypersensitivity reaction	None
Cutaneous anergy	None
Chronic partially decreased IgG1 in blood	None
Chronic partially decreased circulating IgG1	None
Chronic (near) absent circulating IgG1	None
Chronic (near) absent IgG1 in blood	None
Chronic partially decreased IgG2 in blood	None
Chronic partially decreased circulating IgG2	None
Monoclonal elevation of circulating IgE	None
Increased ROS production	None
Increased reactive oxygen species production	None
Oxidative stress	None
Abnormal T cell proliferation	None
Increased circulating IgG1 level	None
Cardiomyocyte degeneration	None
Abnormality of mucopolysaccharide metabolism	None
Partial absence of specific antibody response to hepatitis B vaccine	None
Decreased specific antibody response to vaccination	None
Mitochondrial swelling	None
Abnormal lysosomal morphology	None
Abnormal IgA level in blood	None
Abnormal circulating IgA level	None
Light-chain paraproteinemia	None
Premature chromatid separation	None
Folate-dependent fragile site at Xq28	None
Mitochondrial respiratory chain defects	None
Partial absence of specific antibody response to meningococcus vaccine	None
Abnormal delayed hypersensitivity skin test	None
Premature separation of centromeric heterochromatin	None
Increased intracellular Na+ levels	None
High intracellular Na	None
Increased intracellular sodium	None
Defective interstrand cross-link repair	None
Increased level of antigen-precipitating IgG antibodies	None
Increased circulating precipitin level	None
Decreased IgG1 level in blood	None
Decreased circulating IgG1 level	None
Decreased CD25 upregulation upon TCR activation	None
Reduced IL2RA upregulation upon TCR activation	None
Poor CD25 upregulation upon TCR activation	None
Increased mitochondrial number	None
Decreased plasma free carnitine	None
Oligoclonal elevation of circulating IgG	None
IgE deficiency	None
Decreased IgE	None
Decreased circulating IgE	None
Increased sensitivity to ionising radiation	None
Increased sensitivity to ionizing radiation	None
Decreased FasL-mediated apoptosis	None
Decreased lymphocyte proliferation in response to mitogen	None
Reduced lymphocyte proliferation to mitogen	None
Mitochondrial depletion	None
True ependymal rosette	None
Monoclonal elevation of IgG light chain	None
Decreased lymphocyte apoptosis	None
Defective lymphocyte apoptosis	None
Abnormal distribution of cell junction proteins in buccal mucosal cells	None
Abnormal cardiomyocyte morphology	None
Abnormal cardiac muscle cell morphology	None
Chronic partially decreased circulating IgG3	None
Chronic partially decreased IgG3 in blood	None
Increased IgG level	None
Increased total IgG in blood	None
Increased circulating IgG level	None
Increased levels of IgG	None
Impaired memory B cell generation	None
Megamitochondria	None
Mitochondrial hypertrophy	None
Abnormal lymphocyte proliferation	None
Transient decreased circulating IgG3	None
Transient decreased IgG3 in blood	None
Increased hepatitis B virus antibody level	None
Transient decreased circulating IgG1	None
Transient decreased IgG1 in blood	None
Decreased specific antibody response to polysaccharide vaccine	None
Monoclonal elevation of circulating IgA	None
Panhypogammaglobulinaemia	None
Panypogammaglobulinemia	None
Panhypogammaglobulinemia	None
Abnormal activity of mitochondrial respiratory chain	None
Chromosome breakage	None
Increased chromosomal breakage rate	None
High frequency of chromosome breaks in lymphocytes	None
Tendency to chromosomal breakage	None
Multiple chromosomal breaks	None
Increased chromosomal breakage	None
Deficiency or absence of cytochrome b	None
Deficiency or absence of cytochrome b(-245)	None
Abnormal cellular physiology	None
Abnormality of cell physiology	None
Cellular hypersensitivity to mitomycin C	None
Secretory IgA deficiency	None
Increased level of anti-plant based food allergen IgE antibody	None
Increased anti-plant based food allergen IgE antibody level	None
IgM heavy chain paraproteinemia	None
Decreased activity of mitochondrial complex IV	None
Respiratory complex IV deficiency	None
Oligoclonal elevation of circulating IgE	None
Reduced granulocyte CD55 level	None
Decreased serum IgG	None
Decreased circulating IgG level	None
Decreased IgG level in blood	None
Decreased IgG level	None
IgG deficiency	None
Reduced IgG levels	None
Decreased gamma-globin expression	None
Decreased immunoglobulin G	None
Increased anti-food allergen IgE antibody level	None
Increased level of anti-food allergen IgE antibody	None
Abnormal serum immunoglobulin concentration	None
Abnormal immunoglobulin concentration	None
Abnormal immunoglobulin level	None
Abnormal serum immunoglobulin levels	None
Abnormal serum level of immunoglobulin	None
Immunoglobulin abnormality	None
Abnormal cellular phenotype	None
Mitochondrial abnormalities	None
Abnormality of the mitochondrion	None
Abnormality of the cell cycle	None
Abnormal CD69 upregulation upon TCR activation	None
Decreased mitochondrial malic enzyme	None
Mitochondrial malic enzyme reduced	None
Deficient excision of UV-induced pyrimidine dimers in DNA	None
Abnormal Langerhans cell morphology	None
Abnormal T-cell activation	None
Abnormal T-lymphocyte activation	None
Abnormal T cell activation	None
Abnormal T lymphocyte activation	None
Transient decreaseed IgD in blood	None
Transient decreased circulating IgD	None
Hypogammaglobulinemia	None
Decreased antibody level in blood	None
Decreased serum immunoglobulin	None
Reduced immunoglobulin levels	None
Immunoglobulin deficiency	None
Decreased immunoglobulin level	None
Decreased circulating antibody level	None
Increased levels of IgD	None
Increased serum IgD	None
Elevated serum IgD	None
Increased circulating IgD level	None
IgD hypergammaglobulinemia	None
Increased IgD level	None
Elevated IgD	None
Deficiency of delayed skin hypersensitivity	None
Decreased reactivity to skin test antigens	None
Impaired delayed hypersensitivity	None
Reduced delayed hypersensitivity	None
Increased cellular sensitivity to UV light	None
Decreased immunoglobulin level in body fluid	None
Reduced granulocyte CD18 level	None
Rectilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Rectilinear profiles ultrastructurally	None
Agammaglobulinaemia	None
Agammaglobulinemia	None
Homer Wright rosette	None
Increased oocyte death	None
Monoclonal elevation of intact IgG	None
IgA hypergammaglobulinemia	None
Increased circulating IgA level	None
Increased serum IgA	None
Elevated serum IgA	None
Increased levels of IgA	None
Elevated IgA	None
Abnormal cell proliferation	None
Monoclonal hypergammaglobulinemia	None
Paraproteinemia	None
Defective T cell proliferation	None
Increased circulating specific IgE antibody	None
Complete or near-complete absence of isohemagglutinins	None
Absent isohemagglutinin level	None
Absent natural antibody to blood group agents	None
Decreased specific antibody response to protein-conjugated polysaccharide vaccine	None
Decreased specific antibody response to infection	None
Partial absence of specific antibody response to tetanus vaccine	None
Decreased activity of mitochondrial complex III	None
Respiratory complex III deficiency	None
Monoclonal elevation of IgG heavy chain	None
Increased anti-house dust mite IgE antibody level	None
Increased anti-house dust IgE antibody level	None
Increased level of anti-house dust IgE antibody	None
Whole-immunoglobulin paraproteinemia	None
Curvilinear intracellular accumulation of autofluorescent lipopigment storage material	None
Curvilinear profiles ultrastructurally	None
Curvilinear profiles ultrastructurally in cells	None
Intracellular curvilinear profiles on ultrastructural analysis	None
Defective DNA repair after ultraviolet radiation damage	None
Cardiomyocyte hypertrophy	None
Myocyte cellular hypertrophy	None
Increased cellular radiosensitivity	None
Chromosomal breakage induced by ionizing radiation	None
Chromosomal breakage induced by ionising radiation	None
Radiation-induced chromosome instability	None
Prolonged G2 phase of cell cycle	None
Chronic (near) absent IgM in blood	None
Chronic absent circulating IgD	None
Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	None
Monoclonal elevation of IgG lambda chain	None
Abnormal mitochondria in muscle tissue	None
Abnormal mitochondria in muscle	None
Specific pneumococcal antibody deficiency	None
Decreased specific pneumococcal antibody level	None
Low pneumococcal antibody titer	None
Abnormal level of natural antibody to blood group agents	None
Abnormal isohemagglutinin level	None
Abnormal natural antibody level to blood group antigens in blood (isohemagglutinin)	None
Partial absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Polyclonal elevation of circulating IgA	None
Increased circulating IgM level	None
Increased IgM levels	None
Increased levels of IgM	None
Reduced reactive oxygen species production in neutrophils	None
Increased anti-plant product IgE antibody level	None
Decreased specific anti-polysaccharide antibody level	None
Low specific anti-polysaccharide antibody titer	None
Depressed antibody response to polysaccharide antigens	None
Specific anti-polysaccharide antibody deficiency	None
Intraaxonal accumulation of curvilinear autofluorescent lipopigment storage material	None
Intraaxonal accumulation of curvilinear profiles	None
Decreased activity of the pyruvate dehydrogenase complex	None
Decreased activity of the PDH complex	None
Pyruvate dehydrogenase complex deficiency	None
Monoclonal elevation of IgG kappa chain	None
Abnormal lymphocyte apoptosis	None
Elevated intracellular cystine	None
Increased anti-meat allergen IgE antibody level	None
Reduced fibroblast CD59 level	None
Decreased total IgA in blood	None
Total immunoglobulin A deficiency	None
Decreased circulating total IgA	None
Abnormal lymphocyte physiology	None
Abnormal circulating IgD level	None
Abnormal IgD level in blood	None
Oligoclonal elevation of circulating IgA	None
Increased anti-animal dander IgE antibody level	None
Increased level of anti-dander IgE antibody	None
Rosette	None
Chronic decreased IgG3 in blood	None
Chronic decreased circulating IgG3	None
Fingerprint intracellular accumulation of autofluorescent lipopigment storage material	None
Fingerprint profiles ultrastructurally in cells	None
Fingerprint profiles ultrastructurally	None
Immunoglobulin IgG2 deficiency	None
Reduced IgG2 levels	None
Decreased circulating IgG2 level	None
Decreased IgG2 level in blood	None
Intracellular accumulation of Dol-PP-GlcNAc2Man5	None
Increased level of anti-drug IgE antibody	None
Increased anti-drug IgE antibody level	None
Abnormal cardiomyocyte mitochondrial morphology	None
Abnormal IgG level in blood	None
Abnormal circulating IgG level	None
Deficiency of N-acetylglucosamine-1-phosphotransferase	None
Reduced fibroblast surface marker level	None
Decreased circulating IgD	None
Decreased IgD	None
Decreased IgD in blood	None
IgD deficiency	None
Chronic decreased circulating total IgG	None
Chronic decreased total IgG in blood	None
Transient decreased circulating IgA	None
Abnormality of B cell physiology	None
Reduced B cell function	None
Defective lymphocyte proliferation to anti-CD3	None
Decreased lymphocyte proliferation in response to anti-CD3	None
Defective proliferation of lymphocytes following anti-CD3 stimulation	None
Defective B cell activation	None
Decreased CD69 upregulation upon TCR activation	None
Dysgammaglobulinemia	None
Defective B cell differentiation	None
IgG heavy chain paraproteinemia	None
Gamma heavy-chain disease	None
Abnormal mitochondrial number	None
Increased circulating IgG3 level	None
Absent cellular immunity	None
Lack of T cell function	None
Abnormal telomere morphology	None
Increased anti-egg IgE antibody level	None
Abnormality of chromosome segregation	None
Elevated leukocyte cystine	None
Increased circulating IgG subclass	None
Transient decreased circulating IgG4	None
Transient decreased IgG4 in blood	None
Abnormal natural killer cell physiology	None
Increased level of anti-bacteria IgE antibody	None
Increased anti-bacteria IgE antibody level	None
Cardiac biopsy: myocyte disarray	None
Myocardial sarcomeric disarray	None
Myocardial sarcomere disarray	None
Cardiomyocyte disarray	None
Endopolyploidy on chromosome studies of bone marrow	None
Increased rate of premature chromosome condensation	None
Chromosomal breakage induced by crosslinking agents	None
Chromosomal breakage induced by diepoxybutane	None
Chromosomal breakage induced by mitomycin C	None
Reduced natural killer cell activity	None
Reduced fibroblast CD16 level	None
Increased hepatitis C virus antibody level	None
Chronic (near) absent circulating IgG3	None
Chronic (near) absent IgG3 in blood	None
Increased activity of mitochondrial respiratory chain	None
Abnormal chromosome morphology	None
Polyclonal elevation of circulating IgE	None
High immunoglobulin E	None
Elevated immunoglobulin E	None
Elevated serum IgE	None
Increased circulating IgE level	None
Decreased plasma total carnitine	None
Abnormal zona pellucida morphology	None
Newborn gammaglobulin deficiency	None
Transient hypogammaglobulinemia of infancy	None
Increased anti-galactose-alpha-1, 3 galactose IgE antibody level	None
Increased anti-alpha-gal IgE antibody level	None
Decreased IgG subclass level in blood	None
Decreased circulating IgG subclass level	None
Chronic decreased IgG4 in blood	None
Chronic decreased circulating IgG4	None
Decreased circulating total IgG	None
Polyclonal elevation of IgM	None
Mitochondrial dysfunction	None
Abnormality of mitochondrial metabolism	None
Abnormality of redox activity	None
Increased anti-dairy IgE antibody level	None
Increased anti-dairy protein IgE antibody level	None
Short telomere length	None
Abnormal immunoglobulin level in body fluid	None
Increased anti-feather IgE antibody level	None
Decreased specific antibody response to protein vaccine	None
Abnormal flow cytometry test result	None
Acid phosphatase elevated	None
Elevated serum acid phosphatase	None
Pineocytomatous rosette	None
Neurocytic rosette	None
Increased anti-fungus IgE antibody level	None
Increased anti-fungal IgE antibody level	None
Increased anti-fungi IgE antibody level	None
Increased anti-parasite IgE antibody level	None
Abnormal cardiomyocyte plakoglobin staining	None
Partial absence of specific antibody response to unconjugated pneumococcus vaccine	None
Reduced cell surface marker level	None
Abnormality of chromosome stability	None
Decreased natural antibody to blood group agents	None
Partial absence of isohemagglutinins	None
Reduced isohemagglutinin level	None
Abnormal iron deposition in mitochondria	None
Abnormality of glycosaminoglycan metabolism	None
Decreased activity of mitochondrial ATP synthase complex	None
Respiratory complex deficiency, ATPase deficiency	None
Expiratory crackles	None
Anomalous origin of right pulmonary artery from ascending aorta	None
Airway hyperresponsiveness	None
Abnormal cricoid cartilage morphology	None
Abnormality of cricoid cartilage	None
Developmental pulmonary anomaly	None
Abnormal lung development	None
Tracheal bronchus	None
Pulmonary pseudocavity	None
Abnormal tracheal morphology	None
Tracheal disease	None
Abnormality of the trachea	None
Abnormal trachea morphology	None
Bronchocentric granulomatosis	None
Neonatal pneumothorax	None
Spontaneous neonatal pneumothorax	None
Respiratory paralysis	None
Multiple bilateral pneumothoraces	None
Decreased FEF25-75%	None
Decreased forced expiratory flow 25-75%	None
Abnormal lung lobation	None
Lung segmentation defects	None
Defective lung lobation	None
Lung cancer	None
Neoplasm of the lung	None
Lung tumour	None
Lung tumor	None
Laryngeal cartilage malformation	None
Vocal impairment, severe, due to laryngeal cartilage abnormalities	None
Chronic cough	None
Dminished respiratory ciliary beat frequency	None
Reduced respiratory ciliary beating frequency	None
Abnormal pulmonary vein morphology	None
Tracheomalacia	None
Floppy windpipe	None
Air crescent	None
Nose cancer	None
Nasal tumor	None
Tumor of the nose	None
Neoplasia of the nose	None
Neoplasm of the nose	None
Tumour of the nose	None
Nasal tumour	None
Nasal neoplasm	None
Neoplasm of the tracheobronchial system	None
Mass on thoracic imaging	None
Congenital bronchial atresia	None
Bronchial atresia	None
Progressive massive fibrosis	None
Laryngeal stenosis	None
Pleural mesothelioma	None
Abnormal central microtubular pair morphology of respiratory motile cilia	None
Pulmonary hemorrhage	None
Intrapulmonary haemorrhage	None
Pulmonary haemorrhage	None
Intrapulmonary hemorrhage	None
Pulmonary situs ambiguus	None
Increased alveolar volume	None
Pulmonary necrosis	None
Bowing of the vocal cords	None
Recurrent streptococcus pneumoniae infections	None
Abnormal pleura morphology	None
Abnormality of the pleura	None
Under breathing	None
Respiratory depression	None
Alveolar hypoventilation	None
Slow breathing	None
Hypoventilation	None
Alveolar cell carcinoma	None
Multiple respiratory infections	None
Susceptibility to respiratory infections	None
respiratory infections, recurrent	None
Frequent respiratory infections	None
Recurrent respiratory infections	None
Bilateral pulmonary agenesis	None
Absent lungs	None
Bilateral lung agenesis	None
Pulmonary infections	None
Pneumonia, recurrent episodes	None
Recurrent pulmonary infections	None
Pneumonia, recurrent	None
Recurrent pneumonia	None
Pulmonary infection	None
Multiple pulmonary infections	None
pulmonary infections, recurrent	None
Abnormal respiratory system morphology	None
Aplasia/Hypoplasia involving the sinuses	None
Abnormal pulmonary artery physiology	None
Nodular-perilymphatic pattern on pulmonary HRCT	None
Laryngotracheomalacia	None
Decreased RV/TLC ratio	None
Abnormal alveolar type II pneumocyte morphology	None
Abnormal alveolar epithelial type II cell morphology	None
Abnormal type II pneumocyte morphology	None
Abnormal pulmonary type II cell morphology	None
Smooth septal thickening on pulmonary HRCT	None
Bifid epiglottis	None
Reduced functional residual capacity	None
Pulmonary vein dilatation	None
Pulmonary vein varix	None
Follicular bronchiolitis	None
Pulmonary interstitial thickening	None
Reduced pulmonary fissure count	None
Decreased pulmonary fissure count	None
Decreased maximal oxygen uptake	None
Low blood oxygen level	None
Hypoxia	None
Hypoxemia	None
Nodular-centrilobular without tree-in-bud pattern on pulmonary HRCT	None
increased pulmonary fissure count	None
Supernumerary pulmonary fissure	None
Reduced FVC	None
Reduced forced vital capacity	None
Decreased forced vital capacity	None
Abnormal paranasal sinus morphology	None
Abnormality of the sinuses of the head	None
Abnormality of the sinuses	None
Abnormality of the paranasal sinuses	None
Weakness of muscles of respiration	None
Cardiorespiratory arrest	None
Displaced tracheal bronchus	None
Transient pulmonary infiltrates	None
Decreased peak expiratory flow	None
Laryngomalacia	None
Softening of voice box tissue	None
Air crescent sign	None
Bronchitis, recurrent	None
Recurrent bronchitis	None
Solid pulmonary nodule	None
Congenital laryngeal stridor	None
Pulmonary bullae	None
Pulmonary bulla	None
Sinusitis, recurrent	None
Recurrent sinusitis	None
Recurrent sinus disease	None
Abnormal blood carbon dioxide level	None
Abnormal CO2 levels in blood	None
Irregular septal thickening on pulmonary HRCT	None
Chylothorax	None
Laryngeal calcification	None
Laryngeal calcifications	None
Tracheal atresia	None
Pure ground-glass pulmonary nodule	None
Excessive dynamic airway collapse	None
Membranous tracheobronchomalacia	None
Tracheal diverticulum	None
Diverticulosis of trachea	None
Tracheocele	None
Paratracheal air cyst	None
Tracheal diverticulosis	None
Absent bronchoalveolar surfactant-protein C	None
Elevated level of neutrophils in broncho-alveolar lavage fluid	None
Elevated bronchoalveolar lavage fluid neutrophil proportion	None
Abnormal transfer factor of the lung for carbon monoxide	None
Abnormal DLCO	None
Abnormal TLCO	None
Abnormal diffusing capacity	None
Bronchiolectasis	None
Bronchiolectasia	None
Increased airway neuroepithelial bodies	None
Pulmonary artery stenosis	None
Narrowing of lung artery	None
Pulmonary situs ambiguus with bilateral morphologic right lungs	None
Chronic sinopulmonary infection	None
Recurrent sinopulmonary infections	None
Recurrent sinus and lung infections	None
Aplasia of the epiglottis	None
Absent epiglottis	None
Abnormal alveolar macrophage morphology	None
Cardiac total anomalous pulmonary venous connexion	None
Total anomalous pulmonary venous connection, intracardiac	None
Type 2 total anomalous pulmonary venous connection	None
Cardiac total anomalous pulmonary venous connection	None
Decreased volume of frontal sinuses	None
Hypoplastic frontal sinuses	None
Underdeveloped frontal sinuses	None
Small frontal sinuses	None
Hypotrophic frontal sinus	None
Decreased pneumatization of frontal sinus	None
Decreased prebronchodilator forced expiratory flow 25-75%	None
Decreased pre bronchodilator forced expiratory flow 25-75%	None
Decreased pre-bronchodilator forced expiratory flow 25-75%	None
Decreased pre-bronchodilator FEF25-75%	None
Combined pre- and post-capillary pulmonary hypertension	None
Absence of frontal sinuses	None
Absent frontal sinuses	None
Absent frontal sinus	None
Missing frontal sinus	None
Aplasia of frontal sinus	None
Aplasia sinus frontalis	None
Abnormal axonemal organisation of respiratory motile cilia	None
Abnormal axonemal organization of respiratory motile cilia	None
Abnormal nasal mucus secretion	None
Abnormal respiratory epithelium morphology	None
Pulmonary cyst	None
Lung cyst	None
Abnormal pulmonary fissure morphology	None
Ventilator dependence with inability to wean	None
Episodic upper airway obstruction	None
Decreased sensitivity to hypoxemia	None
Decreased sensitivity to hypoxaemia	None
Abnormality of the sphenoidal sinus	None
Abnormality of the sphenoid sinus	None
Laryngeal papilloma	None
Laryngeal papillomas	None
Laryngeal papillomatosis	None
Tracheobronchmegaly	None
Folded lung syndrome	None
Comet tail sign	None
Rounded atelectasis	None
Helical atelectasis	None
Pleural pseudotumor	None
Pleuroma	None
Blesovsky syndrome	None
Paranasal sinuses opacified	None
Opacified paranasal sinuses	None
Paranasal sinuses opacification	None
Localised pulmonary haemorrhage	None
Localized pulmonary hemorrhage	None
Interstitial pneumonitis	None
Coughing up blood	None
Hemoptysis	None
Haemoptysis	None
Coughing up blood or blood-stained mucus	None
Abnormal aryepiglottic fold morphology	None
Abnormality of the aryepiglottic fold	None
Abnormal aryepiglottic folds	None
Posterior pharyngeal cleft	None
Reversible airflow obstruction	None
Reversible pulmonary obstruction	None
Increased airway neuroendocrine cells	None
Exogenous lipoid pneumonia	None
Abnormal connection between trachea and oesophagus	None
Tracheoesophageal fistula	None
Abnormal connection between trachea and esophagus	None
Absent respiratory ciliary axoneme radial spokes	None
Increased DLCO	None
Increased diffusing capacity	None
Upper respiratory tract issues	None
Abnormality of the upper respiratory tract	None
Intrapulmonary shunting	None
Intrapulmonary shunt	None
Recurrent intrapulmonary hemorrhage	None
Recurrent pulmonary haemorrhage	None
Recurrent intrapulmonary haemorrhage	None
Recurrent pulmonary hemorrhage	None
Recurrent bleeding into lungs	None
Tracheal cartilaginous sleeve	None
Recurrent infections due to aspiration	None
Pulmonary venous hypertension	None
Bradypnea	None
Recurrent bacterial URI	None
Recurrent bacterial upper respiratory tract infections	None
Ciliary dyskinesia	None
Lack of coordinated beating of respiratory cilia	None
Abnormal larynx morphology	None
Agenesis of ethmoid sinuses	None
Missing ethmoid sinuses	None
Absent ethmoidal sinuses	None
Failure of development of ethmoid sinuses	None
Bronchial cartilage hypoplasia	None
Underdevelopment of the bronical cartilage	None
Abnormality of lung veins	None
Abnormality of the pulmonary veins	None
Bronchiectasis	None
Permanent enlargement of the airways of the lungs	None
Silhouette sign	None
Bilobed right lung	None
Abnormal larynx physiology	None
Increased KCO	None
Squamous cell lung carcinoma	None
Milky appearance of bronchoalveolar lavage fluid	None
Abnormal respiratory motile cilium physiology	None
Recurrent viral upper respiratory tract infections	None
Low nasal nitric oxide level	None
Decreased nasal nitric oxide	None
Aplasia/Hypoplasia of the Epiglottis	None
Abnormality of palatopharyngeus muscle	None
Respiratory cilia have shortened or absent outer dynein arms	None
Absent/shortened outer dynein arms	None
Recurrent sore throat	None
Pharyngitis, recurrent	None
Recurrent pharyngitis	None
Large cell lung carcinoma	None
Hypocapnia	None
Reduced carbon dioxide in the blood	None
Hypocarbia	None
Pulmonary artery vasoconstriction	None
Accumulation of hemosiderin laden alveolar macrophages	None
Hemosiderin-laden macrophages in bronchoalveolar fluid	None
Siderophages in bronchoalveolar fluid	None
Pleural cyst	None
Linear atelectasis	None
Discoid atelectasis	None
Platelike atelectasis	None
Sputum eosinophilia	None
Bronchiolitis obliterans	None
Obliterative bronchiolitis	None
Constrictive bronchiolitis	None
Pulmonary arterial medial hypertrophy	None
Hypertrophy of the pulmonary artery wall	None
Abnormal pulmonary fissure architecture	None
Reticulonodular pattern on pulmonary HRCT	None
Pleural empyema	None
Pyothorax	None
Traction bronchiolectasis	None
Tracheobronchial anomalies	None
Abnormal tracheobronchial morphology	None
Neonatal inspiratory stridor	None
Abnormal pharynx morphology	None
Abnormality of the maxillary antrum	None
Abnormality of the upper jaw sinus	None
Abnormality of the antrum of Highmore	None
Abnormality of the maxillary sinus	None
Reduced maximal inspiratory pressure	None
Noisy breathing	None
Stridor	None
Upper airway obstruction	None
Respiratory distress requiring endotracheal intubation	None
Respiratory distress requiring mechanical ventilation	None
Respiratory distress necessitating mechanical ventilation	None
Respiratory failure requiring assisted ventilation	None
Reduced residual volume	None
Abnormal nasopharyngeal adenoid morphology	None
Abnormality of pharyngeal tonsil	None
Abnormality of nasopharyngeal tonsil	None
Abnormality of nasopharyngeal adenoids	None
Abnormality of adenoids	None
Continuous diaphragm sign	None
Post-capillary pulmonary hypertension	None
Postcapillary pulmonary hypertension	None
Air bronchogram	None
Increased pulmonary arterial wedge pressure	None
Increased pulmonary artery occlusion pressure	None
Increased pulmonary capillary wedge pressure	None
Acinar dysplasia	None
Abnormal size of nasopharyngeal adenoids	None
Acute aspiration pneumonia	None
Atypical perifissural nodule	None
Bronchospasm	None
Irreversible pulmonary obstruction	None
Irreversible airflow obstruction	None
Abnormal mucociliary clearance	None
Abnormal mucociliary transport	None
Immotile cilia	None
Neonatal breathing dysregulation	None
Impaired breathing in newborn	None
Typical perifissural nodule	None
Sinusitis	None
Sinus disease	None
Sinus infection	None
Sinus inflammation	None
Posterior mediastinal mass	None
Respiratory infections	None
Respiratory infection	None
Respiratory tract infection	None
Cartilaginous ossification of larynx	None
Abnormal blood gas level	None
Tree-in-bud pattern	None
Inspiratory stridor	None
Absent inner dynein arms	None
Type 4 total anomalous pulmonary venous connection	None
Mixed total anomalous pulmonary venous connection	None
Mixed total anomalous pulmonary venous connexion	None
Total anomalous pulmonary venous connection, mixed	None
Lung adenocarcinoma	None
Abnormal level of proteins in the broncho-alveolar fluid	None
Abnormal biochemical composition of broncho-alveolar fluid	None
Abnormal bronchoalveolar fluid protein level	None
Hemothorax	None
Hypercapnia	None
High blood carbon dioxide level	None
Hypercarbia	None
Apnea of prematurity	None
AOP	None
Abnormality of lower pharynx	None
Abnormality of hypopharynx	None
Abnormal hypopharynx morphology	None
Periodic respiration	None
Cheyne-Stokes breathing	None
Cheyne-Stokes respiration	None
Abnormal cell proliferation	None
Positive urine benzodiazepines test	None
Elevated 8-dehydrocholesterol	None
Increased circulating complement factor H related protein 1 concentration	None
Decreased FasL-mediated apoptosis	None
Abnormal circulating carnitine concentration	None
Carnitine levels abnormal	None
Increased urine deoxypyridinoline level	None
Elevated urinary DPD	None
Leucinuria	None
Increased serum beta-hexosaminidase	None
High blood insulin levels while fasting	None
Fasting hyperinsulinemia	None
Edema of the upper limbs	None
Oedema of the upper limbs	None
Fluid accumulation in upper limbs	None
Elevated CSF fumarate concentration	None
Reduced beta-hexosaminidase activity	None
Positive stool barbiturate test	None
Glucose in urine	None
Glucosuria	None
Glycosuria	None
Specific pneumococcal antibody deficiency	None
Decreased specific pneumococcal antibody level	None
Low pneumococcal antibody titer	None
Edema of the eyelids	None
Puffy lids	None
Palpebral oedema	None
Swelling of eyelids	None
Palpebral edema	None
Puffy eyelids	None
Oedema of the eyelids	None
Eyelid oedema	None
Eyelid edema	None
Fullness of eyelids	None
Elevated circulating amyloid A	None
Saccharopinuria	None
Increased mannosylation of N-linked protein glycosylation	None
Elevated circulating O-butyrylcarnitine concentration	None
Elevated circulating butyrylcarnitine concentration	None
Increased resting energy expenditure	None
Increased circulating oleate level	None
Mild albuminuria	None
Taurine high in CSF	None
Increased CSF taurine concentration	None
Abnormal blood phosphate concentration	None
Abnormality of phosphate homeostasis	None
Abnormal macroscopic urine appearance	None
Hypovalinemia	None
Low blood valine concentration	None
Abnormal circulating thyroglobulin level	None
Abnormal circulating IgM level	None
Abnormal IgM level in blood	None
Elevated urinary dopamine	None
Elevated circulating deoxypyridinoline concentration	None
Prolinuria	None
Vitamin B1 deficiency	None
Reduced blood thiamine level	None
Low levels of vitamin B1	None
Heat intolerance	None
Intolerance to heat and fevers	None
Reduced carnitine O-palmitoyltransferase level	None
Increased circulating IgG1 level	None
Decreased sialylation of N-linked protein glycosylation	None
Abnormal serum selenium concentration	None
Abnormal circulating selenium concentration	None
Elevated circulating osteopontin level	None
Insulin-dependent but ketosis-resistant diabetes	None
Monoclonal elevation of IgG	None
Low blood Mg levels	None
Hypomagnesemia	None
Low blood magnesium levels	None
Abnormal circulating prostaglandin circulation	None
Abnormal circulating pyruvate family amino acid concentration	None
Abnormality of pyruvate family amino acid metabolism	None
Elevated urinary catecholamines	None
Increased urinary cysteine level	None
Abnormality of chromosome condensation	None
Exudative pleural effusion	None
Cutaneous amyloidosis	None
Increased circulating myristoleate level	None
Impaired memory B cell generation	None
Increased C-peptide level	None
Increased C peptide level	None
Hyperglutaminuria	None
Glutaminuria	None
Glutamine high in urine	None
Renal glomerular amyloid deposition	None
3-ketoacyl-CoA thiolase (THIO) deficiency	None
Reduced circulating 3-ketoacyl-CoA thiolase concentration	None
Reduced blood 5-methyltetrahydrofolate level	None
Reduced serum methylfolate Level	None
Decreased CSF arginine concentration	None
