Abnormality of taste sensation	HP:0000223
Leg muscle stiffness	None
Cortical thickening of humeral diaphysis	None
Contracture of the distal interphalangeal joint of the fingers	None
Absent ray	None
Notched innermost bone of thumb	None
Partial/complete duplication of the proximal phalanx of the thumb	None
Duplication of the proximal phalanx of the thumb	None
Short bone of big toe	None
Short phalanx of hallux	None
Hypoplastic phalanges of the hallux	None
Large unciform bone	None
Large hamate bone	None
Carpal bone hypoplasia	None
Small carpal bones	None
Hypoplasia of carpal bones	None
Hypoplastic carpal bones	None
Small carpals	None
Small wrist bones	None
Foot syndactyly	None
Syndactyly of toes	None
Syndactyly of feet	None
Webbed toes	None
Toe syndactyly	None
Fused toes	None
Patchy sclerosis of radial diaphysis	None
Short diaphyses	None
Short shaft of long bone	None
Hypoplasia/agenesis of distal phalanges of toes	None
Absent/hypoplastic terminal phalanges of toes	None
Absent/underdeveloped outermost bones of toe	None
Absent/small outermost bones of toe	None
Aplasia/Hypoplasia of the distal phalanges of the toes	None
3-4 finger cutaneous syndactyly	None
Patchy sclerosis of middle finger phalanges	None
Uneven increase in bone density in middle finger bone	None
Patchy sclerosis of 3rd finger phalanx	None
Patchy sclerosis of the phalanges of the 3rd finger	None
Cone-shaped epiphysis of the distal phalanx of the hallux	None
Cone-shaped end part of the outermost bone of the big toe	None
Shortening of all middle phalanges of the toes	None
Shortening of all the middle bones of the toes	None
Brachymesophalangy of feet	None
Foot joint contracture	None
Joint contractures involving the joints of the feet	None
Contractures involving the joints of the feet	None
Contractures of the foot joints	None
Sclerosis of the distal phalanges of the toes	None
Increased bone density in the outermost bone of the toes	None
Sclerosis of distal toe phalanx	None
Toe contractures	None
Flexion contracture of toe	None
Contractures of the toes	None
Contractures involving the toes	None
Displaced hand or fingers of the hand	None
Deviation of the hand or of fingers of the hand	None
Broad ulnar metaphysis	None
Wide ulnar metaphysis	None
Thickened Achilles tendon	None
Abnormal tarsal ossification	None
Abnormal ossification of tarsal bones	None
Hardening of ankle bones	None
Abnormal maturation of ankle bones	None
Ulnar deviation of the 5th finger	None
Contracture of the metacarpophalangeal joint of the 5th finger	None
Pseudoepiphysis of the proximal phalanx of the 4th toe	None
Amyotrophy of ankle musculature	None
Thenar muscle weakness	None
Asymmetrical gluteal sulcus	None
Asymmetrical horizontal gluteal crease	None
Asymmetrical buttock crease	None
Asymmetrical gluteal crease	None
Partial duplication of the proximal phalanges of the hand	None
Partial duplication of the innermost bones of the hand	None
Triangular epiphysis of the middle phalanx of the 4th toe	None
Triangular end part of the middle bone of the 4th toe	None
Pseudarthrosis of the forearm bones	None
Proximal limb muscle stiffness	None
Prominent subcalcaneal fat pad	None
Irregular epiphysis of the proximal phalanx of the 2nd toe	None
Irregular end part of the innermost bone of the 2nd toe	None
Elongated femoral neck	None
Long femoral neck	None
Type E brachydactyly	None
Increased bone density of end part of the 2nd toe	None
Ivory epiphyses of the 2nd toe	None
Arachnodactyly	None
Spider fingers	None
Long, slender fingers	None
Long slender fingers	None
Congenital talipes calcaneovalgus	None
Bridged palmar crease	None
Transitional palmar crease	None
Bridged palm line	None
Complete duplication of the middle bone of the pinky toe	None
Complete duplication of the middle phalanx of the 5th toe	None
Complete duplication of the middle bone of the little toe	None
Complete duplication of the middle bone of the pinkie toe	None
Complete duplication of the middle phalanx of the fifth toe	None
Abnormality of the end part of the outermost bone of the middle finger	None
Abnormality of the epiphysis of the distal phalanx of the 3rd finger	None
Osteolytic defects of the 1st metatarsal	None
Short neck of thighbone	None
Short femoral neck	None
Hypoplasia of the femoral neck	None
Short femoral necks	None
Hypoplastic femoral neck	None
Pseudoepiphysis of the distal phalanx of the 4th finger	None
Abnormal metaphyseal vascular invasion	None
Bracket shaped end part of the outermost bone of the 2nd toe	None
Bracket epiphysis of the distal phalanx of the 2nd toe	None
Aplasia of the phalanges of the 3rd toe	None
Absent digital bone of the 3rd toe	None
Coarse trabeculation at metaphyses	None
Coarse metaphyseal trabecularization	None
Rough bone trabeculation	None
Rough trabeculation of bone	None
Pseudoepiphyses of the 5th toe	None
Abnormality of the innermost bone of the 2nd toe	None
Abnormal morphology of the proximal phalanx of the 2nd toe	None
Abnormality of the epiphysis of the 3rd metacarpal	None
Abnormality of the end part of the 3rd long bone of hand	None
Symphalangism affecting the middle phalanx of the 4th toe	None
Fused middle bones of 4th toe	None
Bilateral wrist flexion contracture	None
Bilateral wrist contracture	None
Bracket epiphysis of the proximal phalanx of the 2nd finger	None
Bracket shaped end part of innermost long bone of index finger	None
Bracket epiphyses of proximal index finger phalanx	None
Extra thumb	None
Preaxial hand polydactyly	None
Polydactyly affecting the thumb	None
Supernumerary thumb	None
Preaxial polydactyly of hands	None
thumb polydactyly	None
Decreased space in hinge joint	None
Reduced proximal interphalangeal joint space	None
Normal-density transverse humeral bands	None
Abnormality of the epiphyses of the toes	None
Abnormality of the end part of the toe bones	None
Diaphyseal osteosclerosis	None
Diaphyseal sclerosis	None
Craniodiaphyseal osteosclerosis	None
Increased bone density in shaft of long bone	None
Absent proximal finger flexion creases	None
Rudimentary to absent tibiae	None
Symphalangism of index finger phalanges	None
Fused index finger bones	None
Symphalangism of the 2nd finger	None
Bracket shaped end part of the innermost bone of 4th toe	None
Bracket epiphysis of the proximal phalanx of the 4th toe	None
Patchy sclerosis of the distal phalanx of the hallux	None
Uneven increase in bone density in the outermost bone of big toe	None
Bowing of the legs	None
Bowed legs	None
Bow legs	None
Bowed lower limbs	None
Bow-leggedness	None
Bracket epiphysis of the middle phalanx of the 2nd finger	None
Bracket shaped end part of the middle long bone of the index finger	None
Wide diaphyses of the upper limbs	None
Broad shaft of long bone of the upper limbs	None
Wide shaft of long bone of the upper limbs	None
Broad diaphyses of the upper limbs	None
Decreased mid-arm muscle circumference	None
Bullet-shaped distal phalanx of the 3rd toe	None
Bullet-shaped outermost bone of the 3rd toe	None
Partial knuckle dislocation	None
Subluxation of metacarpophalangeal joints	None
Subluxation of metacarpal phalangeal joints	None
Absent innermost ring finger bone	None
Aplasia of the proximal phalanx of the 4th finger	None
Sclerosis of 2nd finger phalanx	None
Sclerosis of the phalanges of the 2nd finger	None
Increased bone density in 2nd finger bone	None
Asymmetric radial dysplasia	None
hallucal symphalangism	None
Symphalangism affecting the phalanges of the hallux	None
Fused big toe bones	None
Type A4 brachydactyly	None
Duplication of the bones of the pinky toe	None
Duplication of the phalanges of the fifth toe	None
Duplication of the phalanges of the 5th toe	None
Duplication of the bones of the pinkie toe	None
Partial/complete duplication of the phalanges of the 5th toe	None
Duplication of the bones of the little toe	None
Abnormal hand morphology	None
Abnormal shape of hand	None
Short 3rd toe	None
Short third toe	None
Brachydactyly of third toes	None
Fragmentation of the epiphysis of the proximal phalanx of the 5th finger	None
Fragmentation of end part of the innermost bone of the pinky finger	None
Fragmentation of end part of the innermost bone of the little finger	None
Fragmentation of end part of the innermost bone of the pinkie finger	None
Hypermobility of toe joints	None
Aplasia/Hypoplasia of the middle phalanx of the 3rd finger	None
Absent/small middle bone of the middle finger	None
Absent/underdeveloped middle bone of the middle finger	None
Excessive sweating of palms and soles	None
Palmoplantar hyperhidrosis	None
Hyperhidrosis of palms and soles	None
Congenital hip dislocation	None
Congenital hip dislocations	None
Congenital dislocation of the hip	None
Congenital hip anomaly	None
Congenital dislocation of the hips	None
Dislocated hip since birth	None
Large knee	None
Polydactyly affecting the 2nd toe	None
Aplasia of the fingers	None
Absent fingers	None
Bracket shaped end part of the innermost bone of big toe	None
Bracket epiphysis of the proximal phalanx of the hallux	None
Absent/underdeveloped quadriceps	None
Aplasia/Hypoplasia of the quadriceps	None
Absent/small quadriceps	None
Sclerosis of the distal phalanges of the hand	None
Increased bone density in outermost finger bone	None
Sclerosis of distal finger phalanx	None
Ulnohumeral dislocation	None
Radiohumeral dislocation	None
Radiocapitellar dislocation	None
Elbow dislocation	None
Dislocations of the elbows	None
Elbow dislocations	None
bone hindlimb bone	None
Fractured hindlimb bone	None
Multicentric ossification of proximal humeral epiphyses	None
Small end part of upper limb bones	None
Small epiphyses of the upper limbs	None
Complete duplication of the outermost bone of the big toe	None
Complete duplication of the distal phalanx of the hallux	None
Ivory epiphyses of the 5th finger	None
Increased bone density of end part of the little finger	None
Increased bone density of end part of the pinkie finger	None
Increased bone density of end part of the pinky finger	None
Osteolytic defects of the middle phalanx of the 4th toe	None
Broken hand bones	None
Fractured hand bones	None
Abnormally indented hip sockets	None
Protrusio acetabulae	None
Protrusio acetabuli	None
Clubbing of toes	None
Clubbed toes	None
Patchy sclerosis of the phalanges of the 4th toe	None
Uneven increase in bone density in 4th toe bone	None
Patchy sclerosis of 4th toe phalanx	None
Pseudoepiphyses of the toes	None
Sclerosis of metaphyses of the upper limbs	None
Increased bone density in wide portion of the upper limb bones	None
Shortened phalanges	None
Rudimentary phalanges	None
Hypoplastic phalanges	None
Short phalanges	None
Short finger bones	None
Hypoplastic phalanges of hands	None
Phalangeal hypoplasia	None
Hypoplastic/small phalanges of the hand	None
Short phalanx of finger	None
Delayed carpal bone age	None
Delayed maturation of carpal bones	None
Delayed ossification of carpal bones	None
Carpal delayed ossification	None
Delayed maturation of wrist bone	None
Delayed carpal ossification	None
Abnormality of the humeral epiphysis	None
Abnormality of the humeral epiphyses	None
Abnormality of end part of the long bone of the upper arm	None
Triangular shaped outermost bone of the thumb	None
Triangular shaped distal phalanx of the thumb	None
Absent/underdeveloped index finger	None
Absent/small index finger	None
Aplasia/Hypoplasia of the 2nd finger	None
Complete duplication of the middle bone of the 2nd toe	None
Complete duplication of the middle phalanx of the 2nd toe	None
Bowed calf bone	None
Fibular bowing	None
Small end part of the outermost bone of the index finger	None
Small epiphysis of the distal phalanx of the 2nd finger	None
Abnormality of radial diaphysis	None
bone shoulder joint	None
Fractured shoulder	None
Delayed maturation of the scaphoid	None
Delayed ossification of the scaphoid	None
Proximal tapering of metacarpals	None
Pointed proximal metacarpals	None
Pointed innermost long bone of hand	None
Curved innermost bone of index finger	None
Curved proximal phalanx of the 2nd finger	None
Complete duplication of the outermost bones of the hand	None
Complete duplication of the distal phalanges of the hand	None
Triangular end part of the innermost bone of the pinky toe	None
Triangular end part of the innermost bone of the pinkie toe	None
Triangular epiphysis of the proximal phalanx of the 5th toe	None
Triangular end part of the innermost bone of the little toe	None
Absent/hypoplastic middle phalanx of 2nd finger	None
Hypoplastic/aplastic middle phalanx of index finger	None
Absent/small middle index finger bone	None
Aplasia/Hypoplasia of the middle phalanx of the 2nd finger	None
Absent/underdeveloped middle index finger bone	None
bone talus	None
Fractured talus	None
Curved middle toe phalanx	None
Curved middle bones of the toes	None
Curved middle phalanges of the toes	None
Wide outermost end of long bone	None
Distal widening of metacarpals	None
Partial/complete duplication of the proximal phalanx of the 4th toe	None
Duplication of the proximal phalanx of the fourth toe	None
Duplication of the proximal phalanx of the 4th toe	None
Duplication of the innermost 4th toe bone	None
Osteolytic defects of the distal phalanx of the 2nd toe	None
Bilateral coxa valga	None
Wide space between the 4th and 5th toe	None
Wide space between 4th and 5th toe	None
Pseudoepiphysis of the distal phalanx of the 4th toe	None
Hypoplastic/small phalanges of the 3rd toe	None
Short phalanx of the third toe	None
Short phalanx of the 3rd toe	None
Short 3rd toe bone	None
Fractured epiphysis of second metacarpal bone	None
bone epiphysis of second metacarpal bone	None
Abnormality of the middle finger	None
Abnormal 3rd finger morphology	None
Abnormality of the 3rd finger	None
Broad phalanges of the 3rd toe	None
Wide bones of 3rd toe	None
Polydactyly affecting the 3rd toe	None
Bracket shaped end part of ring finger bones	None
Bracket epiphyses of the 4th finger	None
Abnormality of the epiphysis of the proximal phalanx of the 3rd toe	None
Abnormality of the end part of the innermost bone of the 3rd toe	None
Wide radioulnar joints	None
Broad radioulnar joints	None
Broad proximal phalanges of the hand	None
Broad innermost finger bones of the hand	None
Wide innermost finger bones of the hand	None
Metaphyseal cupping	None
Absent/small outermost index finger bone	None
Aplasia/Hypoplasia of the distal phalanx of the 2nd finger	None
Absent/underdeveloped outermost index finger bone	None
Amelia	None
Bracket epiphyses of the 3rd toe	None
Bracket shaped end part of 3rd toe bone	None
Bladder incontinence	None
Loss of bladder control	None
Urinary incontinence	None
Premature sudden cardiac death	None
Sudden cardiac death	None
Sudden death	None
Upset stomach	None
Pain in stomach	None
Stomach pain	None
Gastrointestinal pain	None
Abdominal pain	None
Abdominal discomfort	None
Gastro pain	None
Episodic abdominal pain	None
Intermittent abdominal pain	None
Anal incontinence	None
Faecal incontinence	None
Fecal incontinence	None
Loss of bowel control	None
Bowel incontinence	None
Bone pain	None
Joint pain	None
Arthralgias	None
Joint pains	None
Arthritic pain	None
Arthralgia	None
Muscle ache	None
Myalgia	None
Myalgias	None
Muscle pain	None
Back pain	None
Low back pain	None
Lower back pain	None
Low exercise endurance	None
Exercise intolerance	None
Decreased ability to exercise	None
Inability to exercise	None
Poor exercise tolerance	None
Exercise-induced muscle pain	None
Muscle pain, exercise-induced	None
Exercise-induced myalgia	None
Muscle pain on exercise	None
Muscle pain with exercise	None
Joint pain/Joint inflammation	None
Arthralgia/arthritis	None
Costochondral pain	None
Costochondral junction pain	None
Pain in extremities	None
Limb pain	None
Stress urinary incontinence	None
Abdominal colic	None
Sciatica	None
Tired	None
Tiredness	None
Fatigue	None
Episodic fatigue	None
Chronic fatigue	None
Chronic extreme exhaustion	None
Upper limb pain	None
Leg pain	None
Lower limb pain	None
Pain	None
Long-lasting pain	None
Chronic pain	None
Allodynia	None
Sneeze	None
Paroxysmal sneezing	None
Constitutional symptom	None
Chills	None
Shuddering	None
Shivering	None
Rigours	None
Rigors	None
Foot pain	None
Weakness	None
Lack of energy and strength	None
Asthenia	None
Prostration	None
Scrotal pain	None
Flank pain	None
Kidney pain	None
Night sweats	None
Nocturnal hyperhidrosis	None
Ear pain	None
Pain in the ear	None
Otalgia	None
Painful tongue	None
Tongue pain	None
Neck pain	None
Shoulder pain	None
Elbow pain	None
Wrist pain	None
Finger pain	None
Hip pain	None
Knee pain	None
Pain under knee cap	None
Ankle pain	None
Toe pain	None
Eye movement-induced pain	None
Vulvar pain	None
Vulvodynia	None
Exercise-induced malaise	None
Postexertional symptom exacerbation	None
Postexertional malaise	None
Impairment of activities of daily living	None
Impaired ability to bathe oneself	None
Impaired ability to dress oneself	None
Impaired toileting ability	None
Impaired transferring ability	None
Impaired feeding ability	None
Impaired continence	None
Hot flashes	None
Chest tightness	None
Tightness in chest	None
Tightness of chest	None
Chest distress	None
Groin pain	None
Calf muscle pain	None
Gastrocnemius myalgia	None
Calf myalgia	None
Wilson sign	None
Precordial pain	None
Fetor hepaticus	None
Foetor hepaticus	None
Erythromelalgia	None
Episodic pain	None
Breakthrough pain	None
Paroxysmal rectal pain	None
Abdominal cramps	None
Bladder pain	None
Tendon pain	None
Rigid abdomen	None
Abdominal rigidity	None
Abdominal guarding	None
Body ache	None
Throat discomfort	None
Throat pain	None
Sore throat	None
Pharyngalgia	None
Pharyngodynia	None
Cognitive fatigue	None
Central fatigue	None
Sudden unexpected death in epilepsy	None
SUDEP	None
Neuralgia	None
Acute abdomen	None
Acute abdominal pain	None
Diminished health-related quality of life	None
Decline in physical functional health	None
Diminished physical health	None
Diminished physical functioning	None
Reduced mental health	None
Diminished mental health	None
Frailty	None
Occupational disability	None
Pain between shoulder blades	None
Intrascapular pain	None
Pleuritic chest pain	None
Malaise	None
Pain in testicles	None
Testicular pain	None
Cool skin	None
Coolness to palpation	None
Cold skin temperature	None
Cool skin temperature	None
Coldness	None
Painful breast	None
Mastalgia	None
Breast pain	None
Pain in the pelvis	None
Pelvic pain	None
Stool holding	None
Encopresis	None
Stool soiling	None
Jaw pain	None
Hand pain	None
Pain in head and neck region	None
Recurrent synchronous diaphragmatic flutter	None
Recurrent hiccough	None
Recurrent singultus	None
Hiccup	None
Hiccups	None
Recurrent hiccup	None
Chest discomfort	None
Thoracic pain	None
Chest pain	None
Gangrene	None
Death of body tissue due to lack of blood flow or infection	None
Foetor ex ore	None
Bad breath	None
Halitosis	None
Mandibular pain	None
Lower jaw pain	None
Eye pain	None
Ocular pain	None
Epigastric pain	None
Epigastrium pain	None
Fishy odor	None
Fish odour	None
Fishy body odor	None
Fishy odour	None
Fish odor	None
Fishy body odour	None
Musty odour	None
Musty odor	None
Vaginal fish odor	None
Vaginal fish odour	None
Dyspepsia	None
Indigestion	None
BO	None
Body odour	None
Osmidrosis	None
Body odor	None
Bromhidrosis	None
Bromidrosis	None
Anal pain	None
Rectal pain	None
Abnormality of body height	None
Tall stature	None
Increased body height	None
Accelerated linear growth	None
Increased linear growth	None
Delayed puberty	None
Delayed pubertal development	None
Pubertal delay	None
Delayed pubertal growth	None
Pituitary dwarfism	None
Growth issue	None
Abnormal growth	None
Growth abnormality	None
Poor weight gain	None
Undergrowth	None
Failure to thrive	None
Postnatal failure to thrive	None
Faltering weight	None
Weight faltering	None
Retarded growth	None
Growth delay	None
Growth failure	None
Poor growth	None
Growth retardation	None
Growth deficiency	None
Very poor growth	None
Delayed growth	None
Intrauterine retardation	None
Prenatal growth deficiency	None
Prenatal growth retardation	None
Intrauterine growth failure	None
Intrauterine growth restriction	None
IUGR	None
Prenatal onset growth retardation	None
Small for gestational age infant	None
Prenatal-onset growth retardation	None
Intrauterine growth retardation, IUGR	None
Intrauterine growth retardation	None
In utero growth retardation	None
Prenatal growth failure	None
Having too much body fat	None
Obesity	None
Low birth weight	None
Small for gestational age	None
Birth weight less than 10th percentile	None
Marfanoid habitus	None
Reduced upper-lower segment ratio	None
Disproportionate tall stature	None
Dolichostenomelia	None
Marfanoid body habitus	None
Birth weight > 90th percentile	None
Large for gestational age	None
Macrosomia	None
Foetal macrosomia	None
Birthweight > 90th percentile	None
Macrosomia, neonatal	None
Fetal macrosomia	None
Severe postnatal failure to thrive	None
Severe weight faltering	None
Marked failure to thrive	None
Severe failure to thrive	None
Severe faltering weight	None
Asymmetric overgrowth	None
Asymmetric limb hypertrophy	None
Hemihypertrophy	None
Mild growth deficiency	None
Postnatal onset of mild growth retardation	None
Mild postnatal growth retardation	None
Weight faltering in infancy	None
Faltering weight in infancy	None
Failure to thrive in infancy	None
Failure to thrive in first year of life	None
Thin build	None
Asthenic habitus	None
Slender build	None
Thin body habitus	None
Generalised overgrowth	None
Generalized overgrowth	None
General overgrowth	None
Overgrowth	None
Weight loss	None
Loss of weight	None
Truncal obesity	None
Centripetal obesity	None
Abdominal situs inversus	None
Situs inversus visceralis	None
Situs inversus viscerum	None
Disproportionate short stature	None
Short stature, disproportionate	None
Short stature, severe disproportionate	None
Relative short stature	None
short stature, mild	None
Mild short stature	None
Short stature, proportionate	None
Proportionate small stature	None
Proportionate short stature	None
Dwarfism	None
Proportionate dwarfism	None
Short stature, extreme	None
Severe short stature	None
Short stature, severe	None
Foetal overgrowth	None
Fetal overgrowth	None
Birth length greater than 97th percentile	None
Disproportionate short-trunked short stature	None
Disproportionate short-trunk short stature	None
Short-trunked dwarfism	None
Disproportionate short-trunked dwarfism	None
Birth length less than 3rd percentile	None
Birth length <3rd percentile	None
Birth length < 3rd percentile	None
Eunuchoid habitus	None
Height less than 3rd percentile	None
Stature below 3rd percentile	None
Short stature	None
Small stature	None
Decreased body height	None
Abnormality of body weight	None
Abnormality of habitus	None
Weight gain	None
Increased body weight	None
Weight less than 3rd percentile	None
Decreased weight	None
Low body weight	None
Low weight	None
Decreased body weight	None
Wasting syndrome	None
Cachexia	None
Rhizomelic arm shortening	None
Mesomelic/rhizomelic limb shortening	None
Rhizo-meso-acromelic limb shortening	None
Short stature, mesomelic	None
Dwarfism, short limb mesomelic	None
Short stature, disproportionate mesomelic	None
Mesomelic dwarfism	None
Mesomelic short stature	None
Intrauterine growth retardation, severe	None
Severe prenatal growth deficiency	None
Severe intrauterine growth retardation	None
Short stature, moderate	None
Moderate short stature	None
Moderately short stature	None
Severe postnatal growth retardation	None
Severe postnatal growth deficiency	None
Severe postnatal growth failure	None
Severe growth delay in children	None
Marked growth retardation	None
Moderate postnatal growth retardation	None
Moderate growth delay in children	None
Short-trunk dwarfism identifiable at birth	None
Neonatal short-trunk short stature	None
Faltering weight secondary to recurrent infections	None
Weight faltering secondary to recurrent infections	None
Failure to thrive secondary to recurrent infections	None
Short-limb dwarfism	None
Short stature, disproportionate short-limb	None
Short limb dwarfism	None
Short limb dwarfism, disproportionate	None
Brachymelic dwarfism	None
Disproportionate short limb dwarfism	None
Short-limbed dwarfism	None
Short stature, disproportionate short limb	None
Micromelic dwarfism	None
Dwarfism, short-limbed	None
Disproportionate short-limb short stature	None
Mild intrauterine growth retardation	None
Mild prenatal growth deficiency	None
Severe short-limb dwarfism	None
Postnatal growth retardation	None
Postnatal growth failure	None
Growth retardation as children	None
Postnatal growth deficiency	None
Growth delay as children	None
Postnatal growth deceleration	None
Disproportionately short upper portion of limb	None
Rhizomelic dwarfism	None
Short stature, rhizomelic	None
Rhizomelia	None
Rhizomelic short limbs	None
Rhizomelic limb shortening	None
Rhizomelic short stature	None
Rhizomelic shortening	None
Symmetrical rhizomelic limb shortening	None
Lethal short-limbed short stature	None
Lethal micromelic dwarfism	None
Lethal short-limbed dwarfism	None
Childhood-onset truncal obesity	None
Truncal obesity apparent in childhood	None
Dwarfism, neonatal short-limbed	None
Short limb dwarfism recognisable at birth	None
Short-limb dwarfism identifiable neonatally	None
Neonatal short-limbed dwarfism	None
Short-limb dwarfism identifiable at birth	None
Neonatal short-limb short stature	None
Short-limbed dwarfism identifiable at birth	None
Short limb dwarfism recognizable at birth	None
Disproportionate short-trunk short stature, identifiable in childhood	None
Childhood-onset short-trunk short stature	None
Short-trunk dwarfism identifiable during childhood	None
Asymmetric short stature	None
Lethal short-trunk dwarfism	None
Lethal short-trunk short stature	None
Childhood onset short-limb short stature	None
Short-limb dwarfism identifiable during childhood	None
Short-trunk dwarfism, identifiable in infancy	None
Infancy onset short-trunk short stature	None
Proportionate tall stature	None
Moderate intrauterine growth retardation	None
Right atrial isomerism	None
Left atrial isomerism	None
Abnormality of abdominal situs	None
Rhizomelic leg shortening	None
Central obesity	None
Abdominal obesity	None
Abnormal upper to lower segment ratio	None
Reduced upper to lower segment ratio	None
Increased upper to lower segment ratio	None
Delayed adrenarche	None
Obesity grade 1	None
Class I obesity	None
Obesity grade 2	None
Class II obesity	None
Obesity grade 3	None
Class III obesity	None
Overweight	None
Delayed thelarche	None
Increased body fat percentage	None
Heterotaxy	None
Heterotaxia	None
Absent pubertal growth spurt	None
Absent adolescent growth spurt	None
Increased body mass index	None
Increased BMI	None
Bronchial isomerism	None
Abdominal situs ambiguus	None
Abnormal waist to hip ratio	None
Increased waist-to-hip ratio	None
Increased WHR	None
Increased waist-hip ratio	None
Increased waist to hip ratio	None
Decreased WHR	None
Decreased waist to hip ratio	None
Decreased waist-to-hip ratio	None
Decreased waist-hip ratio	None
Isomerism	None
Left Isomerism	None
Left-sided isomerism	None
Right-sided isomerism	None
Right isomerism	None
Abnormal skinfold thickness measurement	None
Abnormal triceps skinfold thickness	None
Increased triceps skinfold thickness	None
Acral enlargement	None
Acral overgrowth	None
Growth without growth hormone	None
Decreased body fat percentage	None
Decreased adipose tissue percentage	None
Abnormal body mass index	None
Abnormality of body mass index	None
Abnormal BMI	None
Decreased body mass index	None
Decreased BMI	None
Hemihypertrophy of lower limb	None
Overgrowth of one leg	None
Hemihypertrophy of upper limb	None
Overgrowth of one arm	None
Asymmetric growth	None
Uneven or disproportionate growth of one body part compared to another	None
Asymmetric limb shortening	None
Hemiatrophy	None
Hemiatrophy of the body	None
Hemiatrophy of lower limb	None
Asymmetric lower limb shortening	None
Asymmetric upper limb shortening	None
Hemiatrophy of upper limb	None
Hemihypotrophy of upper limb	None
Lower limb asymmetry	None
Leg length discrepancy	None
Left and right leg differ in length or width	None
Unequal size of arms	None
Upper limb asymmetry	None
Hemihypotrophy of lower limb	None
Asymmetric leg shortening	None
Asymmetric lower limb shortness	None
Increased urinary 8-oxo-Gsn level	None
Increased urinary 8-oxo-7,8-dihydroguanosine level	None
Increased urinary 8-oxo-7,8-dihydroguanosine	None
Increased urine 8-oxo-GMP	None
Increased urine 8-oxo-7,8-dihydroguanosine	None
Sigmoid kidney	None
S-shaped kidney	None
Type B cross fused renal ectopia	None
Oligosacchariduria	None
Struvite urinary crystals	None
Magnesium ammonium phosphate crystalluria	None
Fibrillar glomerular subepithelial deposits	None
Prominent prostate median bar	None
Cortical nephrocalcinosis	None
Abnormality of renal cortex morphology	None
Abnormal renal cortex morphology	None
Abnormality of urine bicarbonate level	None
Abnormality of urine HCO3 concentration	None
Vulvovaginitis	None
Vaginitis	None
Hyperplastic labia majora	None
Hyperplasia of labia majora	None
Enlarged labia majora	None
Generalised aminoaciduria	None
Generalized aminoaciduria	None
Generalized nonspecific aminoaciduria	None
Generalised nonspecific aminoaciduria	None
Elevated urine keto acid level	None
Painful menstruation	None
Dysmenorrhea	None
Elevated urine mevalonate	None
Elevated urine mevalonate levels	None
Mevalonate aciduria	None
Elevated urine mevalonic acid level	None
Elevated urine mevalonic acid	None
Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate	None
Tubular phosphate reabsorption low	None
Renal phosphate wasting	None
Decreased renal tubular phosphate reabsorption	None
Caliceal dilatation	None
Caliectasis	None
Dilatation of renal calices	None
Megacalicosis	None
Xanthogranulomatous pyelonephritis	None
Testicular mesothelioma	None
Renal cortical hyperechogenicity	None
Renal arteriole intima/media crystal accumulation	None
Accumulated crystals within renal arteriolar intima/media	None
red brown urine	None
Red-brown urine	None
Abnormality of the epididymis	None
Abnormal epididymis morphology	None
Epididymal neoplasm	None
Binucleated visceral epithelial cells	None
Binucleated podocytes	None
Haematocolpos	None
Hematocolpos	None
Uterine prolapse	None
Sagging uterus	None
Spermatocytic arrest	None
Early spermatogenesis maturation arrest	None
Vulvar melanoma	None
Renal cortical atrophy	None
Testicular lipomatosis	None
Blebbing of apical cytoplasm of renal tubular epithelial cells	None
Decreased urinary urate	None
Vaginal clear cell adenocarcinoma	None
Clear cell adenocarcinoma of the vagina	None
Intraluminal thrombi within medullary peritubular capillaries	None
Medullary peritubular capillary intraluminal thrombi	None
Tip variant segmental glomerulosclerosis	None
Segmental glomerulosclerosis, tip variant	None
Endotheliosis within arcuate arteries	None
Arcuate artery endotheliosis	None
Pink urine	None
Nocturnal enuresis	None
Enuresis nocturna	None
Cortical peritubular capillary lumen organized thrombi	None
Abnormal renal corpuscle morphology	None
Glomerular sclerosis	None
Glomerulosclerosis	None
Renal glomerular fibrosis	None
Abnormal medullary peritubular capillary lumen morphology	None
Glomerular hyaline subepithelial deposits	None
Absence of palpable testicules	None
Aplasia of the testes	None
Absent testes	None
Absent testis	None
Vaginal malformation	None
Abnormal vagina morphology	None
Increased level of ribitol in urine	None
Albuminuria	None
Splenogonadal fusion	None
Abnormal female external genitalia	None
Abnormality of female external genitalia	None
Labial pseudohypertrophy	None
Bowman-space proteinaceous debris	None
Ovarian neoplasm	None
Ovarian tumour	None
Neoplasm of the ovary	None
Ovarian neoplasia	None
Ovarian cancer	None
Ovarian tumor	None
Neoplasm of the ovaries	None
Underdeveloped female external genitalia	None
Hypoplastic female external genitalia	None
Salpingitis	None
Retractile testis	None
Retractile testicle	None
Perinephric fluid collection	None
Ca oxalate urolithiasis	None
Calcium oxalate nephrolithiasis	None
Calcium oxalate kidney stones	None
Oxalate nephrolithiasis	None
Ca oxalate nephrolithiasis	None
Calcium oxalate urolithiasis	None
Ca2+ oxalate nephrolithiasis	None
Ca2+ oxalate urolithiasis	None
Ca oxalate kidney stone	None
Ca2+ oxalate kidney stone	None
Elevated urinary uridine level	None
Elevated uridine in urine	None
Nodular mesangiosclerosis	None
Congenital absence of the vas deferens	None
Absent deferent duct	None
Absent vas deferens	None
Absent ductus deferens	None
Bifid clitoris	None
